263,264,66,ERRAUTHOR,"Сказка с цветами. Рис. Абрамовой. Л., «Раяуга», 1930. Стр. 11, т. 50 000, ц. 12 к."
265,266,67,ERRAUTHOR,"То же. Л., «Радуга», 1930. Стр. 11, т. 40 000, ц. 12 к."
267,270,68,ERRAUTHOR,"Солнце и свечка. Рис. В. А. Апо- столи. М.—Л.,«Радуга», 1926. Стр. 12, т. 8 000, ц. 80 к."
271,274,69,ERRAUTHOR,"Спор между домами. (Стихи.) Рис. Н. Н. Купреянова. Рязань, «Друзья детей», 1925. Стр. 14, т. 10 000."
275,276,70,ERRAUTHOR,"Твои машинные друзья. Л.—М., «Радуга», 1926. Стр. 12, т. 30 000, ц. 23 к."
277,280,71,ERRAUTHOR,"Твои наркомы у тебя дома. Рис. К. Елисеева и К. Ротова. М., «Октябренок», 1926. Стр. 14, т. 10 000,* ц. 50 к."
281,282,72,ERRAUTHOR,"Чашка чаю. Рис. В. Твардовского. М.—Л., «Радуга», 1925. Стр. 12, т. 10 000, ц. 90 к."
283,284,73,ERRAUTHOR,"Щарманочка. (Стихи.) Рис. В. Зарубина. Л., «Радуга», 1926. Стр. 11, т. 30 000, ц. 23 к."
285,286,74,ERRAUTHOR,"То жз. Л., «Радуга», 1929. Стр. 11, т. 50 000 ч 10 к."
287,288,75,NOAUTHOR,"АДАМОВИЧ Е. Бзз матери. (Рассказ.) Рис. А. Мзрзззва. М.—Л., Гиз, 1927. (Дэш. б-чка.) Сгр. 28, т. 50 000, ц, 9 к."
289,290,76,ERRAUTHOR,"Навэлнзняз. (Рассказы.) Рис. В. Мила извскэго. М.—Л., Гиз, 1928. (Новая детская б-ка.) Сгр. 48, т. 10 000, ц. 25 к."
291,292,77,ERRAUTHOR,"Умный. Рассказы. Рис. И. Мроч-козского. М.—Я., Гиз, 1927. (Дэш. б-чка.) Стр. 16, т. 35 000, ц. 6 к."
293,298,78,NOAUTHOR,"АДАМОВИЧ П. А. Гудочек, (Как самому сделать музыкальный инструмент.} -М. • ^Крестьянская газета», 1928. (Б-ка «Дружные ребята».) Стр. 30, т. 25 000, ц. 10 к. .79. — То ‘же. М., «Крестьянская газета», 1929. (Б-ка «Дружные ребята».) Стр. 30, Т. 30 000, ц. 10 * к."
299,298,79,NOAUTHOR,MISSING
299,300,80,ERRAUTHOR,"То же. Изд. 2-е, М., «Крестьянская газета», 1931. (Б-ка «Дружные ребята».) стр. 48, 30 000, ц. 10 к."
301,302,81,NOAUTHOR,"АДОЛЬФ Н. Забастовка. М., Огиз—«Молодая гвардия», 1931. Стр. 32, т. 25 000, ц. 30 к."
303,304,82,NOAUTHOR,"АДУЕВ Н. Вверх и вниз. Рис. В. Козловского. Киев, «Культура», 1929. Стр. 12, т. 40 000, ц. 12 к."
305,308,83,ERRAUTHOR,"Капуста. На огороде пышно, густо, кудряво расцвела капуста. А кто капусту -будет есть—попробуй-ка прочесть. Рис. А. Кичигина. М., «Молодая гвардия», 1927. Стр. 12, т. 35 000, ц. 12 к. ’ 84. —Поклеп. Стихи для детей. Рис. С. Вишневецкой и Е. Фрадкиной. М., «Молодая гвардия», 1927. Стр. И, т. 10 000, ц. 40 к."
309,308,84,NOAUTHOR,MISSING
309,310,85,ERRAUTHOR,"Чудеса без чудес. Рис. И. Кисиля. Киев, «Культура», 1929. Стр. 12, т. 37 000, ц. 13 к."
311,312,86,NOAUTHOR,"АЗАРОВ 'К. и МАЗУРКЕВИЧ В. Ковер-самолет. Л.—М., «Радуга», 1926. Стр. 11, Т. 30 000, ц. 23 к."
313,314,87,ERRAUTHOR,"То же. Изд. 3-е, Л., «Радуга», 1930. Сто. 11, т. 80 000, ц. 10 к."
315,320,88,NOAUTHOR,"АЗБУКА. Рис. Н. Лемана. М., 1924. Сто. 32, т. 3 000. 88-а. — То же. Изд. 2-е, М., изд. автора, 1924. Стр. 32, т. 10 000."
321,324,89,NOAUTHOR,"АЗБУКА. Рис. А. Ананова. Л., «Радуга», 1924. Стр. 14, т. 20 000. 1 90. АЗБУКА. Раскраска. Рис. Бруни и Коршйкова. Л.—М., «Радуга», 1928. Стр. 10, т., 20 000, ц. 30 к."
325,324,90,NOAUTHOR,MISSING
325,326,91,NOAUTHOR,"АЗБУКА-КРОШКА. Одесса, БИП, 1928. Стр. 12, т. 10 000, Ц. 6 к."
327,330,92,NOAUTHOR,"АЗЕРБАЙДЖАНСКАЯ ПИОНЕРИЯ К VIII СЪЕЗДУ АЛКСМ. Баху, ЦБ ДКО при ЦК AJ1KCM, 1929. Стр. 27, т. 2 000."
331,332,93,NOAUTHOR,"АЙ Б ИНД ЕР Г. По ту сторону реки. Пер. с еврейск. Мнухо Брук. Рис. Ф. Полищук. М.—Л., Огиз—«Молодая гвардия», 1931. Стр. 96, т. 10 300, ц. 50 к."
333,336,94,NOAUTHOR,"АЙ-ДУ-ДУ! Русские народные сказки й побасенки. Рис. С; Малютина. М., Гиз, 1921. Стр. 40, т. 4 000.'"
337,338,95,NOAUTHOR,"АКОДУС Я. И. Будь готов к санитарной обороне. М., «Молодая гвардия», 1930. (Б-ка пионера-активиста «Пионер, крейи оборону страны»'.) Стр. 32, т. 15 000, ц. 12 к."
