author_std,n,nolang,nas,langs,default,enforce
ИсаковИм,4,0,0,татский,татский,
ИстоминИГ,5,0,2,ненецкий;коми,,
ИхсановаЛ,8,2,1,татарский,татарский,
Йованович-ЗмайИ,2,0,0,сербохорватский;сербский,сербохорватский,
ЙоунссонС,2,0,1,исландский,исландский,yes
КабурБ,4,0,1,эстонский,эстонский,
КазиевИ,3,1,0,лезгинский;кумыкский,лезгинский;кумыкский,
КаипбергеновТ,4,0,1,каракалпакский,каракалпакский,
КалганА,4,0,1,чувашский,чувашский,
КапутикянСБ,21,2,0,армянский,армянский,
КарамзинБ,4,0,2,башкирский,башкирский,
КаримМ,15,0,2,башкирский,башкирский,
КаринтиФ,3,0,1,венгерский,венгерский,yes
КароттиА,10,2,5,итальянский,итальянский,yes
КассельД,4,0,3,идиш,идиш,yes
КасымбековТ,2,1,0,киргизский,киргизский,
КаххориА,3,0,1,таджикский,таджикский,
КвиткоЛМ,77,4,18,идиш,идиш,
КвливидзеМ,4,0,3,грузинский,грузинский,
КенцерМ,2,1,0,английский,английский,
КерашевТ,3,0,2,кабардино-черкесский,кабардино-черкесский,
КешоковАП,6,0,1,кабардино-черкесский,кабардино-черкесский,
КиекбаевДГ,7,1,2,башкирский,башкирский,
КиньябулатоваКК,4,0,1,башкирский,башкирский,
КипианиЭ,4,0,1,грузинский,грузинский,
КиплингР,131,17,40,английский,английский,yes
КипнисИ,6,0,1,идиш,идиш,
КиртонЧ,8,2,1,английский,английский,yes
КларкА,3,0,2,английский,английский,yes
КлимовВВ,5,0,3,коми-пермяцкий,коми-пермяцкий,
Кобец-ФилимоноваЕГ,7,0,3,белорусский,белорусский,
КовалевПН,5,1,0,белорусский,белорусский,
КоданевИВ,4,0,1,коми,коми,
КожомбердиевТ,3,1,0,киргизский,киргизский,
КоласЯ,20,1,2,белорусский,белорусский,
КолумбВX,2,0,1,марийский,марийский,
Конан-ДойльА,5,3,0,английский,английский,
КонопницкаяМ,8,0,4,польский,польский,
КоптеловА,4,0,3,алтайский,алтайский,
КоринецЮИ,53,0,52,немецкий,,
КорчакЯ,8,1,0,польский,польский,
КостерШ,12,0,1,французский,французский,yes
КотлярИ,5,1,0,идиш,идиш,
КоцюбинскийММ,10,1,2,украинский,украинский,
КошоковСШ,2,1,0,адыгейский,адыгейский,
КравецьО,7,0,4,украинский,украинский,
КравченкоВ,4,0,1,белорусский,белорусский,
КрасновГВ,2,0,1,чувашский,чувашский,
КнаутИ,2,0,1,немецкий,немецкий,yes
КривошапкинАВ,2,1,0,эвенский,эвенский,
Крижанова-БриндзоваГ,2,1,0,словацкий,словацкий,
КроссЯ,2,1,0,эстонский,эстонский,
КрянгэИ,13,1,2,молдавский,молдавский,yes
КубилинскасК,7,0,1,литовский,литовский,
КугультиновДН,6,0,2,калмыцкий,калмыцкий,
КукулиевА,2,1,0,татский,татский,
КулешовАА,4,1,0,белорусский,белорусский,
КулиевКШ,12,0,2,балкарский,балкарский,
КуляскинД,2,0,1,мордовский,мордовский,
КунаевА,2,1,0,калмыцкий,калмыцкий,
КупалаЯ,15,1,0,белорусский,белорусский,
КуперДФ,67,9,4,английский,английский,yes
КуракинН,2,0,0,венгерский;китайский,,
КурбаннепесовК,3,1,0,туркменский,туркменский,
КутуйА,5,0,1,татарский,татарский,
КутюрьеП,3,0,2,французский,французский,yes
КучерявенкоВ,5,0,3,корейский,,
КыдыровА,4,1,0,киргизский,киргизский,
КымытвальА,2,1,0,чукотский,чукотский,
КычаковИ,5,0,3,хакасский,хакасский,
КэзД,2,0,1,английский,английский,yes
КэрареП,5,0,1,молдавский,молдавский,yes
КэрроллЛ,13,1,6,английский,английский,yes
ЛагерлефС,21,0,20,шведский,шведский,yes
ЛадыжецВИ,5,1,0,украинский,украинский,
ЛапцуйЛВ,3,0,2,ненецкий,ненецкий,
ЛацисВТ,5,0,1,латышский,латышский,
ЛеоновЛМ,5,0,4,украинский,украинский,
ЛеонтьевАК,2,1,0,удмуртский,удмуртский,
ЛеонтьевВВ,4,1,2,чукотский,чукотский,
ЛермонтовМЮ,276,1,271,турецкий,турецкий,
ЛеснаяЛ,11,0,9,таджикский,таджикский,
ЛиндгренА,26,1,6,шведский,шведский,yes
ЛисинаЕН,2,0,1,чувашский,чувашский,
ЛозневойАН,3,0,1,чукотский,чукотский,
ЛомоуриНИ,4,0,1,азербайджанский,азербайджанский,
ЛонгфеллоГ,11,5,3,английский,английский,yes
ЛондонД,94,18,39,английский,английский,yes
ЛориА,3,0,2,французский,французский,yes
ЛосьЕ,3,0,1,белорусский,белорусский,
ЛофтингГ,2,0,1,английский,английский,yes
ЛукичД,3,0,1,сербохорватский;сербский,сербохорватский,yes
ЛукьянскаяВИ,15,0,14,польский,,no
ЛыньковМ,6,2,1,белорусский,белорусский,
МаврЯ,15,1,0,белорусский,белорусский,
МагдеевМС,2,0,1,татарский,татарский,
Магомед-Расул,4,0,1,даргинский,даргинский,
МагомедовМ,8,0,1,аварский,аварский,
МайерЧ,3,0,1,английский,английский,yes
МайероваМ,2,0,1,чешский,чешский,yes
МаксимовичД,2,0,0,сербский;сербохорватский,сербский,
МалазонияН,3,1,1,грузинский,грузинский,
МалакшиновП,3,0,1,бурятский,бурятский,
МалеваВ,6,0,1,молдавский,молдавский,
МалоГ,17,0,4,французский,французский,yes
МамакаевМА,3,0,1,чеченский,чеченский,
МамедкулизадеД,8,2,3,азербайджанский,азербайджанский,
МаннурШ,2,0,1,татарский,татарский,
МарголинаМ,3,0,1,идиш,идиш,
МариетФ,9,2,3,английский,английский,yes
МаркявичусАМ,3,0,1,литовский,литовский,
МартенссонА,2,0,1,английский,английский,yes
МарукасК,2,1,0,литовский,литовский,
МаршакСЯ,877,3,844,английский;латышский;чешский,,no
МашараМ,2,1,0,белорусский,белорусский,
МашбашИ,4,2,0,адыгейский,адыгейский,
МежелайтисЭ,14,0,1,литовский,литовский,
МексинЯП,33,0,30,японский,,no
МенюкГ,3,0,1,молдавский,молдавский,yes
МеримеП,7,1,1,французский,французский,yes
МеховВЛ,4,1,1,белорусский,белорусский,
МиккельсенЭ,2,0,1,датский,датский,yes
МилеваЛ,2,1,0,болгарский,болгарский,
МилнАА,9,0,3,английский,английский,yes
МилсД,2,0,1,английский,английский,yes
МингалимовР,5,0,2,татарский,татарский,
МининИА,4,0,3,коми-пермяцкий,коми-пермяцкий,
МирзоГ,6,2,1,таджикский,таджикский,
МирзошоевМ,3,0,2,таджикский,таджикский,
МиршакарМ,21,5,4,таджикский,таджикский,
МитчельЛС,16,4,6,английский,английский,yes
МихайловВА,5,0,4,алтайский,,
МихалковСВ,558,0,536,литовский;английский,,no
МольерЖБ,23,4,3,французский,французский,yes
МопассанГ,5,0,4,французский,французский,yes
МорицР,4,0,1,словацкий,словацкий,yes
МоффэтК,4,3,0,английский,английский,yes
МукановС,5,1,1,казахский,казахский,
МукерджидК,3,2,0,английский,английский,yes
Мультатули,10,0,6,нидерландский,нидерландский,yes
МуравейкаИ,4,0,1,белорусский,белорусский,
МурзалиевК,3,0,1,казахский,казахский,
МусатовАИ,92,0,91,белорусский,белорусский,
МуслимИ,6,0,2,узбекский,узбекский,
МухамедьяроваП,4,1,0,узбекский,узбекский,
МухаммадиК,19,2,3,узбекский,узбекский,
МухтарА,4,0,1,узбекский,узбекский,
МяндX,3,0,1,эстонский,эстонский,
НагишкинДД,41,0,38,нанайский,,
НазаровН,2,0,1,узбекский,узбекский,
НазирХ,8,0,1,узбекский,узбекский,
НазымХ,3,0,1,турецкий,турецкий,
НауменкоИ,6,0,2,белорусский,белорусский,
НегриИ,2,0,1,английский,английский,yes
НестайкоВ,8,0,1,украинский,украинский,
НестайкоВЗ,2,0,1,украинский,украинский,
НецкаяЕ,3,1,0,латышский,латышский,
НечаевАН,18,0,16,украинский,украинский,
НизамиГ,16,9,2,азербайджанский,азербайджанский,
НийтЭ,12,1,0,эстонский,эстонский,
НикитинН,2,0,1,чувашский,чувашский,
НовоспасскийКМ,7,0,6,калмыцкий,калмыцкий,
НорметД,5,0,2,эстонский,эстонский,
НосовНН,264,4,259,украинский,украинский,
НуриЗ,3,0,1,татарский,татарский,
НёстлингерК,3,0,1,немецкий,немецкий,yes
ОгнецветЭС,12,0,1,белорусский,белорусский,
ОжешкоЭ,2,1,0,польский,польский,
ОлдинС,4,0,2,английский,английский,yes
ОлдриджД,3,1,0,английский,английский,yes
ОмаровС,4,1,0,казахский,казахский,
ОнищенкоО,2,0,1,украинский,украинский,
ОнрудГ,3,0,1,норвежский,норвежский,yes
ОразбердыеваО,3,0,1,туркменский,туркменский,
ПавловАЕ,3,0,2,болгарский,болгарский,yes
ПанченкоВ,6,0,1,украинский,украинский,
ПассарА,4,0,2,нанайский,нанайский,
ПашекМ,2,0,1,чешский,чешский,yes
ПервомайскийЛ,2,0,1,украинский,украинский,
ПерроШ,167,9,74,французский,французский,yes
ПетефиШ,3,0,2,венгерский,венгерский,yes
ПетровВ,24,0,23,болгарский,болгарский,yes
ПетроваИ,4,0,2,чувашский,чувашский,
ПинясовЯМ,41,2,10,мордовский;мокшанский,мокшанский,
ПлахеткаИ,3,0,2,чешский,чешский,yes
ПлиевГ,2,0,1,осетинский,осетинский,
ПлудонВ,5,0,1,латышский,латышский,
ПоЭ,2,0,1,английский,английский,yes
ПоливановВП,8,0,7,осетинский,осетинский,
ПоповВлА,3,0,2,коми,коми,
ПоскребышевОА,3,0,2,удмуртский,удмуртский,
ПотьеЭ,2,1,0,французский,французский,yes
ПоцюсА,2,1,0,литовский,литовский,
ПремЧ,3,0,2,хинди,хинди,yes
ПриваловБ,18,0,16,молдавский;карельский,молдавский;карельский,
ПрокшаЛЯ,4,0,3,белорусский,белорусский,
ПуккX,5,0,1,эстонский,эстонский,
ПуккХ,7,1,1,эстонский,эстонский,
ПухначевВМ,15,0,14,хантыйский,хантыйский,
ПфефферНГ,3,0,1,немецкий,немецкий,yes
ПшавелаВ,4,2,0,грузинский,грузинский,
РаблеФ,8,0,7,французский,французский,yes
РагимовС,2,0,1,азербайджанский,азербайджанский,
РаджабУ,5,1,0,таджикский,таджикский,
Радин-АловскийВИ,6,1,1,мордовский;эрзянский,мордовский;эрзянский,
РазыкН,2,0,1,таджикский,таджикский,
РакиповШЗ,7,0,3,татарский,татарский,
РамазановГЗ,2,0,1,башкирский,башкирский,
РаннапЯ,13,0,1,эстонский,эстонский,
РаспеРЭ,31,0,30,английский,немецкий,yes
РаудЭМ,17,0,3,эстонский,эстонский,
РафибейлиН,3,1,0,азербайджанский,азербайджанский,
РахматА,4,0,1,узбекский,узбекский,
РжигаБ,5,0,1,чешский,чешский,yes
РзакулизадеММ,5,2,1,азербайджанский,азербайджанский,
РидТМ,41,13,5,английский,английский,yes
РиисЛ,2,0,1,английский,английский,yes
РингБ,2,0,1,норвежский,норвежский,yes
Ринкуле-ЗемзареД,5,2,1,латышский,латышский,
РихтерГ,2,0,1,немецкий,немецкий,yes
РобертсЧ,54,5,29,английский,английский,yes
РодариД,53,3,15,итальянский,итальянский,yes
РозенфельдМК,11,0,9,норвежский;нидерландский,,no
РолланР,9,5,1,французский,французский,yes
Рони-старшийЖА,23,2,3,французский,французский,yes
РугоевЯ,3,0,1,финский,финский,yes
РуссуВ,3,2,0,молдавский,молдавский,
РуставелиШ,12,0,1,грузинский,грузинский,
РыльскийМФ,4,0,2,украинский,украинский,
РытхэуЮ,13,0,9,чукотский,чукотский,
РябоклячА,2,0,1,украинский,украинский,
СабатиниР,8,0,1,английский,английский,yes
СабирМА,6,3,0,азербайджанский,азербайджанский,
СабировС,3,0,1,татарский,татарский,
Саган-ОолО,3,0,1,тувинский,тувинский,
СагдуллаШ,8,1,0,узбекский,узбекский,
СайгинМЛ,3,0,1,мордовский,мордовский,
СаксеА,6,1,0,латышский,латышский,
СальгариЭ,3,0,2,итальянский,итальянский,yes
СамсоновСН,13,0,10,удмуртский,удмуртский,
СангаджиеваБ,6,0,1,калмыцкий,калмыцкий,
СангиВМ,10,0,7,нивхский,нивхский,
СарбиР,3,0,0,чувашский;узбекский,,
Сарыг-ОолСА,3,1,0,тувинский,тувинский,
СаулитБ,5,1,0,латышский,латышский,
СафиеваГ,4,1,0,таджикский,таджикский,
СаяК,9,0,1,литовский,литовский,
СвифтД,54,4,34,английский,английский,yes
СеверинНА,9,0,8,казахский,казахский,
Сеид-ЗадеМ,7,1,0,азербайджанский,азербайджанский,
СейтлиевК,3,0,1,туркменский,туркменский,
СейтназаровД,2,0,1,каракалпакский,каракалпакский,
СекораО,8,2,0,чешский,чешский,yes
СемЛ,3,0,1,нанайский,нанайский,
СемЮ,3,0,1,нанайский,нанайский,
Сен-МарсФ,4,0,2,английский,английский,yes
СенкевичГ,27,2,15,польский,польский,yes
Сент-ЭкзюпериА,17,3,3,французский,французский,yes
"Серая Сова",6,1,0,английский,английский,
СервантесМ,28,6,15,испанский,испанский,yes
СеребренниковаЛВ,3,0,2,немецкий,,
Сетон-ТомпсонЭ,96,12,39,английский,английский,yes
СидкиА,2,1,0,таджикский,таджикский,
СиловаБ,3,0,1,чешский,чешский,yes
СилсП,7,0,0,латышский;азербайджанский,латышский,
СимаковГС,8,0,0,удмуртский;литовский,,
СименонЖ,3,0,2,французский,французский,yes
СиххатА,13,5,3,азербайджанский,азербайджанский,
СкоттВ,42,10,4,английский,английский,yes
СлавковичДФ,3,0,1,белорусский,белорусский,
СмоличЮ,2,0,1,украинский,украинский,
СмуулЮ,5,0,2,эстонский,эстонский,
СоболевАП,10,0,9,латышский,латышский,
СокпакбаевБ,4,0,1,казахский,казахский,
СотникЮВ,52,0,51,грузинский,,no
СтавскийИ,2,0,1,идиш,идиш,yes
СтальскийС,4,0,1,лезгинский,лезгинский,
СтельмахМ,22,1,5,украинский,украинский,
Стендаль,14,2,0,французский,французский,yes
Степняк-КравчинскийСМ,7,0,5,английский,,no
СтивенсонРЛ,51,16,16,английский,английский,yes
СтийенскийРМ,6,0,1,сербский,сербский,yes
СтильА,2,0,1,французский,французский,yes
СтрижевскийЮА,3,0,2,чукотский,чукотский,
СудрабуЭ,3,1,1,латышский,латышский,
СулеймановаГ,6,1,1,таджикский,таджикский,
СухомлинскийВА,2,0,1,украинский,украинский,
СыдыкбековТ,3,1,1,киргизский,киргизский,
ТаджимуратовX,2,0,1,каракалпакский,каракалпакский,
ТалвирА,6,0,2,чувашский,чувашский,
ТальянВ,3,2,0,армянский,армянский,
ТангрыкулиевК,21,1,3,туркменский,туркменский,
ТанкМ,11,0,3,белорусский,белорусский,
ТарджемановДА,15,0,4,татарский,татарский,
ТвенМ,144,25,29,английский,английский,yes
ТелесинЗ,5,0,2,идиш,идиш,
ТерещенкоМ,2,0,1,украинский,украинский,
ТеуновХИ,3,0,1,кабардино-черкесский,кабардино-черкесский,
ТимохинаТД,6,0,3,мордовский,мордовский,
ТкачевПИ,4,0,1,белорусский,белорусский,
ТкаченкоВ,7,0,5,украинский,украинский,
ТодосевВ,6,0,5,украинский,украинский,
ТолисП,5,0,1,таджикский,таджикский,
ТопелиусЗ,14,0,13,финский,финский,yes
ТороевА,8,1,0,бурятский,бурятский,
ТрублаиниН,19,0,5,украинский,украинский,
ТувимЮ,12,0,1,польский,польский,yes
ТукайГ,20,0,9,татарский,татарский,
ТуманишвилиТ,2,0,1,грузинский,грузинский,
ТуманянО,27,4,5,армянский,армянский,yes
ТурманжановУ,4,1,0,казахский,казахский,
Турсун-ЗадеМ,3,1,1,таджикский,таджикский,
УайльдО,8,0,4,английский,английский,yes
УйдаГ,20,3,8,английский,английский,yes
УкраинкаЛ,14,0,2,украинский,украинский,
Улуг-ЗодаС,4,1,1,таджикский,таджикский,
УсачГ,11,0,10,украинский,украинский,
УтевскаяПВ,3,0,2,украинский,украинский,
УткинВС,3,0,2,украинский,украинский,
УэллсГД,12,0,4,английский,английский,yes
ФайзиА,2,0,1,татарский,татарский,
ФайзиР,2,0,1,узбекский,узбекский,
ФалладаГ,2,1,0,немецкий,немецкий,yes
ФарадейМ,7,0,4,английский,английский,yes
