author_std,wdname,qid,result,gender,sex,birth,death,birth_year,death_year,author
БорноволоковЭ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борноволоков, Э.; Борноволоков, Эдуард"
БорнхёэЭ,"Борнхёэ, Эдуард",Q717712,1,-,male,NA,NA,1862,1923,"Борнхёэ, Э."
БоровикВ,"Боровик, Василий Николаевич",Q4094236,1,m,male,NA,NA,1894,1981,"Боровик, Василий"
БоровикВС,NA,NA,NA,-,NA,NA,NA,NA,NA,"Боровик, В. С."
БоровиковГФ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Боровиков, Г.; Боровиков, Г. Ф.; Боровиков, Григорий"
БоровинВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Боровин, В."
БоровойАА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Боровой, А. А."
БоровойЕВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Боровой, Е. В."
БоровойМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Боровой, М."
БоровскийФМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Боровский, Ф. М.; Боровский, Федор"
БородинА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бородин, А."
БородинВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бородин, В."
БородинВА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бородин, В. А."
БородинаА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бородина, А."
БородинаЛ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бородина, Л."
БородинаТ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бородина, Т."
БородкинЮС,"Бородкин, Юрий Серафимович",Q109489587,1,m,male,NA,NA,1937,NA,"Бородкин, Ю. С.; Бородкин, Юрий"
БородовскийА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бородовский, А."
БородулинР,"Бородулин, Рыгор Иванович",Q2991169,1,m,male,NA,NA,1935,2014,"Бородулин, Р.; Бородулин, Рыгор"
БороздинВП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бороздин, В. П.; Бороздин, Виктор"
БоронинаЕ,"Боронина, Екатерина Алексеевна",Q19907782,1,f,female,NA,NA,1907,1955,"Боронина, Е."
БорскийМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борский, М."
БорутаК,NA,NA,NA,-,NA,NA,NA,NA,NA,"Борута, Казне"
БорцовА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борцов, Анатолий"
БорчевАА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борчев, А.; Борчев, А. А."
БорченкоА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борченко, Аркадий"
БорянГМ,"Борян, Гурген Михайлович",Q5620020,1,m,male,NA,NA,1915,1971,"Борян, Г.; Борян, Г. М.; Борян, Гурген"
БосевА,"Босев, Асен",Q4808731,1,m,male,NA,NA,1913,1997,"Босев, А.; Босев, Асеи; Босев, Асен"
БосовГИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Босов, Г. И."
БоссеГ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Боссе, Г."
БотвинникМ,"Ботвинник, Марк Наумович",Q50813158,1,-,male,NA,NA,1917,1994,"Ботвинник, М."
БотвинникСВ,"Ботвинник, Семён Вульфович",Q109494158,1,-,male,NA,NA,1922,2004,"Ботвинник, С. В."
БотковВВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ботков, В. В.; Ботков, Валерий"
БоханК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бохан, Константин"
БоциевЮБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Боциев, Ю. Б."
БочаговК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бочагов, К."
БочарниковВА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бочарников, В. А.; Бочарников, Василий"
БочарниковН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бочарников, Николай"
БочарниковНМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бочарников, Н. М."
БочарниковаА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бочарникова, А."
БочарниковаЭ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бочарникова, Элла"
БочаровГН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бочаров, Г. Н."
БочаровИН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бочаров, И. Н."
БочинЛА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бочин, Л. А."
БочинН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бочин, Н."
БочкареваК,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бочкарева, Ксения"
БояджиевГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бояджиев, Г."
БояриноваВИ,"Бояринова, Вера Ильинична",Q108320266,1,f,female,NA,NA,1924,1996,"Бояринова, В. И."
БояроваО,NA,NA,NA,f,NA,NA,NA,NA,NA,"Боярова, О."
БоярскийПВ,"Боярский, Пётр Владимирович",Q4095524,1,m,male,NA,NA,1943,NA,"Боярский, П. В."
БрагинАМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Брагин, А. М."
БрагинВА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Брагин, В. А.; Брагин, Владимир Антонович"
БрагинВГ,"Брагин, Владимир Григорьевич",Q4095629,1,m,male,NA,NA,1896,1972,"Брагин, Вл.; Брагин, Владимир; Брагин, Владимир Григорьевич"
БрагинВП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Брагин, В.; Брагин, В. П.; Брагин, Вениамин"
БрагинМГ,"Брагин, Михаил Григорьевич",Q96057303,1,m,male,NA,NA,1906,1989,"Брагин, М.; Брагин, М. Г.; Брагин, Михаил"
БрагинаАА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Брагина, А. А."
БрагинаЛМ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Брагина, Л. М."
БрагинскийМИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Брагинский, М. И."
БраевА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Браев, А."
БражнинИ,"Бражнин, Илья Яковлевич",Q4095696,1,m,male,NA,NA,1898,1982,"Бражнин, И.; Бражнин, Илья"
БраиловскаяГ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Браиловская, Галина"
БраиловскаяСМ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Браиловская, С. М."
БрайэнтС,NA,NA,NA,-,NA,NA,NA,NA,NA,"Брайэнт, С."
БрандисЕП,"Брандис, Евгений Павлович",Q4095800,1,-,male,NA,NA,1916,1985,"Брандис, Е. П."
БрандтБР,NA,NA,NA,-,NA,NA,NA,NA,NA,"Брандт, Б. Р."
БрандтЛ,"Брандт, Лев Владимирович",Q23291930,1,-,male,NA,NA,1901,1949,"Брандт, Л."
БранкВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бранк, Вольдемар"
БранницкаяЛ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бранницкая, Людмила"
БратковаТ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Браткова, Т."
БратовА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Братов, А."
БратьяЛ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Братья, Лю."
БраудеЛЮ,"Брауде, Люся Ю ;Брауде, Людмила Юльевна",Q4096086,1,-,female,NA,NA,1927,2011,"Брауде, Л. Ю."
БраунЖА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Браун, Ж. А.; Браун, Жанна"
БраусевичЛТ,"Браусевич, Леонид Тимофеевич",Q109488867,1,-,male,NA,NA,1907,1955,"Браусевич, Л.; Браусевич, Л. Т."
БраусичЛ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Браусич, Л."
БрегманИМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Брегман, И. М."
БреговаДД,NA,NA,NA,f,NA,NA,NA,NA,NA,"Брегова, Д.; Брегова, Д. Д.; Брегова, Дора"
БредбериР,"Бредбери, Рэй Дуглас ;Брэдбери, Рей  ;Брэдбери, Рэй Дуглас",Q40640,1,-,male,NA,NA,1920,2012,"Бредбери, Рэй.; Брэдбери, Р."
БредельВ,"Бредель, Вилли",Q63528,1,m,male,NA,NA,1901,1964,"Бредель, Вилли"
БреевБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бреев, Б.; Бреев, Борис"
БрежневГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Брежнев, Г."
БрежневЛИ,NA,NA,NA,m,NA,1906,1982,NA,NA,"Брежнев, Л. И."
БрейАА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Брей, А.; Брей, А. А."
БрейгерВИ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Брейгер, В. И."
БремАЭ,"Брем, Альфред Эдмунд",Q155112,1,-,male,NA,NA,1829,1884,"Брем, А. Э.; Брем, А.-Э."
БременерМС,"Бременер, Макс Соломонович",Q4096270,1,m,male,NA,NA,1926,1983,"Бременер, М.; Бременер, М. С.; Бременер, Макс"
БреннекеВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бреннеке, Вольф"
БреслашуМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бреслашу, Марчел"
БрестскийПИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Брестский, П. И."
Брет-ГартФ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Брет-Гарт, Ф."
БрехтБ,"Брехт, Бертольд",Q38757,1,m,male,NA,NA,1898,1956,"Брехт, Б.; Брехт, Бертольд"
БрешенковПТ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Брешенков, П. Т."
БригадереА,"Бригадере, Анна",Q435424,1,-,female,NA,NA,1861,1933,"Бригадере, А."
БригисОИ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бригис, О. И."
БриллиантН,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бриллиант, Н."
БрильЮГ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бриль, Ю. Г."
БриманМС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бриман, М. С.; Бриман, Михаил"
БринскийАП,"Бринский, Антон Петрович",Q3918829,1,m,male,NA,NA,1906,1981,"Бринский, А.; Бринский, А. П.; Бринский, Антон"
БритаевС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бритаев, С.; Бритаев, Созрыко"
БровкаП,"Бровка, Петрусь Устинович",Q2991193,1,m,male,NA,NA,1905,1980,"Бровка, П.; Бровка, Петрусь"
БровкинаВ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бровкина, В."
БровкинаВМ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бровкина, В. М."
БровманГА,"Бровман, Григорий Абрамович",Q4096684,1,-,male,NA,NA,1907,1984,"Бровман, Г. А."
БродицкаяЮ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бродицкая, Ю.; Бродицкая, Юдифь"
