Автор,Название,Жанр,"Год издания",Тираж,"Для мл. возраста","Для сред. возраста","Для старш. возраста",Примечания,Город,"Пол автора"
"Пелевин В. М.","Готовьтесь к походам, юные пионеры",,1948,600,0,1,1,1,Ярославль,м
"Первенцев А.","Володька - партизанский сын",,1947,75000,0,1,0,0,"Москва; Ленинград",м
"Первенцев А.","Огненная земля",Роман,1947,75000,0,1,0,0,"Москва; Ленинград",м
"Перля З.","Боевые корабли",Рассказы,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Перфильева А.","Далеко ли до Сайгатки?",Повесть,1948,30000,1,1,0,0,"Москва; Ленинград",ж
"Петров Е.","Под Москвой",Очерки,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Платонов А.","Солдатское сердце",Рассказы,1946,30000,0,1,1,0,"Москва; Ленинград",м
"Покровский С. В.","Охотники на мамонтов",Повесть,1947,30000,0,1,1,0,"Москва; Ленинград",м
"Покровский С. В.","Повесть о настоящем человеке",Повесть,1947,50000,1,1,0,0,"Москва; Ленинград",м
"Покровский С. В.","Повесть о настоящем человеке",Повесть,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Покровский С. В.","Повесть о настоящем человеке",Повесть,1947,75000,0,0,0,0,"Москва; Ленинград",м
"Ползикова-Рубец К.","Они учились в Ленинграде",Дневник,1948,30000,0,1,1,0,"Москва; Ленинград",ж
"Пришвин М.","В краю дедушки Мазая",,1946,10000,0,1,0,0,Калинин,м
"Пришвин М.","Дедушкин валенок",,1946,75000,0,1,0,0,"Москва; Ленинград",м
"Пришвин М.","Золотой луг",,1948,30000,1,1,0,0,"Москва; Ленинград",м
"Прокофьев А.","В родном краю",,1947,30000,0,1,1,0,"Москва; Ленинград",м
"Промптов Ю.","В горах Тянь-Шаня",,1948,45000,0,1,1,0,"Москва; Ленинград",м
"Пугачев В.","Золотая корзинка",,1948,10000,0,1,1,0,Иркутск,м
"Пудалов Ф.","Клад погребённого моря",Повесть,1947,30000,0,1,1,0,"Москва; Ленинград",м
"Рахтанов И.","Паспорт чемпиона",,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Рождественская Кл.","В старом доме",Повесть,1947,15000,0,1,1,0,Свердловск,ж
"Розенфельд М.","Морская тайна",Повесть,1946,30000,0,1,1,0,"Москва; Ленинград",м
"Рысс Е.","Девочка ищет отца",Повесть,1946,30000,1,0,0,0,"Москва; Ленинград",м
"Ряховский В.","Родная сторона",,1946,30000,0,0,1,0,"Москва; Ленинград",м
"Саблин Вс.","Сын народа",Повесть,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Сартаков С.","По Чунским порогам",Повесть,1948,10000,0,0,1,0,Иркутск,м
"Сартаков С.","По Чунским порогам",Повесть,1946,11000,0,0,1,0,Красноярск,м
"Сизова М.","История одной девочки",Повесть,1946,30000,0,1,0,0,"Москва; Ленинград",ж
"Симонов К.","Бессмертная фамилия",,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Симонов К.",Москва,Очерк,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Смирнов В.","Открытие мира",Повесть,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Сотник Ю.","""Архимед"" Вовки Грушина",Рассказы,1947,30000,1,1,0,0,"Москва; Ленинград",м
"Сотник Ю.","Про наши дела",Повесть,1946,45000,0,1,0,0,"Москва; Ленинград",м
"Станюкович К.","Морские рассказы",,1946,50000,0,1,1,0,"Москва; Ленинград",м
"Станюкович К.","Морские рассказы",,1947,25000,0,1,1,0,"Москва; Ленинград",м
"Станюкович К.","Морские рассказы",,1948,7000,0,1,1,0,Воронеж,м
"Твардовский А.","Два солдата",,1946,75000,0,1,1,0,"Москва; Ленинград",м
"Тихонов Н.",Ленинградцы,,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Тихонов Н.","Я всё живу",,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Тобольский Исай","Моим друзьям",,1948,15000,1,1,0,0,Саратов,м
"томан Н.","Что происходит в тишине",,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Тренев В.","Бриг ""Меркурий""",,1946,30000,0,1,1,0,"Москва; Ленинград",м
"Тушкан Г.",Джура,Роман,1948,75000,0,0,1,0,Москва,м
"Успенский Г.","Рассказы и очерки",,1948,50000,0,1,0,0,"Москва; Ленинград",м
"Устинович Н.","Утренние лучи",Рассказы,1946,30000,1,0,0,0,"Москва; Ленинград",м
"Ушаков Д.","Про сапёров",Рассказы,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Фадеев А.",Большевики,,1947,75000,0,0,1,0,"Москва; Ленинград",м
"Фадеев А.","Молодая гвардия",Роман,1946,50000,0,1,0,0,"Москва; Ленинград",м
"Фадеев А.","Молодая гвардия",Роман,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Фадеев А.","Молодая гвардия",Роман,1947,75000,0,0,0,0,"Москва; Ленинград",м
"Фадеев А.",Разгром,,1947,15000,0,0,1,0,Ленинград,м
"Фадеев А.","Флаги над Краснодаром",,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Фиш Г.","Дальний поиск",Рассказ,1946,45000,0,1,0,0,"Москва; Ленинград",м
"Фиш Г.","Падение Кимас-озера",,1948,,0,1,1,0,"Москва; Ленинград",м
"Формозов А. Н.","Шесть дней в лесах",,1948,20000,0,1,1,0,Москва,м
"Фраерман Р.","Дальнее плаванье",Повесть,1946,150000,0,0,1,0,"Москва; Ленинград",м
"Фраерман Р.","Подвиг в майскую ночь",,1946,75000,0,1,1,0,"Москва; Ленинград",м
"Фраерман Р.; Зайкин П.",Ласточки,Рассказы,1947,30000,0,1,0,0,"Москва; Ленинград","м; м"
"Фраерман Р.; Зайкин П.","Степанка и Резвый",Рассказы,1947,30000,1,0,0,0,"Москва; Ленинград","м; м"
"Фурманов Дм.","Красный десант",,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Фурманов Дм.",Чапаев,Повесть,1947,15000,0,1,1,0,"Москва; Ленинград",м
"Фурманов Дм.",Чапаев,Повесть,1948,50000,0,0,1,0,"Москва; Ленинград",м
"Цеханович Ю.",Повести,Повест,1948,25000,0,1,1,0,Свердловск,м
"Чаковский А.","На ледовой дороге",Рассказ,1948,150000,1,0,0,0,"Москва; Ленинград",м
"Черевков М.","Снеговые башни",,1946,100000,0,0,1,0,Москва,м
"Чуковский Н.","Домик на реке",Повесть,1947,30000,0,1,0,0,"Москва; Ленинград",м
"Шолохов Мих.","Они сражались за родину",,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Шолохов Мих.","Поднятая целина",,1948,15000,0,0,1,0,Москва,м
"Шухов И. Н.","Загадочное дупло",Рассказы,1948,15000,1,1,0,0,Омск,м
"Эгарт Марк","Вперёд, капитаны!",Повесть,1947,30000,0,1,0,0,"Москва; Ленинград",м
