ФИО,Название,Жанр,"Год издания",Тираж,"Для младшего возраста","Для среднего возраста","Для старшего возраста",Примечания,"Место издания",Пол
"Воскобойников, В.","Я еду отдыхать","Повести и рассказы",1966,100,1,,,,Ленинград,м
"Воскресенская, Ж.",Антошка,Повесть,1966,100,1,1,,,Москва,ж
"Воскресенская, Ж.","Зойка и ее дядюшка Санька",Повесть,1964,150,,,,,Москва,ж
"Воскресенская, Ж.","Ленивое солнце",Рассказы,1965,600,1,,,,Москва,ж
"Воскресенская, Ж.",Ястребки,Рассказы,1965,250,1,,,,Москва,ж
"Воскресенский, С.","Горсть земли с Анпучан",Повесть,1964,50,,1,1,,Ленинград,м
"Всеволожский, И.; Новиков, Ф.","Отряды в степи",,1964,50,,1,1,,Москва,м
"Всеволожский, И.; Новиков, Ф.","Отряды в степи",,1966,100,,1,1,,Москва,м
"Вятский, А.",Лидка-чапаенок,Повести,1965,75,,1,,,Куйбышев,м
"Гаврилов, П.","На баррикаде",Рассказ,1964,150,1,,,,Москва,м
"Гавтристова, Л.","Октябрьские звездочки летом",,1966,2000,1,,,,Ярославль,ж
"Газукина, А.","Серебряный барс",Рассказы,1966,100,1,,,,Кемерово,ж
"Гайдар, А.","Собрание сочинений","в 4-х томах",1964,500,,,,,Москва,м
"Гайдар, А.","История о неуловимом билете",Рассказы,1965,65,,,,,Москва,м
"Гайдар, А.","Клятва Тимура",,1964,100,,,,,Москва,м
"Гайдар, А.","Мои товарищи","Повести и рассказы",1964,100,1,,,,Москва,м
"Гайдар, А.","Маленькие рассказы",,1966,100,1,,,,Москва,м
"Гайдар, А.",Повести,,1964,10,,1,,,Москва,м
"Гайдар, А.",Поход,Рассказы,1965,600,1,,,,Москва,м
"Гайдар, А.","Пусть светит",Рассказ,1966,100,1,,,,Москва,м
"Гайдар, А.","Сульба барабанщика",Повесть,1964,100,,,,,Москва,м
"Гайдар, А.","Тимур и его команда",Повесть,1964,100,1,,,,Москва,м
"Гайдар, А.","Тимур и его команда",Повесть,1965,150,1,,,,Москва,м
"Гайдар, А.","Тимур и его команда",Повесть,1965,50,1,,,,Москва,м
"Гайдар, А.","Тимур и его команда",Повесть,1965,50,1,,,,Мурманск,м
"Гайдар, А.",Школа,Повесть,1964,100,1,,,,Москва,м
"Гачечиладзе, М.; Немирова, М.","Я живу в Тблиси",Рассказы,1965,10,1,,,,Тблиси,м;ж
"Гельбак, П.","Дух картошки у костра...",Повесть,1964,65,,,,,Москва,м
"Генке, В.","Операция ""три н""",Повесть,1966,100,,1,,,Алма-Ата,м
"Георгиевская, С.","Дважды два - четыре",Повесть,1966,75,,,1,,Москва,ж
"Георгиевская, С.",Отрочество,Повесть,1965,100,,,,,Москва,ж
"Георгиевская, С.","Портной особого платья",Рассказы,1964,300,1,,,,Москва,ж
"Георгиевская, С.","Серебярнное слово",Повести,1964,100,,,1,,Москва,ж
"Герасимов, Н.","Завтрашний день принадлежит тебе",Повесть,1966,65,,1,,,Москва,м
"Герскина, Л.","В стране невыученных уроков",,1966,200,1,,,,Москва,ж
"Герман, Ю.","Дорогой мой человек",Роман,1966,75,,1,,,Ленинград,м
"Герман, Ю.; Фарфель, С.",Чапай,Рассказы,1964,450,1,,,,Ленинград,м;м
"Герчик, М.","Земное притяжение",Рассказы,1965,15,,1,1,,Минск,м
"Герчик, М.","Портрет Фиделя",Повесть,1964,50,,1,,,Минск,м
"Глебов, А.","Мой сосед Славка",Рассказы,1965,100,1,,,,Москва,м
"Глебов, Н.",Карабарчик,Повесть,1966,75,,1,,,Челябинск,м
"Глебов, Н.","Степные орлята",Повесть,1965,65,,1,,,Челябинск,м
"Глущенко, В.","Земля Мишки Демина",Повести,1965,100,,1,,,Новосибирск,м
"Глущенко, В.","Кукты Чапогир готовится в дорогу",Повесть,1966,15,1,1,,,Магадан,м
"Глущенко, В.","Печальный урок Леночки Барановой",Поветсть,1965,65,,,,,Москва,м
"Гнедина, Т.","Последний день туготронов. Острова на кристаллах воображения",Повести,1964,115,,1,,,Москва,ж
"Голенкова, А.; Иохимович, Д.","Подвиг Кири Баева",Повесть,1965,50,,1,,,Новосибирск,ж;м
"Голицын, С.","Сорок изыскателей",Повесть,1966,100,1,,,,Москва,м
"Голубев, Ф.","Ведьмино кольцо",Рассказы,1965,15,1,,,,Воронеж,м
"Голубева, А.","Клаша Сапожкова",Повесть,1965,100,,,,,Ленинград,ж
"Голубева, А.","Рассказы о Сереже Кострикове",,1966,100,1,,,,Ленинград,ж
"Голубов, С.","Снимем, товарищи, шапки",Повесть,1965,100,,1,,,Москва,м
