author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Муравьев, В.",Приключения Кольки Кочерыжкина,Повесть,1965-01-01,150000,TRUE,NA,NA,NA,Москва,м,Муравьев,приключения кольки кочерыжкина
"Муратов,М.В.",Два путешествия капитана Беринга,NA,1941-01-01,70000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Муратов,два путешествия капитана беринга
"Муратов,М.В.",Первые разведчики великого пути,NA,1943-01-01,20000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,м,Муратов,первые разведчики великого пути
"Мусатов, А.",Богатырь,Рассказ,1963-01-01,100000,FALSE,TRUE,FALSE,FALSE,Москва,м,Мусатов,богатырь
"Мусатов, А.",Большая весна,NA,1959-01-01,100000,FALSE,TRUE,FALSE,NA,Москва,М,Мусатов,большая весна
"Мусатов, А.",Варя,NA,1960-01-01,100000,TRUE,FALSE,FALSE,NA,Москва,М,Мусатов,варя
"Мусатов, А.",Весенние песни,рассказы,1970-01-01,100,TRUE,NA,NA,NA,Москва,м,Мусатов,весенние песни
"Мусатов, А.",Высокое небо,NA,1960-01-01,15000,FALSE,FALSE,TRUE,NA,Благовещенск,М,Мусатов,высокое небо
"Мусатов, А.",Гори ясно…,NA,1960-01-01,125000,TRUE,TRUE,FALSE,NA,Москва,М,Мусатов,гори ясно
"Мусатов, А.",Дождик не из тучки,NA,1960-01-01,125000,TRUE,FALSE,FALSE,NA,Москва,М,Мусатов,дождик не из тучки
Мусатов А.,Дом на горе,NA,1951-01-01,30000,FALSE,TRUE,TRUE,NA,Москва; Ленинград,м,Мусатов,дом на горе
"Мусатов, А.",Зеленый шум,Повесть,1963-01-01,50000,FALSE,TRUE,FALSE,FALSE,Москва,м,Мусатов,зеленый шум
"Мусатов, А.",Земля молодая,NA,1960-01-01,65000,FALSE,FALSE,TRUE,NA,Москва,М,Мусатов,земля молодая
"Мусатов, А.",История трех колосков,Повесть,1963-01-01,100000,TRUE,TRUE,FALSE,FALSE,Москва,м,Мусатов,история трех колосков
"Мусатов, А. ; Чичко, М.",Костры на сапогах,Повесть,1950-01-01,30000,FALSE,TRUE,TRUE,FALSE,Mосква; Ленинград,м,Мусатов,костры на сапогах
"Мусатов, А.",Мамаев омут,Повести и рассказы,1966-01-01,75000,NA,NA,TRUE,NA,Москва,м,Мусатов,мамаев омут
"Мусатов, А.",На семи ветрах,Повесть,1966-01-01,75000,TRUE,NA,NA,NA,Москва,м,Мусатов,на семи ветрах
"Мусатов, А.",Ночной обоз,повесть,1971-01-01,100,NA,NA,TRUE,NA,Москва,м,Мусатов,ночной обоз
"Мусатов, А.",Светить всегда,Рассказы,1964-01-01,100000,TRUE,NA,NA,NA,Москва,м,Мусатов,светить всегда
"Мусатов, А.",Сердитый Кузька,Рассказы,1965-01-01,200000,TRUE,NA,NA,NA,Москва,м,Мусатов,сердитый кузька
"Мусатов, А.",Стожары,Повесть,1953-01-01,75000,FALSE,TRUE,TRUE,FALSE,Кострома,м,Мусатов,стожары
"Мусатов, А.",Черемуха,повести и рассказы,1971-01-01,75,NA,TRUE,TRUE,NA,Москва,м,Мусатов,черемуха
МУСАТОВ А.,Стожары,Повесть,1948-01-01,45000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,МУСАТОВ,стожары
"Мусиков, В.",Гришкин голубь,Рассказы,1953-01-01,15000,TRUE,TRUE,FALSE,FALSE,Архангельск,м,Мусиков,гришкин голубь
"Муссалитин, В.",Мальчик с парусом за спиной,рассказ,1971-01-01,100,TRUE,NA,NA,NA,Тула,м,Муссалитин,мальчик с парусом за спиной
"Мустафин, Я.",Голубая лошадь,рассказы,1971-01-01,100,TRUE,NA,NA,NA,Москва,м,Мустафин,голубая лошадь
"Мустафин, Я.",Чувство доброе,рассказы,1971-01-01,100,NA,NA,NA,NA,Москва,м,Мустафин,чувство доброе
Мухарева А.,Мы учились в Москве,рассказы,1947-01-01,15000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,ж,Мухарева,мы учились в москве
Мухарева А.,На войне,рассказы,1946-01-01,15000,TRUE,FALSE,FALSE,FALSE,Ленинград,ж,Мухарева,на войне
"Мухина-Петринская, В.",Корабли Санди,Роман,1966-01-01,75000,NA,NA,TRUE,NA,Москва,ж,Мухина,корабли санди
"Мухина-Петринская, В.",Плато доктора Черкасова,Роман,1964-01-01,65000,NA,TRUE,TRUE,NA,Москва,ж,Мухина,плато доктора черкасова
"Мухина-Петринская, В.",Смотрящие вперед,Романы,1965-01-01,75000,NA,NA,TRUE,NA,Москва,ж,Мухина,смотрящие вперед
"Мухова-Петринская, В.",Корабли Санди,роман,1971-01-01,150,NA,NA,NA,NA,Саратов,ж,Мухова,корабли санди
"Мясников, В.",Выстрел в лесу,NA,1964-01-01,75000,NA,NA,NA,NA,Куйбышев,м,Мясников,выстрел в лесу
"Мясников, В.",Юра в Жигулях,NA,1956-01-01,30000,TRUE,FALSE,FALSE,NA,Куйбышев,м,Мясников,юра в жигулях
"Наволочкин, Н.",Ребята нашего двора,повести,1970-01-01,50,NA,NA,NA,NA,Хабаровск,м,Наволочкин,ребята нашего двора
"Нагибин, Ю.",Мальчики,NA,1955-01-01,30000,FALSE,FALSE,FALSE,NA,Москва,м,Нагибин,мальчики
"Нагибин, Ю.",На озере Великом,NA,1958-01-01,500000,TRUE,FALSE,FALSE,NA,Москва,М,Нагибин,на озере великом
"Нагибин, Ю.",Трудное счастье,NA,1958-01-01,75000,FALSE,FALSE,TRUE,NA,Москва,М,Нагибин,трудное счастье
"Нагишкин, Д.",Город золотого петугка,повесть,1971-01-01,75,NA,NA,TRUE,NA,Москва,м,Нагишкин,город золотого петугка
"Нагишкин, Д.",Город Золотого Петушка,Повесть,1962-01-01,50000,FALSE,FALSE,TRUE,FALSE,Москва,м,Нагишкин,город золотого петушка
"Нагишкин, Дв.",Сердце Бонивура,Роман,1953-01-01,50000,FALSE,FALSE,TRUE,FALSE,Москва; Ленинград,м,Нагишкин,сердце бонивура
Нагишкин Д.,Тихая бухта,Повесть,1947-01-01,30000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Нагишкин,тихая бухта
"Надеждина, Н.",В нашем лесу,NA,1966-01-01,100000,TRUE,NA,NA,NA,Москва,ж,Надеждина,в нашем лесу
"Надеждина, Н.",Каждой былинке брат,NA,1966-01-01,30000,TRUE,NA,NA,NA,Москва,ж,Надеждина,каждой былинке брат
"Надеждина,Н.",Чудеса на грядках,NA,1943-01-01,25000,TRUE,TRUE,FALSE,FALSE,Москва; Ленинград,ж,Надеждина,чудеса на грядках
"Надеждина, Н.",Я вижу море,NA,1959-01-01,315000,TRUE,FALSE,FALSE,NA,Москва,Ж,Надеждина,я вижу море
"Назаренко, М.",На вершине,NA,1959-01-01,30000,FALSE,TRUE,FALSE,NA,Новосибирск,Ж,Назаренко,на вершине
"Назаренко, М.",Неоконченное путешествие,Повесть,1962-01-01,65000,FALSE,TRUE,FALSE,FALSE,Москва,м,Назаренко,неоконченное путешествие
"Нарышкина, М.",Вавка,NA,1960-01-01,15000,FALSE,TRUE,FALSE,NA,Ленинград,Ж,Нарышкина,вавка
