author_std,fullname,qid,gender,birth_year,death_year,author
АлександровБ,NA,NA,m,NA,NA,"Александров, Б.; Александров, Борис"
АлександровВ,NA,NA,m,NA,NA,"Александров, В."
АлександровВА,"Александров, Вадим Александрович",Q99522927,m,1922,1994,"Александров, В. А."
АлександровВЕ,NA,NA,m,1917,NA,"Александров, В. Е.; Александров, Виктор"
АлександровГМ,"Александров, Георгий Моисеевич",Q4061106,m,1914,1990,"Александров, Г.; Александров, Г. М."
АлександровНП,"Александров, Николай Павлович",Q4061134,m,1905,1986,"Александров, Н.; Александров, Н. П."
АлександровПС,NA,NA,m,NA,NA,"Александров, П. С."
АлександровЮ,NA,NA,m,NA,NA,"Александров, Юрий"
АлександровЯА,NA,NA,m,NA,NA,"Александров, Я. А."
АлександроваАН,NA,NA,f,1907,1976,"Александрова, А.; Александрова, А. Н.; Александрова, Анна"
АлександроваВ,NA,NA,f,NA,NA,"Александрова, Вероника"
АлександроваВера,"Александрова, Вера Даниловна",Q55650279,f,1910,1989,"Александрова, В.; Александрова, Вера"
АлександроваЕА,NA,NA,f,NA,NA,"Александрова, Е. А.; Александрова, Екатерина"
АлександроваЕВ,"Александрова, Е.",Q4063497,f,1853,1887,"Александрова, Е."
АлександроваЗН,"Александрова, Зинаида Николаевна",Q4061162,f,1907,1983,"Александрова, З.; Александрова, З. Н.; Александрова, Зинаида"
АлександроваЛК,NA,NA,f,NA,NA,"Александрова, Л. К."
АлександроваМ,NA,NA,f,NA,NA,"Александрова, М."
АлександроваНА,"Александрова, Нина Александровна",Q65150303,f,1916,1972,"Александрова, Н. А.; Александрова, Нина"
АлександроваТИ,"Александрова, Татьяна Ивановна",Q4061168,f,1929,1983,"Александрова, Т. И.; Александрова, Татьяна"
АлександроваЭБ,"Александрова, Эмилия Борисовна",Q104016659,f,1918,1994,"Александрова, Э.; Александрова, Э. Б.; Александрова, Э.Б.; Александрова, Эм.; Александрова, Эмилия"
АлександровичА,"Александрович, Андрей Иванович",Q3920564,m,1906,1963,"Александрович, А."
АлександровичС,"Александрович, Степан Хусейнович",Q3692594,m,1921,1986,"Александрович, Степан"
АлександровичСВ,NA,NA,m,NA,NA,"Александрович, С. В."
АлександровскийВН,"Александровский, Виктор Николаевич",Q22919348,m,1917,1987,"Александровский, В.; Александровский, В. Н.; Александровский, Виктор"
АлексановВП,NA,NA,m,NA,NA,"Алексанов, В. П."
АлексееВ,NA,NA,NA,NA,NA,"Алексее, В."
АлексеевXА,NA,NA,m,NA,NA,"Алексеев, X. А."
АлексеевАИ,"Алексеев, Александр Иванович",Q4061598,m,1921,1993,"Алексеев, А. И."
АлексеевВ,"Алексеев, Владимир Павлович",Q1675052,m,1961,NA,"Алексеев, В."
АлексеевВК,NA,NA,m,NA,NA,"Алексеев, В. К."
АлексеевВЛ,NA,NA,m,NA,NA,"Алексеев, В. Л."
АлексеевВП,NA,NA,m,NA,NA,"Алексеев, В. П."
АлексеевВалерий,"Алексеев, Валерий Алексеевич",Q4061625,m,1939,2000,"Алексеев, В. А.; Алексеев, Валерий"
АлексеевВиктор,NA,NA,m,NA,NA,"Алексеев, Виктор"
АлексеевВл,NA,NA,m,NA,NA,"Алексеев, Вл.; Алексеев, Владимир"
АлексеевГ,NA,NA,m,NA,NA,"Алексеев, Г."
АлексеевЕ,NA,NA,m,NA,NA,"Алексеев, Е."
АлексеевМА,"Алексеев, Михаил Александрович",Q65153294,m,1895,NA,"Алексеев, М. А."
АлексеевМН,"Алексеев, Михаил Николаевич",Q4061685,m,1918,2007,"Алексеев, М. Н.; Алексеев, Михаил"
АлексеевНА,"Алексеев, Никандр Алексеевич",Q4061689,m,1891,1963,"Алексеев, Н.; Алексеев, Н. А.; Алексеев, Никандр"
АлексеевНЕ,NA,NA,m,NA,NA,"Алексеев, Н. Е."
АлексеевОА,"Алексеев, Олег Алексеевич",Q4061711,m,1934,2001,"Алексеев, О. А.; Алексеев, Олег"
АлексеевПИ,NA,NA,m,NA,NA,"Алексеев, П. И.; Алексеев, Петр"
АлексеевС,NA,NA,m,NA,NA,"Алексеев, С."
АлексеевСП,"Алексеев, Сергей Петрович",Q4061726,m,1922,2008,"Алексеев, С. П.; Алексеев, Сергей"
АлексеевЯЯ,NA,NA,m,NA,NA,"Алексеев, Я. Я."
АлексееваА,NA,NA,f,NA,NA,"Алексеева, А."
АлексееваАИ,NA,NA,f,NA,NA,"Алексеева, А. И."
АлексееваВВ,NA,NA,f,NA,NA,"Алексеева, В.; Алексеева, В. В.; Алексеева, Вера"
АлексееваМН,NA,NA,f,NA,NA,"Алексеева, М. Н."
АлексееваТ,NA,NA,f,NA,NA,"Алексеева, Т."
АлексеевскийН,NA,NA,m,NA,NA,"Алексеевский, Н."
АлексеевскийНИ,NA,NA,m,NA,NA,"Алексеевский, Н. И."
АлексинАГ,"Алексин, Анатолий Георгиевич",Q3454045,m,1924,2017,"Алексин, А.; Алексин, А. Г.; Алексин, Анатолий"
АлексинАП,NA,NA,m,NA,NA,"Алексин, А. П."
АлелекковЛ,NA,NA,m,NA,NA,"Алелекков, Л."
АлембековаН,NA,NA,f,NA,NA,"Алембекова, Н."
АлендейВС,NA,NA,NA,NA,NA,"Алендей, В. С."
АленкинБ,NA,NA,m,NA,NA,"Аленкин, Борис"
