Булычев Кирилл.	396, 3843, 3844, 3932
Бунин И. А.	3811, 3889, 3906, 3935
Буньков С.	397
Бунятов М.	3825
Буравкин Г.	3114, 3789
Буравлев Е.	398, 399
Бураков Л.	400
Бурке Н.	3939
Бурсов И.	401, 402
Буртин Ю.	2355
Буруев Л.	3786
Бурцева Л.	3786
Бурчевская И.	4455
Буряковский Ю.	3947
Бусыгин А.	3901
Бутягин Ю.	3773
Буханов В.	3827
Бухштаб Б.	2848
Буценко О.	3841
Буцень О.	3786
Бушко Т.	3856
Быков В.	3647, 3940
Быкова М.	3817, 3872, 3923
Быковский В.	3827
Бытовой С.	403, 404, 3765
Бычко В.	3786, 3861
Бяганская Я.	3786
Бядуля З.	3856
Бялик Б.	676
бааранди Д.	3871
Ваганов И.	405
Вагнер Л.	3828
Важдаев В.	406—413, 3488, 3514 3809, 3858, 3887, 3924, 3934.
Вайдья Суреш.	3852
Вайнберг М.	3851
Вайнштейн М.	3851, 3921
Вайс Г.	2121, 3822, 3901
Вайсберг И.	4538
Валина В.	3786
Валлини Альфредо.	3828
Вальдман В.	3592
Ван Линь.	3569
Ван Тхиен.	3774
Ванаг Ю.	3503, 3815
Ванага Р.	3815
Вангели С.	3115—3117, 3829
Ванеев Альберт.	3118
Ванслова А.	414, 415
Ваншенкин К.	3857, 3889, 3919, 3920, 3922, 3936
Варавва Иван.	416
Варденский Марек.	3727
Варикаш В.	3997
Варикаш И.	3997
Варненская Моника.	3570
Вархотова Д.	3765
Варшавский Анатолий.	417, 3998
Варшавский Г.	418, 419
Варшавский Я.	4330
Васамурти.	3571
Василев Иван.	3870
Василев Орлин.	3870
Василевич Алена.	3119, 3120
Василевская Э.	3805
Василевский И.	420
Василенко В.	421
Василенко И.	422, 3764, 3769, 3816
Васильев Арк.	423, 424
Васильев В.	3945, 4014, 4015, 4017
Васильев Павел.	3889
Васильев Сергей.	3775, 3782, 3786, 3857, 3919, 3936
Васильева Лариса.	3857
Васильева О.	3875
Васильева Т.	3825
Васильева-Гангнус Л.	425
Васильченко Михаил.	426
Васин Ким.	3121
Васютов Ю.	3122
Ватагин М.	3515
Вахман В.	427
Вахнина В.	3783
Вахрамеев И.	3822
Вацземниек Л.	3815
Вациетис Ояр.	3123, 3124, 3815
Вацуро В.	2848, 2849
Введенский А.	3592, 3594, 3805, 3858, 3934
Вебер Ю.	3999, 4000
Ведзнжев Ахмет.	3125
ВеенЦев В.	4001
Вейц Г.	3975
Векшегонова И.	428
Велари Майджил.	3828
Велиев Сулейман.	3126
Великанов В.	429, 3883
Великанов Н.	3869
Величко М.	3895
