Калаушин Б.	285, 858, 1216, 1335, 1492, 2306
Калачев С.	22, 122, 137, 203, 421, 443, 796, 1494, 1504, 1570
Калинин П.	1227, 1879, 2000
Калиновский Г.	532, 600, 605, 677, 874, 910, 1374, 1447, 1497, 2208, 2238, 2296
Калита Н.	997, 1492, 1606, 2046
Каменский В.	874, 893
Камин Э.	1041, 1896
Каминский Л.	2306
Кампар З.	1877
Каневский А.	105, 106, 120, 1328, 1329, 1537 2303
Каневский В.	218, 816, 976, 1168, 1453, 1738, 2643, 2654
Канторов А.	800, 1507
Капустин Е.	574
Капустина Т.	206, 284, 920, 1495, 2306, 2547
Капусцинский В.	2300, 2573
Карабут В.	2474
Караваев В.	424
Караваевы Г. и В.	666
Карамышев В.	1049
Карасев В.	2350
Карбелашвили Т.	2086
Кардовский Д.	1755, 1756, 1761
Каретко В.	565
Карпенко М.	2097
Карпов К.	754
Карпова Ю.	1165
Карчевский П.	731
Карюков Л.	2327
Касьяненко О.	523
Катаев Ю.	1363
Кащенко В.	2604
Келейников А.	967, 1022, 1237, 1238, 1737, 2309, 2437, 2647, 2661
Кибрик Е.	1544, 1546
Ким Ю.	1948, 2113
Киприн С.	1398, 1456, 2321
Кириллов В.	1066
Кирич Э.	2071
Кириченко Э.	609, 1406
Киселев Ю.	788, 2257, 2434, 2444
Клементьева К.	1613, 1698, 1699, 1732
Клепикова Е.	1047
Клюжев В.	89, 1916, 2101
Кнорринг Н.	173
Ковалев А.	1465, 2495
Ковалев И.	1365
Ковалев Н.	2082
Ковалев С.	362, 489
Коваленков С.	779
Кованов Г.	2529
Ковенацкий В.	933
Ковенчук Г.	278, 1080, 2354, 2573
Ковынев В.	2529
Коган Е.	310, 352, 688, 1359
Козлов В.	2357
Козлов Г.	103, 2637
Козлов Л.	2525
Козлова Л.	2501
Коковкин А.	1171
Кокорин А.	243, 480, 2132, 2218
Колесников В.	464, 676, 1609, 1644, 2552
Колли А.	2312, 2454
Колмогорцева И.	1488
Колтунов В.	874
Комаров Б.	321, 1534, 1540, 1552, 1591, 1626, 1668, 1672, 1704, 1734
Комаров В.	460
Конашевич В.	119, 811, 815, 816, 874, 893, 1321, 1438, 1442, 1443, 1454, 1455, 1621, 1653, 1654, 1660, 1772, 1776, 1796, 1933, 2128—2130, 2216, 2222
Кондахсазов Р.	2016
Кондиайн Э.	2261
Кондратьев А.	1588— 1590
Коновалов В.	172, 693, 874, 893
Коновалов Г.	2353
Коновалов И.	348
Кононов И.	340, 450, 1768, 1970
Константинов А.	1809
Константинов Б.	2475
Константинов Ф.	560, 1467, 1468, 1521, 2304
Константинова Е.	874
Копейко Ю.	55, 144, 207, 472, 502, 504, 505, 741, 2281, 2420
Копылов Ю.	7, 2296, 2345
Кор А.	2300, 2573
Кордимун Б.	933
Коржевский Б.	874, 1606
Коринец Ю.	657
Корнев О.	1491
Корнилова И.	2573
Коровин А.	190
Коровин О.	212, 660, 914, 928, 929, 951, 1054, 1280, 2235, 2329, 2441
