Вайян-Кутюрье П.	3571
Ваксов В.	4160, 4161
Вакуловская Л.	3720
Валевский А.	318
Валина Е.	3513, 3646
Валлатхол.	3502
Валов В.	319
Вальдгард С.	3804
Вальде В.	3549
Вальдман В.	327
Вальтер В.	3558
Вальякка В.	3567
Ван Сюэ-бо.	3502
Ван Цзин-ху.	3561, 3562
Ванс П.	3558
Варварин Н.	4161
Варенич В.	3506
Варсонофьев В.	3725, 3776
Вартаньян Э.	3805
Васева А.	3546
Василевская С.	4413
Василевский А.	3657
Василевский В.	2380, 2381
Василевский И.	320, 321, 3534
Василенко И.	322—332, 3572, 3631, 3687, 3688, 3718
Василенко С.	4156
Васильев А.	338, 879
Васильев А.	334, 3206, 4535
Васильев А.	3524
Васильев А.	3559
Васильев А.	3724
Васильев В.	3702
Васильев В.	3580
Васильев Г.	3511
Васильев Г.	3544, 3806
Васильев Е.	3686
Васильев Н.	3621
Васильев С.	2795, 3534, 3629
Васильев Ю.	4160, 4203, 4204
Васильева В.	3591
Васильева В.	4590
Васильева Н.	4161
Васильков И.	3807
Васильченко В.	4239
Васильченко М.	4239
Васильченко С.	2796, 3581а
Васин К.	2797, 2798, 3579
Васина-Гроссман В.	3808
Васютин Н.	4240
Васютина Е.	3652
Вахит Х.	3605
Вахман В.	335
Вахов А.	336, 337
Вахов А.	3656, 3704, 3706
Вахрамеев И.	338
Вахрушева М.	3579
Вахтин Б.	3809
Вашкевич Ф.	3656
Введенский А.	339, 340, 3220, 3224, 3225, 3513
Вдовин Т.	3624
Вебер Ю.	341
Веврик Е.	3549
Веденов А.	4241
Ведзижев А.	3579
Веерт Г.	3614
Вейс А.	3710
Вейц Г.	3759
Векен К.	3565
Великанов А.	342
Великанов В.	343, 344
Великанов В.	3506
Великанов В.	345, 3810, 3811
Веллер Е.	3583
Велтистов Е.	346
Венгров Н.	347, 3582, 4535
Веневитинов Д. В.	3617
Венцлова А.	3602,
Венюшин В.	3687
Вергелис А.	3068
Вереин И.	3577
Верейская Е.	348—352, 3536, 3665
Верейский О.	3581а, 3812
Вересов А.	353, 3622
Веретенников Н.	354, 355
Верешмарти М.	3508
Верзилин Н.	3813
Берлинский В.	356
Верн Ж.	3196—3200
Веров В.	3687
Верхало Ю.	4177
Верховский В.	3703
Вершинин А.	357, 358, 3472
Веселка О.	3596
Веселовская Е.	3513, 3637
Веселовский В.	359
Веселовский И.	3787
Ветвицкий В.	4547
Ветлина В.	3667
Ветлугин И.	360, 3563
Ветров Д.	361
Вехова М.	3694
Вечканов С.	2799
Вечтомова Е.	3600
Виард В.	2800, 3723
Вигдорова Ф.	3687
Видонова Е.	3608
Виеру Г.	2801
Викторов В.	362, 3515, 3586, 3611, 3703, 3815
Викулов С.	3573, 3678
Вилип П.	2987
Виллис.	3816
Винкман М.	363
Винников В.	364, 365
Виноградова А.	3744
Виноградов В.	3646, 3701, 3817
Виноградов Е.	3818, 4243
Виноградская Л.	3734
Винокуров Е.	3534, 3629
Винокуров И.	366, 3819
Вирта Н.	367—370, 3572
Висковатов-Висковатый П.	3596, 3597
Витензон Ж.	3716
Витка В.	2802
Виткович В.	371
Витман А.	4527, 4537
Вихко Е.	372
Вишнев П.	373
Вишневская Э.	4575
Владимирова Е.	3554, 3556, 3580
Владимирова Т.	3500
Владимирцев Д.	3710
Владыкина-Бачинская Н.	3810
Власов А.	374
Власова С.	3710
Влэстару Б.	3569
Вовченко П.	3821
Водопьянов М.	375—377, 2088, 3688
Вознесенская А.	3618
Вознюк В.	4246
Воинов А.	378, 4085
Войнич Э.	3201, 3621
Войцеховская Н.	4576
Войшвилло Г.	3822
Волгин С.	379, 3660
Волгина Т.	380, 3515, 3523, 3595
Волевич И.	3239, 3240
Волин Б.	381
Волин П.	3823
Волк И.	382, 384, 3631, 3698, 3698, 4080, 4085
Волков А.	184
Волков А.	385—388, 3581а—3583, 3824
Волков А.	3546
Волков Г.	2803
Волков Л.	389
Волкова Л.	3825
Волкодаев П.	390, 3517
Волконский М.	3685
Володин Г.	3626
Володина И.	3167
Волохов Ф.	391
Волошин А.	392
Волчек Я.	393
Волынский Е.	4247
Волынский Л.	394, 395
Вольпер И.	3826, 4160, 4161
Вольпин М.	3716
Вольский В.	2804
Вольф С.	3542
Воробьев В.	396, 3506
Воробьев В.	397, 398
Воробьев В.	3509, 3698
Воробьев Е.	399, 3602, 3688
Воробьев П.	3720
Воробьева И.	400, 2470, 3718
Воробьева Л.	3626
Воройская Г.	3827
Вороненко К.	3518
Воронец В.	4531
Воронин А.	3506
Воронин С.	4248
Воронин Э.	3567
Воронков А.	3656
Воронков К.	415, 3687
Воронкова Л.	401—415, 2577, 3513, 3527, 3582, 3597, 3611, 3621, 3687, 3718, 3828, 3829
Воронцов-Вельяминов Б.	3725
Ворончук Р.	3551
Воронько П.	2805—2812, 3521, 3523а, 3534, 3596, 3597, 3629, 3718
Воротников И.	4249
Воротникова Э.	3516
Ворошилов К. Е.	3664
Воскресенская З.	3583
Воскресенский С.	416
Востоков И.	417
Вощинин В.	4144
Вронская В.	3704
Всеволожский И.	418, 540
Выговский В.	2813
Выгодская Э.	419
Вылежнев Ю.	420
Вынту В.	3202
Вырган И.	3534
Высикан П.	3543, 3577
Высоковская А.	3551
Высоковский К.	421, 3551
Высотская О.	422—426, 3515, 3521, 3581, 3586, 3595, 3596, 3611, 3675, 3703
Высотская Т.	427
Высоцкий А.	3563
Высоцкий М.	428
Выставкин Е.	3534
Вышеславцева С.	3521, 3523а, 3595—3597
Вьюшков П.	3618
Вяземский П. А.	3495, 3721,
Вятский А.	3517
Гаадамба М.	3203
Габай Г.	2826
Габбе Т.	429, 2711, 2713, 2718, 3365, 3571, 3716
Габдуллин Н.	3687
Габриэлова Э.	3516
Габриэлян Р.	3711
Гавеман А.	13, 3831
Гаврилов И.	3664
Гаврилов Л.	430—433, 3544
Гаврилов П.	434, 1071, 3536
Гадагатль А.	2814
Гаджиев Б.	4256
Гаджиев З.	3547
Гаджиев М.	3579
Гаевский Н.	435
Гаецкий Ю.	436, 437
Газукина А.	438—440, 3565
Гаирбекова М.	3547
Гай М.	441
Гай-Гулина З.	4257
Гайдаенко И.	3522
Гайдар А.	442—469, 3536, 3575, 3579, 3583, 3590, 3602, 3606, 3611, 3650, 3687
Гайдар Т.	442
Гайрати.	2815
Гакина В.	2484, 2513, 3533
Галанов Б.	1467
Галин Б.	3602
Галич А.	3716
Галкин И.	3575
Галкин Л.	470
Галкин П.	2723
Галкина С.	3992
Галченко И.	3704, 3580
Гальперин Ю.	3527
Гальперина Э.	3522
Гальперштейн Л.	3581а—3583, 3832 4218, 4258
Галямин Д.	471
Гамзатов Р.	2816, 2817, 3547, 3579, 3605 
Ганейзер Г.	472—474, 3582, 3583, 3835—3837
Ганзелка И.	3833, 3834
Ганзен А.	3542
Гани С.	3538
Гансовский С.	475
Гао Юй-бао.	3204
Галич Л.	3657
Гарбузов С.	3583
Гарин Н.	3590
Гарин С.	476—478
Гарин Ф.	479
Гарин-Михайловский Н. Г.	2438, 3663, 3684
Гарина Е.	3698
Гарипова В.	3704, 3705
Гарнич А.	1251
Гарнич Н.	480
Гарновский В.	3573
Гарновский К.	481
Гартман М.	3614
Гарф А.	3601
Гаршенин В.	4259
Гаршин В. М.	2439, 3590, 3663, 3679, 3683, 3684
Гасенко Г.	482, 3661
Гасилова Х.	2818
Гатов А.	3287, 3534
Гауф В.	3205
Гафури М.	2819
Гафуров А.	3578
Гацак В.	3148а
Гачечиладзе Д.	3530
Гашек Я.	3621
Геббель Ф.	3614
Гегелло Н.	483
Гейбель Э.	3614
Гейда В.	3581а, 3698
Гейне Г.	3614, 3712
Генкель П.	3725
Георгиевская С.	484—487, 3687
Герасимов В.	488
Герасимов Е.	1
Герваш А.	3565
Гервег Г.	3614
Гергей М.	3206
Гер дер И.-Г.	3614
Гердт З.	489, 490
Геркан И.	3476
Герман Ю.	491, 492
Гернет Н.	493—496, 1808, 1809, 3513, 3611, 3646
Герр Е.	3575, 3664
Герфорд О.	3649
Герц Б.	3207, 3558, 3645
Герцен А. И.	2440, 2441,
Герцовский Э.	3540
Гершензон М.	3402, 3403
Гершуни С.	497—499, 3499—3501, 3558, 3609, 3700, 3710
Гессе Н.	3481, 3510, 3549, 3553
Гессен А.	3838
Гете И.-В.	3614
Гетьман В.	3522
Гехт С.	500
Гидаш А.	3208, 3304, 3508
Гильзин К.	3839, 3840
Гильфан С.	2820
Гинцбург Р.	501, 3581а
Гинцель П.	502
Гитович А.	3629
Главан З.	3841
Главацкий Б.	3500
Гладков А.	3842
Глазков А.	3546
Глазков М.	3559
Глазовой П.	3087
Гласбреннер А.	3614
Глебов А.	3625
Глебов Н.	503, 504
Глинка В.	505
Глотов В.	506, 507, 3629
Глухов П.	3723
Глушков Б.	3501
Глущенко В.	508—510, 3527, 3596
Гмырев А.	2442
Гнедич Н.	3534
Говоров А.	3655
Гогиашвили К.	3530, 3560
Гоголадзе Т.	3560
Гоголев И.	3605
Гоголь Н. В.	2443—2449, 3534, 3587
Галант В.	3282, 3844, 4160—4161
Голендухин П.	511
Голенкова А.	512
Голиков В.	3558, 3577
Голицын С.	513, 3611, 3845
Голованов А.	3846
Головань И.	3622, 3652, 3795
Головин А.	3710
Головин В.	514, 515
Головин Д.	516
Головина Н.	805—808, 3564, 3620
Голодный М.	3629
Голосов П.	517, 3592, 3594
Голубев Ф.	3655
Голубева А.	518, 519, 4535
Голубов С.	520, 569
Голышкин В.	3509, 3516, 3606, 3698
Гольданский В.	4022
Гольдберг А.	521, 522, 3501, 3609
Гольдберг Б.	3567
Гольдин Н.	3511, 3540, 3542, 3544
Гольдовская В.	3706
Гольц-Миллер И.	3585
Гольштейн Д.	4519
Голявкин В.	523, 524, 3557, 3583
Голяховский В.	525, 3567, 3595
Гонимов И.	526
Гонтарь А.	3068
Гончар О.	3514, 3543, 3602, 3687
Гончаренко Б.	3514
Гончаренко Е.	527
Гончаренко Т.	528, 529
Гончаров В.	530
Гончаров И. А.	2450—2452
Гончаров Н.	219, 531
Гончарова Т.	3724,
Гопп Ф.	532
Гора Г.	533
Горбатов Б.	3602
Горбачевский Б.	3847
Горбов Д.	3302
Горбовцев М.	534, 3655
Горбунов Д.	3518, 3592, 3594
Горбунов Н.	535, 536, 3516, 3563
Горбунов П.	537, 538, 2557, 3670, 3677
Горбунова К.	3848
Гордашевский П.	539
Горденко М.	3527
Гордин И.	3610
Горелов И.	3626
Горин Г.	3513
Гориневская В.	4260, 4261
Городецкая Е.	3587а
Городовиков О.	540
Горохов И.	3664
Горский В.	3716
Горфинкель Д.	3264, 3382
Горький М.	541—556, 3503, 3504, 3511, 3581а, 3582, 3585, 3587, 3590, 3621, 3663, 3664, 3679, 3684, 4124, 4521
Гославская Т.	4222
Готтесман В.	4263
Готье Т.	3209
Гофмейстер А.	3210
Гохарь-Хармандарян И.	557
Гоциридзе И.	4264
Гра Ф.	3211, 3621
Грабовский В.	558
Грабовский Я.	3212—3214, 3645
Гравишкис В.	559
Градов П.	3515, 3701
Граевский А.	3612, 3613
Гражданская З.	3192
