Мочалов С. М.	203, 382, 387, 439, 460, 1800, 1903, 1979, 2214, 2968, 3120, 3689, 3713
Муратов Н.	460, 622, 3528, 3616
Мурашев С. и Сигорский В.	1200, 1670
Мюльгаупт Л.	1119
Нагишкин Д.	2957
Налетов А.	2363
Невский В.	700, 3631, 3754
Недбайло.	1272
Некшен Д.	95, 1655
Неутолимое И. С.	1678, 3699
Никифорова Б. С.	490
Никольский Г. Е.	265, 344, 352, 436, 463, 749, 3249, 3397, 3496, 3777 3839
Нисский Г.	1899, 1990, 2308, 2459, 3026, 3248
Новиков А.	308, 517, 2215, 2220, 3128
Новиков В.	1377
Новоселов Б. А.	3947
Оболенская Ю.	393
Огоев А.	3798
Одноблюдов Г. В.	1814
Олдин Сесиль.	2307, 4095
Орешников В.	449, 460
Орлов Г.	35, 1119, 1167, 1168, 4115
Орлова М.	2968
Оссовский Л.	81
Островский П. ГГ.	3990
Павильонов Г.	1119
Павлинов П.	1280
Павловский С.	1119, 2169
Памятных Н.	650, 2820, 3432
Пастухов П.	1943
Парамонов А.	2376
Пахомов А.	455, 975, 1503, 1653, 2104, 2129, 2130, 2139, 2141, 2162, 2165, 2173, 2211, 2527, 2589, 2591, 3449, 3626, 4053
Пащенко М.	2223
Певзнер Т.	421, 423, 1287, 3427
Пейч С. И.	274, 484
Первозванский Б.	3217
Пернаков Е.	1131
Перников Е. И.	3084
Перов В. С.	2064, 2904, 2905
Петров Г.	1831, 1993, 3495
Петров Ю.	1188, 1995, 3556
Петрова А.	2293, 3306
Петрова Н.	1969, 2502, 3693, 4002
Петрушко А.	1408, 2371, 2897, 3385
Петунии М.	1860
Пиков М.	1069
Пластов А.	2302, 2526, 3561, 3890
Плетнев-Антошенко В.	3334
Подломаев Д.	2116, 2126, 2901,4169
Подломаев Д. и Трофименко Е.	1780
Покровский Б.	261, 401, 1337, 2493
Покровская Т.	1961, 3083, 3977
Полещук Ф.	769, 863
Полозов Н.	3274, 3451, 3462
Поляков М.	362, 940, 1069, 1128, 1619, 2379
Полянский С.	1055, 1787
Попова Л.	2293, 2834, 4097
Попова Л. и Никифоров Б.	2580
Порфирев Ю.	1543, 3961
Порэт А.	18, 681, 682, 2222, 2442
Порэт А. и Капустин Л.	2602
Постников В.	1101, 1446, 3902
Потапов Н. В.	2890
Потехина Е.	3165
Поторко Н. Г.	1793
Правдина А.	2229, 2862, 3337
Правосудович Т.	894
Прожогин В.	1747, 3212, 3263, 4119
Протопопов В.	1739
Пруцкий А.	294, 460, 973, 1545
Прушинский С.	2330
Пустовойт Г.	2128, 4009
Пятницкий В. С.	1602
Рабинович М.	748
Рабье Б.	367
Радищев А.	1074, 1517а, 1804, 2003, 3204, 3352, 3803, 4087
Радлов Н.	640, 1413, 1414, 3003
Разулевич М.	1466, 3236, 3380, 3975
Раков В.	2452, 3210, 3264
Рачев Е.	324, 331, 351, 753, 1217, 1322, 1491, 1492, 1567, 1788, 1858, 2145, 2640, 2872, 3536
Ребикова Е.	1004, 1129
Ревазов.	1638
Редлих Е.	258, 992
Рейх М.	1515, 1960, 2369, 3869
Ремингтон.	1979
Репников А.	1694а, 1785, 1796, 1807, 1963
Рерберг И.	96, 2946
Решетников Ф.	2213
Реутов А.	2885
Ридигер Б.	1728, 3390
Риу.	568, 580, 3274
Риу и Невилль.	560
Родионов М.	249, 720, 1053, 1119, 1621, 1628, 3594, 3635
Рождественская В.	1765
Розанов И.	414
Розенблат О.	1119, 1849, 3316
Розенфельд Н.	1243
Ромодановская А.	1167, 1168, 4115
Ротов К.	224, 243, 1530, 1548, 1604, 2281, 2286, 2295, 2381, 3401, 3921, 3982
Рудаков К.	511, 599, 653, 948, 989, 1161, 1683, 1989, 2099, 2104, 2916, 2924, 2945, 3520, 3540, 3686
Рудаков К. и Шевяков Г.	460
Рыбников А.	652
Рылов А.	345, 347
Рындин В. Ф.	3260
Рябов П. И.	1010, 1978, 2028, 2809, 2810, 3843
Сайчук В. И.	2353
Самохвалов А.	343, 1024, 1164,1829, 2430, 3167, 3605, 3683
Санников Д. и Шевяков Т.	1271
Сапожников А.	1781, 1782, 1789
Сарг Тони.	2745
Сарьян М.	125, 2538
Сафонова Е.	62, 80, 384, 533, 689, 976, 991, 996, 1302, 1831, 3172, 3173, 3923, 4000
Сахаров С.	4028
Сахновская Е.	3073
Сварог В.	2314
Сварог В. и Симаков И.	910
Свешников В.	3005
Свиненко.	3743
Секач З.	3160
Селиванов Н.	64, 3602, 4018
Селиванов-Картер Н.	3685
Семенов А.	1740
Сейенов Б.	460, 1972
Сенаторский С. В.	1735
Серегин М.	489, 2493
Серегин М. и Исаева Н.	1587, 3436
Серов В.	1777
Серяков Л. А.	958
Сетон-Томпсон Э.	3241, 3242, 3245
Сигов Ф.	862
Сидельковский Б. И.	701, 814, 1719, 2407, 3589, 4164
Сидоров Л.	3262
Силин А.	3647
Синани В.	3617
Синякова М.	1532, 2545, 3665, 3981
Симонович-Ефимова Н.	3261
Ситников Н.	2261
Скаллин Ю. Д.	2659, 2660, 2670, 2671, 2675, 2679, 2695, 2697, 2705, 3117, 3120, 3207, 3734, 3824
Слепян Ю.	1470, 2193
Смелов А.	2952
Сметанникова В. А.	3991
Смехов Л.	2425
Смирнов Д.	4, 5, И.	445, 2843, 3789 
Смирнов М. П.	1678, 3699
Смольянинов Н.	970, 1072, 2258, 2664, 3726, 4061
Соколов А.	207
Соколов В.	1773, 3487
Соколов Е. Г.	2353
Соколов П.	326, 2940
Соколов С.	1119, 3488
Соколов-Скаля П.	1607, 2620, 3113, 3782
Солонин С.	1809
Софьин А.	161, 1379, 1711
Спендиарова М.	1119, 1618
Староносов П.	1075, 2353, 3026, 3093, 3980
