Лукеш Я.	1435а
Хаустов Л.	1750
Хашек Я.	1717
Хермлин С.	1668
Хетагуров К.	174
Хилтухин Д.	1010
Химин Н.	1011
Хитарова С.	2084
Хлебников П.	1915
Хлебников П.	1947
Хмельницкая Т.	2096
Хмельницкий С. И.	1515
Ходза Н.	1640
Ходза Н.	1643
Ходза Н.	1645
Ходза Н.	1646
Ходза Н.	1650
Ходза Н.	1651
Ходза Н.	1654
Ходза Н.	1685
Ходза Н.	1756
Ходосов Г.	1722
Хомяченков В.	1704
Хоринская Е.	1659
Хоринская Е.	1660
Хоринская Е.	1752
Хоринская Е.	1012
Хоринская Е.	1013
Хоринская Е.	1014
Храброва Л. С.	1796
Храбровицкий Д.	1742
Хуа Шань.	1623
Хуа Шань.	1624
Хуа Шань.	1625
Хузе О. Ф.	1750
Хузе О. Ф.	2083
Хузе О. Ф.	2096
Хузе О. Ф.	2124
Хухра Ю.	2058
Хухра Ю.	2059
Царевич С.	1015
Цветов А.	2061
Цвирка П.	1745
Цейтлин А.	1140
Цейтлин Н.	2062
Цейтлин Н.	2063
Церетели А.	1741
Церетели А.	1506
Цзян Шань-е.	1696
Цимбал С.	2096
Циммеринг М.	1668
Цымбалова М.	1016
Чабанивский М.	1748
Чазов В.	1659
Чалый Б.	1479
Чалый Б.	1675
Чалый Б.	1747
Чаплина В.	893
Чаплина В.	894
Чаплина В.	1727
Чаплина В.	1733
Чаплина В.	1017
Чаплина В.	1018
Чаплина В.	1019
Чаплина В.	1020
Чарная М.	1704
Чарушин Е.	1708
Чарушин Е.	1713
Чарушин Е.	1727
Чарушин Е.	1733
Чарушин Е.	1021
Чарушин Е.	1022
Чарушин Е.	1023
Чарушин Е. и Шумская Е.	1024
Часовников А.	1696
Чафзэзи Л.	1656
Чебаевский Н.	1025
Чебаевский Н.	1689
Чебаевский Н.	1749
Чеботарев А.	1718
Чепижный А.	1026
Чепуров А.	1750
Червинский М.	1742
Черненко А.	1732
Черненко В.	1027
Черненко В.	1714
Черный К.	1666
Чернышевская Н. М.	1028
Чернышевская Н. М.	1716
Чернышевский Н. Г.	1294
Чернышевский Н. Г.	1295
Чернышевский Н. Г.	2080
Чернышевский Н. Г.	2088
Чернышевский Н. Г.	2108
Чехов А. П.	1717
Чехов А. П.	1734
Чехов А. П.	1738
Чехов А. П.	2088
Чехов А. П.	2108
Чехов А. П.	1296
Чехов А. П.	1297
Чехов А. П.	1298
Чехов А. П.	1299
Чехов А. П.	1300
Чехов А. П.	1301
Чехов А. П.	1302
Чехов А. П.	1303
Чехов А. П.	1304
Чехов А. П.	1305
Чехов А. П.	1306
Чехов А. П.	1307
Чехов А. П.	1308
Чехов А. П.	1309
Чжан Тянь-и.	1626
Чжан Тянь-и.	1627
Чиаурели М.	1730
Чикарев Н.	1675
Чиликин В.	1749
Чистов А.	1029
Чистяков В. М.	415
Чистяков В. М.	416
Чкалов В.	1926
Чкаников И.	1030
Чкаников И.	1742
Чкаников И.	2064
Чкаников И.	2065
Чкаников И.	2066
Чувило О.	2084
Чуковский К.	1568
Чуковский К.	1594
Чуковский К.	1708
Чуковский К.	1713
Чуковский К.	1742
Чуковский К.	1031
Чуковский К.	1032
Чуковский К.	1033
Чуковский К.	1034
Чуковский К.	1035
Чуковский К.	1036
Чуковский К.	1037
Чуковский К.	1038
Чуковский К.	1039
Чуковский К.	1040
Чуковский К.	1041
Чуковский К.	1042
Чуковский К.	1043
Чуковский Н.	1760
Чумаченко А.	1671
Чумаченко А.	1694
Чухин А.	1704
Чухров В.	1044
Чухров В.	1045
Шабрин А.	1046
Шабрин А.	1714
Шадрина З.	2067
Шакулов Г.	1047
Шалаев С. Г.	2068
Шалман Ц. С.	1843
Шамкова Г.	1048
Шамкова Г.	1703
Шамякин И.	1666
Шамякин И.	1709
Шапло Д.	1656
Шаров А.	1049
Шаров А.	1050
Шаров А.	1745
Шаров А.	1908
Шастин Ан.	1692
Шастина Н.	1878
Шатров С.	1762
Шатунова А.	2151
Шафрановский К.	1878
Шахов А.	1051
Шахов А.	1733
Шац А.	1753
Шварц Е.	1727
Шварц Е.	1052
Шварц Е.	1053
Шварц Е.	1054
Шварц Е.	1055
Шварц С.	1949
Швец Е.	1753
Шевцов С	1056
Шевцов С	1722
Шевцов С	1744
Шевченко Т. Г.	1507
Шевченко Т. Г.	1741
Шелгунов Н. В.	2088
Шельбург-Зарембина Е.	1752
Шер Н. С.	1675
Шер Н. С.	1696
Шер Н. С.	1730
Шер Н. С.	1741
Шер Н. С.	2088
Шерешевская Н.	1649
Шестаков К.	1667
Шестаков Н.	295
Шиллегодский С.	2080
Шиллегодский С.	2096
Шиллегодский С.	2109
Шиллегодский С.	2110
Шим Э.	1679
Шим Э.	1684
Шипицына Н. И.	1665
Шипицына Н. И.	1688
Широбоков С.	1480
Ширшов Б.	1057
Шишкин С.	1681
Шишов А.	1662
Шишов Б.	1714
Шишова З.	1520
Шишова З.	1521
Шкаровская И.	1058
Шкетан М.	1481
Шкулев Ф. С.	2088
Шлыкович А.	2069
Шляхетко Ю.	1753
Шляху С.	1482
Шляху С.	1483
Шманкевич А.	1669
Шманкевич А.	1687
Шманкевич А.	1696
Шманкевич А.	1722
Шманкевич А.	1727
Шмерлинг В.	1059
Шмулян А.	1750
Шног К.	1668
Шолом-Алейхем.	1508
Шолохов М.	1060
Шолохов М.	1061
Шолохов М.	1745
Шомаков А.	1675
Шошин М.	1062
Шошин М.	1063
Шпак М.	1704
Шпанов Н.	1717
Штейнберг Е.	1909
Штитцер К.	1668
Шторм Г.	1064
Штриттматтер Э.	1668
Шубин А.	1065
Шубин А.	1879
Шумилин В.	1679
Шумилов Г.	1657
Шумская Е.	1024
Шундик Н.	1066
Шундик Н.	1067
Шундик Н.	1669
Шундик Н.	1678
Шуравин Ф.	1520
Шуравин Ф.	1521
Шуринова М.	1068
Шустов В.	1069
Шустов В.	1657
Шустов В.	1661
Шутов В.	1070
Щадных О.	1742
Щеглов А.	1729
Щербаков Д. И.	1671
Щербаков Д. И.	1878
Щербаков Д. И.	1910
Щипачев С.	1071
Щипачев С.	1657
Щипачев С.	1669
Щипачев С.	1671
Щипачев С.	1730
Щипачев С.	1760
Щипачев С.	1762
Щипачев С.	1763
Щукин С.	1913
Эбин Ф.	2090
Эгарт М.	1072
Эйдлин С.	499
Эйдлин С.	1073
Эйдлин С.	1074
Эйдлин С.	1667
Элляй.	1484
Элькин И.	1730
Эль-Регистан.	1743
Эльтекова О.	1684
Эльтекова О.	1685
Эмин Г.	1671
Эмин Г.	1675
Эпов И. С.	2071
Эрберг О.	1535
Эренбург И.	1745
Эрлер А.	2072
Эрлер А.	2073
Эфрос М.	134
Ювенальев И.	2074
Югов А.	1911
Югов А.	1912
Юдович А.	1879
Юксерн В.	1486
Юксерн В.	1487
Юнга Е.	1730
Юнга Е.	1075
Юнга Е.	1076
Юнга Е.	1077
Юнга Е.	1078
Юнга Е.	1079
Юнга Е.	1080
Юрмин Г.	1671
Юрмин Г.	1675
Юрцев Б.	1081
Юрцев Б.	1710
Юрцев Б.	1742
Юрченко И.	1082
Юхнин В.	1715
Языков Н. М.	1702
Языков Н. М.	1723
Якимович А.	1034
Якимович А.	1488
Якимович А.	1666
Якимович А.	1696
Якимович А.	2107
Якобсон А.	1489
Яковлев А.	1660
Яковлев А.	2078
Яковлев Ю.	1671
Яковлев Ю.	1694
Яковлев Ю.	1696
Яковлев Ю.	1722
Яковлев Ю.	1742
Яковлев Ю.	1759
Яковлев Ю.	1085
Яковлев Ю.	1086
Яковлев Ю.	1087
Яковлев Ю.	1088
Яковлев Ю.	1089
Яковлев Ю.	1090
Яковлев Ю.	1091
Яковлев Ю.	1092
Яковлев Ю.	1093
Яковлев Ю.	1094
Якубенко А.	1914
Яльцев П.	1722
Ян В.	1095
Ян В.	1096
Ян В.	1097
Яновский Ю.	1748
Янушевская Г.	1686
Ярмухаметов Х.	1513
Яровая М.	1714
Яхнина Е. и Алейников М.	1098
Яхнина Е. и Алейников М.	1099
Яхнина Е. и Алейников М.	1100
Яшин А.	1759
Яшина П.	1662
Яшунский В. Г.	2164
