Лукеш Я.	1435а
Гарф А.	1526
Гарф А.	1696
Гаршин В. М.	1734
Гаршин В. М.	1736
Гаршин В. М.	1738
Гаршин В. М.	2088
Гаршин В. М.	1110
Гаршин В. М.	1111
Гаршин В. М.	1112
Гафури М.	1386
Георгиевская С.	212
Георгиевская С.	213
Георгиевская С.	1727
Герасимов И.	214
Герман Ю.	215
Герман Ю.	1727
Герман Ю.	1745
Германе О	1700
Гернет Н.	216
Гернет Н.	1750
Герц А.	1668
Герцен А. И.	1113
Герцен А. И.	1114
Герцен А. И.	2088
Гете И. В.	1557
Гиляровский П.	1718
Гинкель Э.	1668
Гладилина М.	217
Гладилина М.	1685
Гладков К.	1789
Гладышева В.	1704
Глазков Н.	1671
Глазков Н.	1675
Глебка П.	1666
Глебов Н.	1658
Глебов Н.	1752
Глебов Н.	218
Глебов Н.	219
Глебов Н.	220
Глебов Н.	221
Глебов Н.	222
Глейзаров Н.	1750
Глинка Ф. Н.	1723
Глущенко В.	1704
Глущенко В.	1762
Гнедич Н. И.	1723
Гнеушев В.	223
Гнеушев В.	1679
Гнеушев В.	1878
Гниловский В. Г.	1790
Говязин В.	224
Говязин В.	1714
Гоголь Н. В.	1115
Гоголь Н. В.	1116
Гоголь Н. В.	1117
Гоголь Н. В.	1118
Гоголь Н. В.	1119
Голант В.	2096
Голей М. и Ляпунов Б.	1791
Голенкова А.	1792
Голицын С.	1793
Голицын С.	1794
Голованова В.	1703
Головенченко Ф. М	1140
Головин Н. В.	1349
Головина А.	361
Головина А.	362
Головкин В.	1715
Головко А.	1387
Головко А.	1748
Голосов П.	225
Голосов П.	1703
Голубева А.	1679
Голубева А.	1730
Голубева А.	226
Голубева А.	227
Голубева А.	228
Голубева А.	229
Голубева А.	230
Голубева А.	231
Голышкин В.	1762
Гольдберг А.	232
Гольдин Н.	1679
Гольдштейн Д.	2161
Гольдштейн Р.	2082
Гомер.	1558
Гончар О.	1745
Гончар О.	1747
Гончар О.	1748
Гончаров В.	1704
Гончаров И. А.	1120
Гончаров И. А.	2088
Гончаров Ю.	233
Гончаров Ю.	234
Гончаров Ю.	1879
Гор Г.	1878
Горбачева З.	1675
Горбовцев М.	235
Горбовцев М.	236
Горбовцев М.	237
Горбовцев М.	238
Горбунов В.	1718
Гордиенко К.	1388
Городецкая Е.	1501
Городецкая Е.	1505
Городецкая Е.	1739
Городецкая Е.	2082
Горький М.	1704
Горький М.	1717
Горький М.	1730
Горький М.	1734
Горький М.	1736
Горький М.	1738
Горький М.	1741
Горький М.	2088
Горький М.	2108
Горький М.	239
Горький М.	240
Горький М.	241
Горький М.	242
Горький М.	243
Горький М.	244
Горький М.	245
Горький М.	246
Горький М.	247
Горький М.	248
Горький М.	249
Горький М.	250
Горький М.	251
Горький М.	252
Горький М.	253
Горький М.	254
Горький М.	255
Горький М.	256
Горький М.	257
Горький М.	258
Горький М.	259
Горький М.	260
Горький М.	261
Горький М.	262
Горький М.	263
Горький М.	264
Горячкин Е. Н.	1795
Горячкина М. С.	1140
Гофф И.	1664
Гофф И.	1669
Гра Ф.	1717
Гравишкис В.	1753
Градов П.	1719
Грамович И.	1389
Грамович И.	1666
Гранина А.	1693
Грант Я.	1700
Грантовская М.	1704
Грачевский Ю.	1671
Греков Н.	1694
Гречишникова А. Д.	2086
Грибачев Н.	1709
Грибачев Н.	1732
Грибачев Н.	2107
Грибоедов А. С.	1121
Грибоедов А. С.	1122
Грива Ж.	1669
Грива Ж.	1687
Грива Ж.	1700
Грива Ж.	1717
Григорович Д. В.	1123
Григорович Д. В.	1124
Григорович Д. В.	1734
Григорович Д. В.	2088
Григорьев Н.	1685
Григорьев Н.	1727
Григорьев С.	265
Григорьев С.	266
Григорьев С.	267
Григорьева М.	1913
Григулис А.	1390
Гримм, братья.	1559
Гримм, братья.	1562
Гринберг И.	268
Гринберг И.	1685
Гринберг И.	1750
Гринвальд О. А., Иппо Б. Б. и Храброва Л. С.	1796
Гринвуд Д.	1563
Гриц Т.	269
Гришашвили И.	1391
Гришашвили И.	1669
Гришашвили И.	1704
Грищенко С. С. и Федоров Н. А.	1797
Гроденский Гр.	1888
Гроденский Гр.	2082
Гроденский Гр.	2087
Гроденский Гр.	2096
Гроссман В.	1745
Гроссман М.	1753
Груздев И.	270
Груздев И.	2096
Грусланов В. и Лободин М.	271
Грюнберг О.	1913
Губарев В.	1722
Губарев В.	1744
Губарев В.	272
Губарев В.	273
Губарев В.	274
Губарев В.	275
Губарев В.	276
Губарев В.	277
Губарев В.	278
Губарев В.	279
Губарев В. и Успенский А.	1724
Гудзий Н	1140
Гук Г.	790
Гукасян О.	1392
Гукасян О.	1393
Гукасян О.	1394
Гукасян О.	1395
Гулиа Г.	1656
Гулиа Г.	1669
Гулиа Г.	1707
Гулиа Г.	1732
Гулиа Г.	1745
Гулиа Г.	1760
Гулиа Г.	280
Гулиа Г.	281
Гулиа Г.	282
Гулиа Г.	283
Гулиа Г.	284
Гулиа Д.	1396
Гулиа Д.	1694
Гулиа Д.	1730
Гулиа Д.	1742
Гулиа Д.	1747
Гулям Г.	1740
Гумилевский Л.	1798
Гумилевский Л.	1799
Гурунц Л.	285
Гурьян О.	286
Гурьян О.	287
Гурьян О.	1696
Гусев В.	1762
Гусев Н.	1730
Гущин Ф.	1692
Гущин Ф.	1693
Гьята Ф.	1656
Гюго В.	1690
Гюго В.	1564
Гюго В.	1565
Гюго В.	1566
Давыдов Д. В.	1723
Давыдов С.	1679
Давыдов С. Д. и Яшунский В. Г.	2164
Давыдова В.	2119
Давыдычев Л.	288
Давыдычев Л.	289
Давыдычев Л.	1714
Дальний Б.	290
Дальний Б.	1879
Данилов В. И.	1676
Данилов И. К.	1800
Данилов Н. и Шварц С.	1949
Данилова К.	1667
Даренский И.	292
Даренский И.	1657
Даренский И.	1694
Даренский И.	1762
Даскалов С.	1567
Дворцов Н.	293
Дворцов Н.	294
Дворцов Н.	1689
Дворцов Н.	1749
Дедиков М.	1659
Дейке Г.	1668
Дейч А.	68
Дейч А.	2084
Дельвиг А. А.	1723
Деляну Л.	1669
Деляну Л.	1678
Демель В.	1668
Дементьев А.	296
Дементьев А.	1752
Дементьев А.	1753
Дементьев Н.	297
Демидов М.	298
Демидов М.	299
Демченко А.	1689
Демченко А.	1749
Демьянов И.	1679
Демьянов И.	1750
Депман И.	1801
Депман И.	1802
Дефо Д.	1568
Дефо Д.	1569
Дехтерева Л. В.	1950
Джамбул.	1397
Джамбул.	1740
Джамбул.	1762
Дижур Б.	1753
Дижур Б.	1657
Дижур Б.	1658
Дижур Б.	1659
Дижур Б.	1660
Дижур Б.	1661
Дижур Б.	1662
Дижур Б.	1803
Дижур Б.	1804
Дижур Б.	1805
Дик И.	300
Дик И.	1706
Дик И.	1727
