Детинкин Ю.	1891, 2167
Дехтерев Б.	497, 587, 595—96, 2645, 2647, 2652, 2654, 2658—59, 2690, 2797, 3282, 3369, 3374, 3428, 3448, 3453, 3597
Джанаев А.	3140
Джолос Л.	2218
Диодоров Б.	548, 896, 1813, 3346,3624
Дмитриева Г.	1520, 1562
Дмитриева Д.	2812
Дмитриенко М.	3248
Дмитрюк В.	1306, 2242
Добер В.	1404, 2424
Добрицын А.	3734, 3822
Добровольская Т.	2800, 3406, 3522—24
Добровольский В.	650, 1132—33,1619, 1955, 3729
Добровольский Г.	861
Доброклонский В.	3898
Добряков С.	421
Домнин Л.	2850, 2973
Домогацкий В.	2555
Домогацких М.	3809
Доронин В.	1163, 1393
Дорэ Г.	3388
Достян Р.	3908
Драгунов Н.	585, 787, 2011, §616, 2736
Драчев П.	2249, 2348
Дрофин Е.	1156, 1688
Дубинский Д.	491, 505, 3301
Дубровин И.	391, 480, 862, 1846
Дубровина Г.	2433
Дувидов В.	1375, 1379, 1506, 1926, 1967, 1970, 2589, 2862, 3217, 3325
Дудоров В.	2643
Дурасов Л.	416, 1375, 1431, 1879, 1886, 2965, 3284, 3315, 3368, 3398, 3457, 3730, 3948, 3990
Душкин В.	213
Дятел А.	337
Евдокименко В.	459, 1097
Евстифеев А.	905
Егер А.	2884
Егоров В.	1401, 2854
Егошин Г.	3775, 4072
Елизаветинский В.	1554
Елизаров Н.	938
Елисеев А.	164—65, 486, 674, 839, 1065, 1069, 1374—75, 1414, 1425, 1449, 1557, 2287, 2373, 3273, 3478, 3851
Елисеев Д.	646
Елисеев К.	3478
Еличин А.	3251
Епишин Г.	704, 1175, 1424, 1558, 2051, 2053, 4060
Ерасов А.	2191, 3823
Еременко С.	1155
Еремина Т.	14, 162, 168—69, 1447, 1498, 1702—04, 2157, 3397
Ермолов В.	33
Ермолаев А.	89, 488, 492, 495—96, 501—03, 878, 949, 951, 1346, 1354—56, 1372, 1375, 1456, 1646, 2630, 3481,3510—11,3526
Ермолаев Е.	1259
Ермолаев Н.	1222
Ермолаев В.	33, 2573—74, 3563
Ершов И.	732
Ефимов А.	3149
Ефимов Б.	3362, 3478
Ефимов В.	4072
Ефимов Ю.	91, 1000, 1555, 2389, 2426
Ефимова А.	4188—89
Ефимовский Ж.	4572
Ефремов Г.	1428
Ехамов А.	1575, 2212
Жабский В.	972, 3690
Жаспар Т.	794
Желдаков А.	3528
Жемайтите И.	283?, 2842
Жеребчевский М.	4667
Жирнов Г.	847 .
Жребии А.	2166
Жуков Б.	871, 3110
Жуков В.	266, 439,-1139, 1708, 1989, 2152
Жуков Е.	1801, 2066, 2138, 2744, 3527
Жуков Н.	1043, 1317, 3436, 3362
Жутовский Б.	1890, 4097
Забалуев С.	275—76, 464, 551, 1554, 2945, 3220, 3511, 3526, 3631, 3778, 4068
Заборов Б.	897, 1008, 2879,, 3007
Заводчиков М.	661
Завьялова Г.	1567
Загорский В.	3480
Зайцев А.	384, 2528, 2530
Зайцев В.	888
Зайцев Ю.	517
Закржевская С.	1245, 2733, 2754, 2781а, 3539, 3975
Зальцман Ю.	173, 408, 1012, 1075, 1078, 1164, 1565, 1570, 2437, 3079, 3725, 3988
Засимов Н.	2542
Заславский А.	2179
Захаржевский Н.	775
Захаров В.	3083
Захаров Е.	336, 3353, 3775
Захаров К.	849, 2698
Звагузис И.	3087, 3235
Зверев М.	2780—81
Звонарева Т.	1714
Звонцов В.	1812
Зегер А.	33, 3865
Земцов О.	1010
Зенькович В.	24, 3405
Зибров Ю.	773, 2200, 2474, 3542
Зинченко Г.	1052, 1055, 1546, 4082
Знаменский И.	1588
Знойко С.	4081
Зобнин П.	3115
Зобнина М.	1490
Золотарев Е.	3945, 4368
Золотарев С.	3996
Зотов О.	514, 633, 1503, 2796, 3246, 3355, 3470, 3628
Зубковский Г.	2546
Зуйков В.	3441, 3869, 3971
Зусман Л.	154, 160, 345, 1375, 1652, 2605—06,2662,3339, 3343, 3417, 3603—04, 3756—57, 3969, 4403, 4463
Зырянов А.	3020, 3571
Иванин В.	1850, 3529
Иваницкая Т.	1193
Иванов Ю.	952—53, 3572, 3835
Иванова И.	627
Ивасенко А.	441, 475, 872
Игнатов Б.	191
Игнатов В.	22, 1617, 2252, 3464
Игнатьев Н.	3627
Игнатьев Ю.	259—61, 343, 1511,1893, 3104
Изаксон Я.	3519
Ильин М.	2357, 2896
Ильина Л.	851, 3211—12, 3229
Ильинский И.	33, 41, 164—65, 275, 277—78, 318, 387—88, 412, 488, 494—95, 631, 649, 949, 969, 1042—45, 1084, 1092, 1332—33, 1449, 1649, 1888—89, 2093, 2100, 2158, 2269, 2598, 2816, 2872, 3476, 3604
Инкижинов В.	1916
Исабаев И.	3100, 3226
Искринская И.	1289, 1518, 2848
Исмагилов Р.	2497
Иткин А.	189, 190, 437, 488, 500, 673, 765, 1121, 1499, 2020, 2024—25, 2055, 2583, 2954, 3308, 3345, 3380, 3510, 3558, 3563, 3842
Ищенко В.	2101
Кабаков И.	17, 1069, 1260, 1339, 1341, 1375, 2186, 2529, 2728, 3429, 3533, 3563, 3746, 3914
Кабаков М.	3734
Кабанов Ю.	855—56а, 1279
Кавун В.	841
Каган М.	3516
Кадочников В.	917, 1869
Кадушкин Р.	763, 1042, 3613—14, 3563
Казаков В.	3495
Казакова И.	3516, 4072
Казакова К.	4072
Казанцев А.	2303
Казанцев Н.	2381
Казанцева Н.	998, 1100, 2140, 2211, 3655—55а
Казмичев Ю.	1288, 4404
Казьмин В.	1225
Кайдалов А.	3132
Кайдалов В.	1901, 3202
Какабадзе А.	2923
Калаушин Б.	667, 1587, 1671, 1881, 2197, 2518, 3522—24, 3775, 4446
Калачев С.	341, 409, 429, 432, 601, 718, 811, 1016, 1232, 1308—09, 1584, 1735, 1748, 1910, 2207, 2319, 2451, 2475, 2554, 3234, 3571
Калашников В.	422
Калинин П.	1507, 2849, 2877, 3137, 3068, 3176
Калинников А.	307
Калиниченко В.	744, 1335
Калиновский Г.	538, 548, 807, 1032, 1813, 3624, 4000
Калиновский П.	896
Калита Н.	2518, 3617, 3619, 3992—93
Каменский А.	2309, 2993, 3549, 3697
Каминский Л.	2935, 3478
Каневский А.	164—65, 171, 1347, 1375, 1456, 1468, 2141, 2192, 2401, 2403, 2413—14, 2561
Каневский В.	1689, 1876, 3510
Канторов А.	134, 834—35, 840, 1948, 2784
Кануков У.	3219, 3240, 3255, 4074
Капустин В.	208
Капустина Т.	110, 2645, 3522—24
Капусцинский В.	3516, 4072
Карабут В.	923, 3462
Карабут К.	1319, 3715, 3787, 4373
Караваевы Г. и В.	3478
Карамышев В.	1179, 1181, 2544
Карасев В.	1225
Караченцов П.	94
Каретко В.	753, 2254
Карлов Г.	2, 580, 1443, 1872, 3433
Кармен Р.	3849
Карпенко М.	2920, 3216
Каруцяк К.	3096
Карчевский П.	2177
Касьянов Е.	989
Катанов Е.	1372
Катковский А.	3991
Качалов С.	692
Качанов Р.	1587
Кашкуревич А.	574, 2116, 2879, 2978
Кащеев К.	1220, 2130, 3815
Кащенко В.	4222
Кейдан В.	433
Келейников А.	99, 129, 244, 1334, 1852, 2003, 2005—06, 2143, 2385, 2436, 3609, 3627
Келейников Л.	844
Кернумеэс М.	3566
Кетов Г.	1679, 1870, 1985
Кетова Г.	1892
Кибрик Е.	1659, 2631, 3921
Киверина Е.	405
Кине Я.	2911 2918
Киприн С.	108, 222, 1126, 1432, 1861, 2071, 2075—76, 3114
Кириллов В.	1635
Кирпичев П.	33, 2135, 3146, 3336, 3519, 3563
Кирсанов Н.	267, 556—57, 582, 1949, 2198, 2239, 3733, 3477, 3821, 4344
Кисилев В.	3543, 3577, 3849
Кисилев Ю.	300, 394, 612, 860, 1426, 1738, 2132, 2226, 3316, 3593, 3660, 3750, 3789, 3800, 3820, 3838, 3856, 3858, 3918, 3934, 3957, 4024—25, 4438
Кисляков Н.	1031, 1235, 1775, 2002
Китаев Ю.	1444, 1842, 4072
Клевенские Л. и В.	2828
Клементьева К.	1216, 2622, 2672—74
Клешко И.	3478
Клюжев В.	92, 241, 289—91, 1543, 1606—07
Кляевский Г.	3729
Клячко М.	3320, 3440, 3473, 4464
Кнорринг Н.	31, 33, 258, 1825, 1951, 3015, 3510
Князевский Н.	3468
Кобелев Е.	1243
Кобуладзе С.	3187
Ковалев А.	1663, 3775, 3894
Ковалев С.	636, 2827, 2875, 3196
Ковенацкий В.	3103
Ковенчук Г.	658, 1442, 4050
Ковригин В.	3637
Коган Е.	57, 494, 1135, 1701, 1885, 3185, 3187, 3510, 3769, 3849, 4459
Коджак А.	883
Коджан О.	4435
Козин Л.	509—10
Козлов А.	1583
Козлов В.	3780
Кознов О.	3292
Козюренко Ю.	3525
Кокорин А.	764, 1059—60, 3510
Колганов В.	3983
Колганов Г.	3511
Колесников В.	33, 1427, 2035, 2622, 2823 
Колесов Э.	4221 .
Колмогорцева И.	1035, 1833, 2092, 2874
Колтановский А.	4147
Колтунов В.	3321
Кольчицкий Н.	3549, 3792, 4239
Комаров Б.	4378
Конашевич В.	155, 156, 168, 238, 655, 1348, 1359, 1361—63, 1375, 1449, 1554, 2184, 2394, 2405—06, 2415, 2420, 2422—23, 2575, 2644, 2646, 2650, 2653, 2655, 2927, 2949—50, 2951, 2954, 3205, 3371—72, 3466, 3587 '
Кондиайн Э.	3456
Кондратов А.	2601—02, 3729
Конев В.	20, 504
Крновалов В.	257, 1084
Коновалов И.	1677, 1710, 2279
Колонов И.	1263,- 2280, 2298, 3160
Коронов Н.	329
Кононова Н.	112, 578
Константинов А.	2581, 2771, 2974
Константинов В.	3819, 4347
Константинов Ф.	2606—07
Константинович Л.	4076
Константиновский А.	2586—87
Конящев В.	268, 1258
Копаенко И.	3636
Копейко Ю.	2165, 2997, 3157, 3534, 3549, 3772, 3933
Кор А.	4072 
Коржевский Б.	229, 949, 2388, 3526
Коркин Ю.	1026, 3518
Кормнов А.	3253 .
Корнерв Б.	1928
Коровин А.	3162
Коровин О.	182, 188, 199, 201, 313, 1090—91, 1527, 1550—51, 1720, 1803, 2068, 2081, 2098, 2238, 2435, 2664, 3017
Коровин К.	166, 1364—65, 1375, 1381, 1406, 1457—59, 3536
Королевский В.	2839
Король А.	3775, 4402
Коростышевский Л.	444, 618, 637, 828, 1395, 1438, 1732, 1993, 3207, 3424, 3516, 3838
Короткий А.	277, 1449, 2299, 2617, 3519
Короткова Е.	33, 1038, 2143, 2680, 3561
Корякин В.	1620
Костенко Н.	2253
Костин С.	1868
Кострина И.	756
Кострова А.	476, 677, 734, 809, 3522—24, 4072
Костровы А. и Н.	3814
Костыгов В.	210
Косульников Б.	3459
Котанов В.	393
Котельников А.	3710
Котляров Б.	1112
Котляров Л.	138
Котов Г.	1434
Коутный В.	4087
Кох В.	1116
Коцубей Т.	3746
Кочергин Н.	288, 396, 523, 527, 579, 617, 796, 925, 1110, 1687, 2327, 2987, 3153, 3287, 3347, 3463, 3469, 3530, 3561, 3630
Кошелев В.	826
Кошельков Н.	746, 2123
Кошечкин В.	334, 2162, 2484
Кошкарев И.	1798, 1873а, 3802, 3809, 4099
Кравцов В.	1270, 1658
Кравцов Г.	3618—19
Кравченко Л.	2512
Кравченко Н.	2857, 3171, 4055
Крагер И.	3549
Краев В.	768
Краснопольский М.	1729
Красный Ю.	3743, 3839 .
Красовский Л.	927, 2295, 2568, 2626, 2708, 4072
Красюк В.	1325
Крейцер Б.	301, 3668, 3775, 4072, 4669
Крестовский Я.	1758, 2015, 3522—24
Кривов Н.	599, 1556, 2550, 3549
Крикловенский Ю.	3186
Крутцов А.	404, 1578
Кручина Е.	3946
Кршижановский Е.	3699—700, 3775, 3806, 4041, 4072, 4092 
Крылов А.	237, 1964, 2898, 2934, 3478
Ксенофонтов Т.	531, 611, 1149, 1839, 1844, 2294, 2329, 3516, 3651—52, 4085
Кублицкий Г.	3881—82
Кудчик Р.	1074
Кузин В.	3571
Кузнецов Б.	1213
Кузнецов И.	595—96, 1375, 2659,2675, 2725, 2751, 2759—60, 2763, 2766, 3505, 3561, 3648, 3861
Кузнецов К.	1697, 1700, 2552, 2703, 2735, 2740, 2760, 2762—63, 2767, 3316, 3561
Кузнецов М.	4144
Кузнецов Н.	656, 2768, 3775
Кузнецова Т.	928, 1003
Кузьмин А.	1134, 1564
Кузьмин Н.	2637, 2663, 4073
Кузьмин П.	1134
Кузьмин С.	401, 572
Кузьмин Ю.	1242
Куклес И.	185, 1375, 1923
Кукрыниксы.	591, 1375, 2663
Кулагин Ф.	364
Кулик Е.	333, 1795, 2866
Куликов Ю.	1397
Кулиш О.	3475
Кульбак С.	2948, 2983
Куликов В.	16, 39, 286, 512, 602, 791, 1338, 1885, 3513, 3627
Кукс М.	3538 
Кунявский Б.	2488, 2490
Куприянов А.	3627, 4186
Куприянов В.	56, 1025, 1324, 2649, 3522—24
Куприянов Е.	2734
Куприянов С.	33, 731, 1946, 2004, 2214, 2477, 3104, 3942, 4186
Купряшин И.	3188а 
Курбанов Х.	1832
Курбатов В.	68
Курдов В.	250—51, 2689, 3522—24
Курдюков Н.	452, 3044, 3113, 3623, 4075
Курочкин В.	3528
Курчевский В.	1460, 2027, 2352, 2400, 2545
