А. С.	4451, 6961.
Ермолаева В.	498, 509, 1478, 1489, 1496, 1500, 1526, 1529, 1536, 3042, 3146, 3147, 3149, 3150, 3151, 3153, 3231, 3248, 3259, 3338, 3398, 3803, 3842, 4010, 4971, 4972, 4975, 4979, 4984, 4986, 4988-а, 4990, 4992, 4996, 5001, 5003, 6259, 6680, 7405, 8346, 9982, 10494, 10513, 10843, 10844.
Ермоленко Б.	3164, 3860, 4435, 4481, 5027, 6319, 7791, 8328, 8690, 9411, 9649, 9722.
Ермолов П.	2223.
Ефимов А.	393, 969, 1046, 3165, 3166, 3168, 3863, 7929, 9876, 10511, 10590.
Ефимов И. С.	692, 3174, 3376, 3377, 3667, 4489, 4817, 6378, 6577, 7115, 7121, 8212, 8213, 8643, 9377, 9652, 9745, 9780, 10835.
Ефимова А.	7668, 7674.
Ечеистов Г.	123, 511, 664, 724, 932, 928, 948, 1009, 1026, 1031, 1541, 2300, 2501, 2918, 3179, 3180, 3181, 3674, 3838, 4426, 5701, 5953, 6302, 6413, 7245, 7535, 7538, 8327, 10604.
Жаба А.	52, 10045, 10642.
Жак Е.	355, 1810.
Жилин П.	9302.
Житинев.	4914.
Житков Б.	3242.
Жолткевич Л.	523, 1191, 2519, 2667, 3118, 3311, 4484, 7058, 7424, 9171, 9416, 9749, 10567, 10912.
Жуков А.	3465, 9429.
Жуковский В.	3322.
Жуковский Е.	428, 4630, 6830, 10036.
Журавлев А.	6425.
З. Р.	3079.
Заболотский П.	3085, 4827, 8646.
Зайцев М.	3396.
Закржевская С.	1822, 2575, 5036, 5062, 7814, 8290, 8357, 8704.
Замирайло В.	2279, 2421, 2809, 3134, 3742, 3743, 3745, 3746, 7621, 8219, 9365, 10024.
Зарубин В.	73, 797, 800, 804, 2549, 3850, 10043.
Звонарева Т.	1166-а, 8170.
Зворыкин Б.	1801.
Зданевич К.	6172.
Зевин Л.	1147, 4016, 5323, 8420.
Земенков Б.	1759, 1760, 1761, 1762, 7765.
Зенкевич Б.	2872, 2873, 5613.
Зенькович В.	189, 8298.
Зернова Е.	773, 2233, 3032, 3519, 6632, 8321, 9406.
Зефиров К.	3094, 8171.
Золотов К.	1578, 2678, 3105, 3714, 4074, 4075, 4077, 4078, 4422, 5278, 6239, 6637, 6713, 6740, 9819.
Золотов С.	3684, 3686, 6271.
Зубарев С.	3717, 3845, 4374, 4601.
Зубов А.	1411, 1563, 1570, 3722, 3723, 3724, 3725, 3726, 3727, 5481, 8635.
Зусман Л.	1147.
Иваненко Е. И.	777, 3733, 3734, 3735, 3736, 9807.
Иванов Е.	1331, 4147, 5913, 5930, 6286.
Иванов М.	2616, 3404.
Иванов-Радкевич.	10924.
Иванова А.	8874, 9057.
Иванова В. И.	115, 673, 984, 2058, 2107, 2327, 2626, 3629, 3639, 3666, 3750, 3751, 3752, 4514, 5139, 6059, 6168, 6983, 7284, 7392, 8334, 8830, 9194, 9196, 10427, 10555, 10793.
Иванова Е.	2082, 2361.
Иващинцева М.	338, 362, 2736, 2923, 3411, 3636, 3960, 4411, 5717, 7426, 7771, 7811, 8952, 8953, 10428.
Игнатьев Л.	3782, 3783, 8734, 9398, 9405.
Игумнов А.	9613, 9942.
Ижевская М. Г.	1798.
Изенберг В.	5987.
Изнар Н.	207, 2576, 3412, 3796, 8825, 9368.
Ильинский Н.	8701.
Иноземцев Б.	3869, 3870, 3871, 3872, 3873, 10490-а.
Интезаров.	5138.
Иогансон Б.	197, 1896, 3962, 4749, 5672, 6022, 6488, 6636, 6639, 6644, 6647, 6653, 7048, 7416-а, 9577, 9578.
Ионг Э.	1358.
Исаева В.	8963.
Исаков С.	3922.
Истомин К.	9070.
К. Т.	3407.
Каабак В.	322, 370, 3934, 5264.
Казначеев Д.	3964, 3965, 3966, 6701, 9051.
Калиниченко А.	10451.
