Зубихин В.	2326
Зубкова Л.	1070, 1379, 2320
Зуев-Ордынец М.	547
Зырянов О.	2291
Зюзюкин И.	2368
Ибрагимов Г.	1913
Ибрагимов С.	2085
Ибряев К.	2333, 2367
Иваненко О.	2303, 2350
Иванов А.	548, 2642
Иванов Б.	2589, 2628
Иванов В.	2425
Иванов И.	549
Иванов С.	550, 2643
Иванова Т.	1593
Ивантер Б.	2319, 2354
Иващенко А.	2368
Ивенсен М.	2320
Ивин М.	2453
Ивкин А.	2368
Иг И.	2300
Цгебаев А.	1914
Игнатов П.	551
Идрис Ю.	2156
Иевская З.	2361
Измайлов В.	552, 2299
Измайлов Е.	553
Изюмский Б.	554
Ийеш Д.	2176
Икрами Д.	1915
Икрамов К.	555
Илларионов С.	2292
Иллеш Б.	2176
Ильин Е.	556, 2644
Ильин М.	557, 2350
Ильина Е.	558, 2350
Ильина Л.	2572
Ильичев П.	559
Ильясов А.	2455
Илюхин Н.	2337
Имяреков М.	1916, 2337, 2357
Инанишвили Р.	1917
Инбер В.	560, 561, 2359
Индране И.	1918
Инфантьев В.	562, 2286, 2456
Иовлев Б.	2318
Иогансен Н.	2425
Иорданишвили Е.	2425
Иоселиани О.	1919, 2303
Ирошникова И.	563
Исаев М.	2175
Исаев Н.	564
Исаков А.	565
Исаков Б.	2350
Исаков И.	1920
Исаковский М.	566, 567, 2320, 2359
Исарова Л.	2457
Иско Б.	2107
Исхаков В.	2348
Исханова Л.	1922, 1923
Итс Р.	2424
Ихсан А.	1921
Кабалевский Д.	2458
Кабо В.	2261
Кабулов А.	568
Кабур Б.	1924
Каверин В.	569, 2303
Каганова П.	2320
Кадулин В.	2315
Кадулина Р.	2315
Кадыров А.	2334
Казакевич Э.	1062
Казаков Миклай.	1925
Казакова Р.	1225
Казин В.	2304
Калау Г.	2178
Калачинский М.	2320
Калган А.	1926
Калесник С.	2424, 2425
Калинин М.	2424, 2425
Калинкин И.	2337
Калнынь Я.	1927
Калошина Н.	2334
Калчев К.	2345
Кальма Н.	570, 571
Каляев С.	1928
Каманин Ф.	572
Каменева Е.	2308, 2459
Каменная Г.	573
Каменская А.	2179
Каминский В.	1748
Камов Ф.	988
Кан Е.	2350
Канн-Новикова Е.	574
Канивец В.	1929
Кант У.	2180
Кантор Ж.	2176
Кантор С.	2298
Канторович Л.	2286
Капаев С.	1930
Капиев Э.	2327
Капица О.	1799, 1815, 1823, 1824, 2316
Капица П.	575, 2572
Капнинский В.	754
Капутикян С.	2318, 2360
Караваев В.	2319
Карагулов Б.	2334
Караев Г.	576
Каралийчев А.	2345
Карандина Г.	2300
Каранович А.	422
Карапетян Б.	2360
Карасева В.	577—579, 2320
Каратаев М.	2387
Кардашева А.	224, 580—583
Карем М.	2181
Карижский В.	2368
Карлов Г.	584
Карнай А.	1931
Карнаухова И.	1762, 1796, 1802, 1820,2316
Карпенко Г.	585
Карышев О.	2424, 2425, 2573
Карышева О.	2320
Карышева Т.	2361
Карякин П.	586, 2324
Касаткин Н.	2319
Касаткина Л.	2211
Касми А. Н.	2296
Касович С.	2315
Кассиль Л.	303, 305, 310, 312, 587—594,816, 837, 2281, 2319
Кассиров Н.	2319
Кассис В.	2460, 2461, 2507
Касумова Р.	1932
Катаев В.	52, 595—604, 2303
Катаев П.	605
Кацумото С.	2156
Качаев Ю.	606, 607, 2281
Качанов Р.	690
Кашшаф Г.	1846
Кащенко В.	2604
Квитко Л.	893, 1933— 1936, 2350
Квливидзе М.	1937
Квятковский И.	2572
Кежун Б.	2359
Келер В.	2462, 2463
Кемаль О.	2156
Кемпе М.	2316
Кербабаев Б.	2359
Кервуд Д.	2182, 2257
Керимова Т.	2645
Кернбах В.	2183
Кестнер Э.	2184
Кехлибарева Н.	2185
Кешоков А.	1938, 2367
Кибанов Б.	2348
Киекбаев Д.	1939
Киндер И.	608
Кинякин С.	2337, 2357
Киплинг Р.	2186—2190, 2230, 2313
Кириенко К.	1940, 2320
Кириллов И.	2590
Кириченко Э.	609
Кирносов А.	610
Киршевская А.	2287
Киршина К.	611, 612
Киселев В.	613
Киселев И.	2319
Киселев О.	2331
Кислов К.	614
Кисловской С.	2425
Кислякова З.	275
Киуру И.	615
Клансье Ж.-Э.	2191
Клеманов Ю.	2354
Клепов В.	616
Клешкова Е.	1047
Клушанцев П.	2572
Клюшников Ю.	2321
Кнорре Ф.	617
Князев А.	2464
Князева Н.	2300
Кобец-Филимонова Е.	1941
Кобликов В.	618
Кобраков П.	2306
Кобяков Г.	2324
Ковалев Д.	2367
Ковалев П.	1942
Ковалева И.	2361
Ковалевский И.	2322
Коваль Ю.	619—621, 2350
Кованько Г.	2425, 2573
Ковпак С.	622
Коган С.	623, 624, 2298, 2328, 2350
Коданев И.	1943
Кодухов В.	2465
Кожевникова К.	2367
Кожедуб И.	625—627
Кожомбердиев Т.	1944, 2334
Козлов В.	2305, 2324
Козлов Вильям.	629—631
Козлов М.	2605
Козлов С.	632—634
Козловский М.	635
Козловский Я.	636, 2359
Кознев И.	637
Койдула Л.	2316
Коканда В.	2156, 2296
Коковин Е.	638, 639, 2347
Кокорев Г.	2424
Кокорев Ю.	2403, 2591
Кокорина Л.	2349
Коларова Я.	2192
Колесников В.	2120
Колесников Г.	2292
Колесников С.	640
Коллоди К.	1062
Колосов М.	641
Колосова В.	2621
Колпакова А.	1836
Колпакова Н.	775
Колтовой Б.	2592
Колыхалов В.	2321
Кольцов А. В.	2346
Комиссарова А.	2301
Комовская Н.	642, 1785, 1806
Компаниец Л.	2320
Кон Л.	643, 2466
Кон Ф.	2466
Кондауров И.	2348
Кондратов А.	2572, 2573
Кондратьев А.	2281, 2291
