Сборник.	978
Свирский А.	1493, 1494
Свифт Д.	1495
Севунц Г.	1497
Сеидзаде М.	1498
Селянкин О.	1499
Семин Л.	1500
Семушкин Т.	1501
Сенге Дашцевгин.	1503
Сенкевич Г.	1504
Серафимович А. С.	1505
Серафимович А. С.	1506, 1507
Серафимович А. С.	1508
Сервантес С. М.	1509
Сергеев И.	1510
Сергеев М.	1511
Середин Р. М.	1512
Серман Б.	1513
Силков Н.	1517
Симонов К.	1519
Синявер Л.	1521
Сказка.	1126
Сказка.	1364
Сказка.	1715
Скобельцын В.	1529
Скребицкий Г.	1530
Скребицкий Г.	1531
Скребицкий Г.	1532
Скребицкий Г.	1533
Скребицкий Г.	1534
Скребицкий Г.	1535—1538
Скребицкий Г. и Чаплина В.	1539—1541
Скребицкий Г. и Чаплина В.	1542
Слуцкие М.	1546
Слуцкие М.	1547, 1548
Смердов А.	1549
Смирнов В.	1550—1553
Смирнов В.	1554
Смирнов Н. П.	1555
Соболев Д. Г.	1557
Соболев Д. Г.	1558
Соболев Л.	1559
Соколов В.	1561
Соколов Н.	1562
Соколов-Микитов И.	1563
Соловьева М.	1565
Сомова С. и Зульфия.	1566
Сост. А. Гидаш.	219
Сост. А. Кудряшова.	844
Сост. А. С. Борисевич, В. А. Василенко, М. К. Юрасова.	638
Сост. А. Сысоева и З. Яхонтова.	1124
Сост. А. Чухин.	981
Сост. В. А. Лазарев.	1543
Сост. В. Корчагина.	1908
Сост. В. Кривошеин.	1181
Сост. В. Локтев.	1294
Сост. В. Сперанский.	977
Сост. В. Чичеров.	339
Сост. Вовченко М. и Семашко З.	1953
Сост. Г. Баширов и Х. Яр-Мухаметов.	473
Сост. Г. Карпенко и Л. Грибова.	861, 862
Сост. Е. Валишевская и Е. Живова.	1155
Сост. Е. Гроздова.	510, 511
Сост. Е. Минский.	648
Сост. З. Кедрина.	1292
Сост. И. В. Карнаухова.	625—627
Сост. И. И. Молчанов.	855
Сост. И. Карнаухова.	1402, 1403
Сост. И. Кротова.	1544
Сост. И. Молчанов-Сибирский.	1722
Сост. И. Фрадкин.	1346
Сост. И. Шубин.	1906
Сост. К. Левин.	1429 
Сост. К. Улуг-Заде.	1594
Сост. Кордова.	1591
Сост. Л. А. Шахнарович.	512
Сост. Л. Богданова.	531
Сост. Л. В. Никифорова.	1968
Сост. Л. Давыдов.	1830
Сост. Л. Конисская.	236
Сост. Л. Конисская.	1302
Сост. Л. Светлова	1709
Сост. М. Булатов.	480
Сост. М. Булатов.	1520
Сост. М. Булатов.	1829
Сост. М. Зельдович и С. Шмераль.	261
Сост. М. Монастырский.	1905
Сост. М. С. Горячкина.	777
Сост. М. Слуцкис	950
Сост. Н. В. Головин.	599
Сост. Н. И. Шипицына.	1232
Сост. Н. И. Шипицына.	1291
Сост. Н. И. Шипицына.	1347
Сост. Н. И. Щипицына.	940
Сост. Н. К. Шипицына.	662
Сост. Н. Капиева.	494
Сост. Н. Карпинская и П. Дымшиц.	1418 
Сост. Н. Колпакова.	537
Сост. Н. Н. Арбенева и Б. В. Ширшов.	1156
Сост. Н. Н. Арбенева.	1243
Сост. проф. В. М. Чистяков.	744
Сост. Р. Разумова.	1401
Сост. Рзагулиев Г. А.	1946
Сост. Т. Габбе и И. Халтурин.	959
Сост. Хузе О. Ф.	1975
Сост. Я. Ниедре.	937
Сост.Б. Юрцев.	1868
Сотник Ю.	1568, 1569
Сотник Ю.	1570, 1571
Спангенберг Е. П.	1572, 1573
Спирин И.	1574
Станюкович К. М.	1575
Станюкович К. М.	1575а
Станюкович К. М.	1576
Старцев И. И.	1976
Стиль А.	1577
Стихи корейских поэтов.	1146
Стрелков П.	1579
Строгова Е.	1580
Студенецкий Н.	1581
Студитский А. Н.	1582
Студитский А. Н.	1583 
Стюарт Е.	1584
Стюарт Е.	1585
Стюарт Е.	1586
Сурков А.	1587, 1588
Сутеев В.	1589
Сутеев В.	1590
Тайц Я.	1595
Тайц Я.	1596
Талян В.	1597
Танк М.	1598
Тараховская Е.	1600
Тараховская Е.	1601
Таргюль Л.	1602
Тарджеманов Д. Д.	1603
Тарханеев Ф.	1604
Твен М.	1605
Твен М.	1606
Телесин З.	1610 
Тигане Л.	1614
Тимофеев-Терешкин М. Н.	1615
Тиханов Н. К.	1616
Тиханов Н. К.	1617
Тихонов Н.	1618
Тихонов Н.	1619
Тихонов Н.	1620, 1621
Тобольский И.	1622
Толмачев К. Г.	1623
Толмачева Е.	1624, 1625
Толстой А.	1630
Толстой А. Н.	1626
Толстой А. Н.	1627
Толстой А. Н.	1628
Толстой А. Н.	1629
Толстой Л. Н.	1632
Толстой Л. Н.	1631
Толстой Л. Н.	1633, 1634
