Любарский М.	4214
Любош Г.	4014—4016
Лямин Н.	433, 434, 700, 1333, 2059, 2269
Ляцкий В.	4016, 4017
Мавлюбердин С.	2788
Маврина Т.	1402, 3029, 3051, 3836, 3903
Магомедов С.	2046
Мазрухо М.	2931
Мазрухо Н.	1451
Мазурин Г.	161, 1063, 1064, 1106, 1345, 1385, 1429, 1597, 1598, 1600, 1604, 3304, 3681, 3711, 3828, 3829
Майорова Л.	3036
Майофис М.	327, 353, 734, 759, 760, 1422, 1629, 1990, 2119, 3024, 3517, 4169
Майсаар Ю.	3255
Макавеева Г.	148, 839, 922, 1304, 1650, 1735
