Аас В.	2966.
Бётхер А.	2310.
Бжехва Я.	401, 558, 2324, 3150.
Бианки В.	164—177, 2488.
Бианки В. Л.	2960.
Бианки Е.	4480.
Библ. К.	2320.
Бизяк А.	2598.
Биишева З.	1997.
Бикмухаметов Р.	3171.
Бикчентаев А.	1998—1999, 2977, 4168-4170.
Биленкин Д.	2503, 4627.
Биленко В.	4647, 4665.
Билинкис Я.	3290, 3394, 4824.
Билкун М.	2509.
Биль А.	2954.
Билялитдинова Г.	4303.
Биневич Е.	3155.
Биншток В.	2954.
Бирюков В.	178.
Бирюков Н.	3154.
Бирюков Ф.	3927.
Бирюлин Г.	179.
Биссет Д.	2311, 4401.
Бисти Д.	4481, 4560.
Бицоева Э.	180, 3054.
Бичель-Загнетова Д.	2508.
Благинина Е.	181-185, 2500—2501, 2506, 2508, 2604, 2640, 3055, 4092.
Благой Д.	1690, 1766—1767, 1842, 3291—3294, 3321.
Блайтон Э.	2312.
Блауманис Р.	2222—2223.
Блиндер Р.	4825.
Блинов А.	2501.
Блинов Андрей.	186, 2641.
Блинов Г.	2641.
Блинов Геннадий.	187, 3056.
Блинов Н.	188.
БлокА.	189—194, 1312, 2491, 2505, 2511.
Блохина В.	3469.
Блудов М.	2674—2675.
Блюхер В. К.	1425.
Бляхин П.	1316.
Боборико М.	195.
Боборыкин В.	1400, 3470.
Бобров В.	3528.
Боброва А. А.	2824.
Богатков Б.	2545.
Богач Г.	2260.
Богданков Б.	197.
Богданов М. Н.	1718, 2488.
Богданов Н.	198—199, 2129—2130, 2506, 2510, 2641, 4113, 4171.
Богданов Н. П.	2824.
Богданов О.	200.
Богданова Г.	4805.
Богданова Л.	4826.
Богданова М.	2250.
Богданович И. Ф.	1690.
Боголюбов К.	1380, 2673.
Боголюбов Н.	4827.
Боголюбская М.	1909.
Богомазов С.	2506, 2566, 2640.
Богомолов В.	201.
Богословский Н.	202, 1818—1819, 1844—1845, 3295—3296.
Богуславская В.	3679, 4828.
Богучаров М.	203.
Богушевич Ю.	204.
Бодров И.	3057.
Бодрова Н.	4829.
Бодровец К.	2954.
Бодрягина В.	4830.
Боев Н.	205.
Божко А.	2514.
Божко Л.	4805.
Бойко-Павлов Д.	1425.
Бойкова М.	4831.
Бойцова Т.	3680.
Боков В.	2640—2641.
Боков П.	1228.
Болашенко Г.	4482.
Болгаров Н.	2676.
Болдуин Дж.	2408.
Болдырев В.	206, 2503.
Болотин С.	2964.
Болтоусов П.	207.
Болтромеюк В.	2676-а
Больсен Е.	3681.
Большак В.	2000, 2954.
Большакова С.	208.
Большинцов М.	462, 1578, 2954.
Бондарев Ю.	1316.
Бондаренко Вен.	1228—1229.
Бондаренко Вл.	1228—1229.
Бонди С.	1601, 1723, 1728—1730, 1760—1761, 3297—3300, 3371.
Бондин А.	209.
Бондина А.	209.
Бондопадхай Тарашонкор.	2419.
Бонч-Бруевич В. Д.	210—211, 2494, 2500—2501, 2677—2678, 2840.
Бонч-Бруевич Е.	2790, 2840.
Борзов В.	2679.
Борзунов С.	212.
Борискин Н.	213.
Борисков П.	2518.
Борисов Е.	2680.
Борисов Л.	4345.
Борисов Т.	1301.
Борисова В.	3879.
Борисова И.	3395.
Борисова М.	214—215, 2498, 2508.
Борисова Р.	2531.
Боровский Ф.	216.
Бородкин Ю.	217, 1377.
Бороздин В.	218, 2506.
Воронецкий И.	921, 925, 2371, 3172.
Боротьбенко Е.	4832.
Босев А.	2313, 2506, 3977.
Ботезату Г.	2239, 2259—2260.
Ботнарь Р.	4798.
Боути Д.	2325.
Бочарников В.	219.
Бочарников Н.	220.
Бочарникова А.	2512.
Бочкарева М.	4710—4712, 4772.
Бояршинова Э.	2775.
Брагин В.	2681.
Брагин М.	2682.
Брагинский Э.	196.
Браиловская Г.	221—222.
Брайнина Б.	3148.
Брандес Э.	400.
Брандис Е.	2319, 2516, 2886, 3155—3156, 3682—3684, 4114, 4172, 4345—4347.
Брандобовский В.	3173, 4833.
Бранк В.	2001.
Бранницкая Л.	223.
Браткова Т.	2683.
Брауде Л.	3156, 4348.
Браун Ж.	2951.
Браун Н.	2513.
Брегова Д.	1612.
Бредбери Р.	2314.
Брезницкая Г.	3396.
Бременер М.	224.
Бригадере А.	2222—2223.
Бридака Л.	2508.
Бриеде Л.	2954.
Бринский А.	225.
Брлич-Мажуранич И.	2379.
Бровка П.	2002, 2513, 4331.
Бровкин А.	502, 3471.
Бродский А.	2501.
Бродский Александр.	226.
Бродский Н.	1820.
Бромлей Н.	227, 2500, 2506, 2641, 2968.
Броневский В.	2324.
Бронштейн Д.	2364.
Брошкевич Е.	4402.
Брудный Д.	2234.
Брусиловский Р.	3685.
Бруштейн А.	652.
Брызгалова С.	4834.
Брынских С.	228.
Брюсов В.	229, 2511.
Брянская И.	3439, 3686.
Брянцева В.	2825.
Брянцева Л.	230—231, 3058—3059.
Брянцева С.	232—233.
Бубнис В.	2003.
Буга П.	2914.
Бугаенко П.	3593.
Буглеева Г.	2916.
Бугров В.	3687.
Буданков Л.	3011.
Буденный С. М.	2824, 4648.
Буджалов Е.	1687.
Будов А.	4649.
Будогоская Л.	234.
Буженко Т.	4173.
Бузилова Л.	4834-а
Бузукашвили М.	3174.
Букин Н.	235.
Булавин Е.	2808.
Булатов М.	824, 1894, 1899, 1909, 1922—1924, 1944, 1955, 1957, 1959, 2238, 2517, 2521.
Булацева З. С.	2909.
Булгаков А.	1425.
Булгаков Н.	2509.
Булучевский Ю.	2684.
Булынина З.	4835.
Булычев К.	2504.
Булышкина И.	2532—2534.
Бундин В.	2497.
Бунин И. А.	1603—1605, 2493, 2502, 2511—2512.
Бунин П.	4483.
Буранов Ю.	2673.
Бурдукова Н.	2965.
Бурлин В.	4033.
Бурлов А.	3472.
Буров А.	2163—2164.
Бурсов И.	236—237.
Буртин Ю.	1339, 3473.
Бурцева А.	4805.
Бурылов Б.	400—401.
Буткова М.	4713, 4789.
Бутылин П.	1377.
Буханов В.	2500.
Буханцов Н.	3175.
Бухов А.	1165.
Бухштаб Б.	1689, 3301.
Буччибабу.	2419.
Бушелева Б.	2884.
Быков А.	2886.
Быков В.	1316.
Быков Н.	4034.
Быкова М.	1608, 1718.
Бытовой С.	238.
Бычко В.	2004.
Бычков Ю.	2807.
Бюргер Г. А.	2539.
Бялик Б.	420—421, 3474—3476, 3688.
Вадачкория Д.	2500.
Вадимов Р.	241.
Важдаев В.	242—243, 1945, 2248, 2263.
Важенкова А.	3805.
Важко О.	2978, 3266.
Вайнштейн М.	2685, 2954.
Вайсенберг Л.	649.
Вайчюнайте Ю.	2508.
Вакс И.	4836.
Вакуленко В.	4174.
Валек М.	2315.
Валентинов А.	2503—2504.
Вальгиргин М.	2005.
Вальдю А.	2006.
Валько И.	2007.
Вальсюнене В.	2508.
Ванаг Ю.	2008.
Вангели С.	2009—2011, 2242, 2500-2501, 2640.
Вант П.	2965.
Ваншенкин К.	1312, 1316, 2507, 2518.
Варавва И.	244.
Варданян Г.	2107.
Вартаньян Э.	2686.
Варшавер А.	245.
Варшавская Г.	2804.
Варшавский И.	2516.
Варшавский Л.	4484.
Василевская Г.	4175.
Василевский А. М.	1425.
Василевский И.	246—247.
Василевский Л.	2507.
Василенко И.	248.
Василенко С.	4837.
Василовский В.	4718.
Васильев А.	2509.
Васильев Б.	249, 3690.
Васильев В.	2687.
Васильев И.	250.
Васильев К. С.	2824.
Васильев П.	1291.
Васильев С.	3978.
Васильева В.	4752.
Васильева Л.	2508, 4403.
Васильева М.	4838.
Васильева Н.	251.
Васильева Н. Е.	2841.
Васильева О.	2950.
Васильева-Гангнус Л.	1005.
Василькова Н.	3691.
Васин К.	2012—2013, 4176—4177.
Ватагин М.	2520.
Вахов А.	1425.
Вахромов Б.	1425.
Вахрушева М.	2499.
Вацземниек Л.	2956.
Вациетис О.	2014.
Введенский А.	2333—2334.
Ведина Т.	2956, 2968.
Векслер Г.	4462.
Веленгурин Н.	3477.
Велиев С.	2015, 4178.
Великанов В.	1377, 2954.
Великович Э.	2887.
Велтистов Е.	252, 2665.
Веневитинов Д. В.	1721.
Верба В.	2016, 2508.
Верба И.	2979.
Верейская Е.	253—255, 462, 495, 2510.
Верейский О.	3265.
Вересаев В. В.	2488.
Верн Ж.	2316—2319.
Верт А.	2813.
Вертинский А.	2535.
Верховский Г.	3397.
Верхогляд А.	4839.
Вершинин Л.	256, 2455, 2457.
Веселая З.	257, 2521.
Веселова В.	4840.
Веселухина К. В.	2841.
Вестерман М.	2956.
Ветемаа М.	2966.
Ветрова Е.	4264.
Вехова М.	258—261, 3060.
Виард В.	2017.
Вивьен Л. С.	2891.
Вигдорова Ф.	262, 698.
Виейра Л.	2325.
Виеру Г.	2018.
Виесе С.	4179.
Виккерс М.	2509.
Викторов В.	263, 2499-2501, 4159.
Викулов С.	264—265.
Вильямс А. Р.	2824.
Виноградов А.	2416—2417, 4349.
Виноградов Л.	2536.
Виноградова С.	2965.
Виноградская С.	2840.
Винокуров Е.	833, 1312, 1316, 1351, 3478—3479.
Винокуров И.	266.
Винокуров С. В.	2911.
Винтовкина И.	2688.
Виртанен Я.	2518.
Висапээ Ниило.	4394.
Вислов А.	3176.
Вистин М.	2764.
Витальев А.	2980.
Витензон Ж.	629, 2625.
Витин Б.	2506.
Вишневская И.	753, 3398—3399, 3480—3481.
Вишневская Ю.	4619.
Вишневский А.	1316.
Вишневский В.	2790.
Вишнякова Н.	2775.
Владимиров А.	2831.
Владимиров Алексей.	2689, 2764.
Владимиров В.	2825.
Владимирова М.	2604.
Владимирская Т.	2981, 4761, 4841—4845.
Владимирский В.	2604.
Власенко А.	4012.
Власов А.	267—268, 3886.
Власов Ю.	495, 479.
Власова С.	400.
Внуков Н.	269—270, 401, 649, 1291, 4350.
Водопьянов М.	271, 1166.
Вознесенский А.	1312, 3949.
Воинов А.	272.
Воищев Ю.	273.
Войнич Э. Л.	2321—2323.
Войшвилло Е.	2497.
Волгина Т.	274—275.
Волжина Т.	2501, 3692.
Волик А.	2947.
Волина М.	2537, 2566.
Волк Е.	2954.
Волк И.	495, 2501.
Волков А.	1385, 2501.
Волков Александр.	276—280, 2690.
Волков В.	4486.
Волков Г.	2171, 2947, 4115.
Волков М.	2507.
Волков Н.	281.
Волкова А.	2691.
Воловик А.	978, 2692.
Волокитин Н.	282.
Волынец М.	2538.
Волынский Л.	2775, 2808.
Волынский Т.	3693.
Волькер И.	2320.
Вольпин М.	2625.
Вольф С.	284, 1291.
Воннегут К.	2408.
Воробьев В.	400—401, 1871.
Воробьев Е.	285.
Воробьева А.	4846.
Воробьева И.	286, 1768, 2500—2501, 2521, 2640—2641.
Воробьева Н.	3177.
Воробьева Н. Н.	3605.
Воронин Г.	287.
Воронин И.	288.
Воронин С.	289—290.
Воронков К.	47, 2500.
Воронкова Л.	291—297, 1142, 2500—2501, 2506, 3482—3483, 3694, 4180, 4324.
Воронов Б.	2251, 2625.
Воронов В.	3149, 3484.
Воронова О.	2804, 2808, 3154.
Воронцов В.	3520.
Воронцова Т.	298.
Воронько П.	2086, 2641, 4116.
Воскобойников В.	299, 2506, 2693.
Воскресенская З.	300—308, 462, 1166, 2079, 2494, 2500—2501, 2506, 2840, 2954, 3004, 3695.
Вострецов С.	1425.
Вохмянин Г.	4011.
Вржесинская Л.	4756, 4768, 4803.
Врона К.	3063.
Вронский Ю.	310.
Вуич Л.	4487—4488.
Вуячич М.	2326.
Выгодская Э.	312.
Вырыпаев П. А.	3303.
Высотская О.	313—314, 2494, 2506, 2640, 2908.
Высоцкий С.	315.
Выходцев П.	4035.
Вядро Ш.	3696.
Вяземский П. А.	1650, 1721.
Вяли С.	2966.
Вяли Х.	2966.
Вяткин Н.	576.
Вятский А.	1029.
Габбе Т.	2380, 2390—2391, 2406.
Габриелян Г.	2020.
Гаврилов П.	316, 462.
Гаврилова М.	3437.
Гаврусенко Н.	3012.
Гагарин И.	317.
Гаген-Торн Н.	3925.
Гагиев Г.	2021.
Гадиев С.	2022.
Газман О.	2960.
Гаипов Т.	2023.
Гай Е.	318—319.
Гай М.	2501.
Гайдар А.	320—349, 462, 824, 2490 2500—2501, 2506, 2534, 2545, 2604.
Гайдар Т.	320, 2825.
Гакина В.	1648—1649, 2488, 2501, 3304.
Галанов Б.	1316, 3485, 3697—3698, 3980.
Гали М.	2024.
Галиат-Валаев Р.	2539.
Галиев Ш.	4182.
Галимов Ш.	3486—3487.
Галин Б.	2840.
Галкин Ю.	3179.
Галлай М.	1316.
Галчинский К. И.	2324.
Гальегос Мансера Э.	2342.
Галько О.	1316.
Гальперин Ю.	4848.
Гальперина Е.	3961.
Гальперштейн Л.	2694.
Гамарра П.	3269.
