Аас В.	2966.
Озеров В. А.	1650.
Озеров Л.	314, 1828, 3350, 3569, 3796.
Озеров Н.	979.
Озерова И.	1981.
Озолин В.	576.
Ойслендер А.	2507.
Окладников И. С.	2942.
Окский Г. А.	2824.
Окуджава Б.	1312, 2963.
Окулова В.	4681.
Олдин С.	2376.
Олдингтон Р.	4371.
Олдридж Дж.	4433—4434.
Олейник Б.	4300.
Олейников А.	2699.
Олеша Ю.	2534, 3797, 3805.
Ольшанский И.	2592.
Ольшанский Л.	4441.
Ольшанский М.	2699.
Ольшевская З.	1913.
Олюнин Р.	4435.
Омарова А.	2508.
Онвана Л. Б.	2325.
Онегов А.	1027—1028.
Онуфриев И.	1425.
Опря М.	2260.
Оразбердыева О.	2125.
Ордынская Т.	802.
Орехов В. П.	2899.
Орешин К.	1638, 1779, 3351—3352.
Орлик Ю.	4236.
Орлов В.	189, 193, 1721, 2534, 3798.
Орлов Вадим.	3223.
Орлов Виктор.	2512, 2801.
Орлов Владимир.	1030—1031, 2563, 2723, 2724.
Орлов Вл.	1631, 3353, 3570—3571.
Орлов Д.	2589, 2604.
Орлов Н.	2802.
Орлов П.	1032, 3418.
Орлов С.	1316, 2513.
Орлова А.	3026.
Орлова Е.	2596, 2734—2735, 2804, 2968.
Орлова Н. Н.	3605.
Орловская И.	2500—2501.
Орфенов А.	2808.
Осадчая О.	1118.
Осадчий О.	1029.
Осадчук Л.	2509.
Осеева В.	1034—1038, 2500, 2506.
Осетров Е.	3153, 4627.
Осецкая А.	2377.
Осин А.	2507.
Осинмн Н.	1039.
Осипов Алексей.	1040.
Осипов Альберт.	1041.
Осипов Б.	1425.
Осипов В.	3154, 3265.
Осипов Н.	1042, 2803.
Осипова А.	4927.
Осипова Л.	2521.
Осипова Н.	1043, 2593.
Оскоцкий В.	4237.
Османис Я.	4238—4239.
Осмокеску Р. Г.	2914.
Осмоловский Ю.	4562.
Осодоев М.	2132.
Осокин В.	3154.
Островский А. Н.	1712—1717, 2501.
Островский Н.	462, 1044—1050, 2840.
Остроухова А.	4795.
Осыков Б.	3572, 3799.
Откупщиков Ю.	2805.
Отрада Н.	1316.
Офин Э.	537, 1051.
Охапкина Т.	4928.
Очаковская Л.	2775.
Очаковская О.	2813.
Очкин А.	1052.
Очкин А. Д.	2824.
Ошанин Л.	1053, 2813, 2825, 2954.
Павленко П.	1578.
Павлов Б.	2641.
Павлов В.	2126.
Павлова Е.	1377.
Павлова З.	1455.
Павлова Н.	2120, 2500, 2965, 3800.
Павлова Нина.	1054.
Павлова Т.	4929—4930.
Павлухин А.	1055.
Пажитнов Л.	2786, 4356.
Пажурина Н.	2965.
Пак Б.	1056.
Палагута Н.	1057.
Палей А.	3224.
Пальман В.	1058.
Пальмова С.	979.
Пальчиков В.	1687.
Пальчиков Вл.	576.
Пальчинскайте В.	2641.
Панаев И. И.	1650.
Панасенко Е.	2804.
Панкин Б.	2806, 3225, 3801.
Панков В.	2509.
Панкратов Г.	2228.
Панкратов С.	2518.
Панку-Яшь О.	2378, 2506.
Панов М.	3150.
Панов Н.	2507.
Панова В.	1059—1060, 1584, 2840, 3573.
Пантелеев И.	1061, 2287.
Пантелеев Л.	153, 234, 1062—1063, 1166, 1316, 1446, 1472, 2506, 3574—3575, 3802-3804, 3941.
Пантелеев Ю. А.	1425.
Панченко В.	2127, 2641.
Паншин Г.	2512.
Панькин И.	1064, 2500, 2512.
Панюшкин Н.	1065.
Паперная Э.	2312.
Паранук Р.	2508.
Парве Р.	2966.
Парнов Е.	1066, 2809, 3193, 4436.
Парфенов В.	1067—1068.
Пархаев Б.	1425.
Паршин А.	1069.
Паршин С.	4758—4760.
Пастернак Б.	1312.
Пастухова Л.	4931.
Пастушенко М.	1070.
Патрик Е.	2594.
Патуткина В.	4726, 4788.
Паустовский К.	495, 1071—1075, 1425, 2300, 2488, 2490, 2501, 2512, 2518, 2640, 2804, 3576, 3805, 3879, 4372—4375.
Пахмутова А.	2825.
Пахомов А.	1316, 1808, 3354.
Пациенко Г.	1076.
Пашинин В.	2504.
Пашков Ю.	3806.
Пашнев Э.	1077, 3226, 3807, 4932.
Паэгле В.	2956.
Паэгле Л.	2222.
Педнекар А. Н.	2419.
Пекарь Л.	2886.
Пекелис В.	2644.
Пекерман И.	3808—3809.
Пеньевская Л.	2495.
Пеньковский Л.	2329.
Перегудова Е.	2545.
Перелешина В.	3419.
Перельман Я.	2810.
Пермяк Е.	1078—1082, 1437, 2490, 2506, 2604, 2811, 3577, 3810—3813.
Перовская О.	1083.
Перро Ш.	2380—2386, 2390—2391.
Перфильева А.	1084.
Перцов В.	880, 3578.
Першин В. И.	2947.
Песков В.	2501, 2775.
Петефи Ш.	2388.
Петонов В.	2128, 2257.
Петренко Р.	452.
Петриковская А.	4423, 4460.
Петрнцкий В.	1085.
Петров А.	2521.
Петров Б.	1086.
Петров В.	2595, 2954.
Петров В. П.	1690.
Петров В. Т.	2944.
Петров Виктор.	1087—1088.
Петров Вс. Ник.	4468.
Петров Е.	1165.
Петров М. П.	2699.
Петров С.	1365, 1815, 3355—3356.
Петрова Е.	1089, 2019.
Петрова З.	2506, 2596, 2964.
Петрова Н.	4892.
Петрова Т.	4001.
Петрович А.	2954.
Петровский Г. И.	2824.
Петровский М.	3151, 3814—3815, 3895.
Петровский Н.	2812.
Петросов К.	3816.
Петросян Г.	4564.
Петрук Л. П.	2945.
Петруня А.	4682.
Петрухина М.	4800.
Петрушанская Р.	2825.
Петрушенко А.	1090.
Петухов А.	400.
Петухов Анатолий.	1091.
Петухов В. А.	2944.
Печерникова Т.	262.
Печерский Н.	1092—1097, 2120.
Пешеходова Г.	2997, 4683—4684, 4933.
Пешков В.	3357.
Пивоваров В.	4565.
Пивоварова И.	1098, 2500—2501.
Пигарев К.	1602, 1655, 1829—1830, 3358—3360.
Пижурина Н.	4630.
Пикулик Е. С.	3030.
Пиляр Ю.	1099.
Пименов В.	753.
Пиндемонте Дж.	1724.
Пинт А.	4002.
Пинчук Л.	3818.
Пинясов Я.	2129—2131.
Пиркулиев Я.	2186, 4134.
Пирогов В.	1100.
Пирогова Л.	1101, 2512.
Пирязева Е.	4108.
Писарев Д. И.	1822, 1844—1845, 3323, 4233.
Писахов С.	2265.
Пискунов К.	3265, 4566, 4685—4687.
Пистоленко В.	2597.
Пистунова А.	3819, 4567—4569.
Письменова И.	4581.
Питляр И.	3289.
Питре Д.	2455.
Пишумов Я.	1102—1104.
Плавильщиков Н.	2814.
Платов Л.	1105.
Платонов А.	1106, 1870, 1920, 1939, 2226, 2255, 2521.
Платонов В.	2507.
Платонов Ю.	3227.
Платонова Н.	1107.
Платонова Ю.	4570.
Плещеев А. Н.	2491, 2500, 2505, 2511.
Плиев М.-С.	2149.
Плитченко А.	576, 1108, 3228.
Плотниек У.	2956.
Плотникова Л.	1685.
Плохинский А. А.	2841.
Плудон В.	2222—2223.
Плудра Б.	2389.
Пляцковский М.	1109—1111, 2500—2501, 2825.
Пляшкевич В.	3034.
Поволяев В.	3265.
Погодин Н.	1112, 1425, 2526, 2840.
Погодин М. П.	1650.
Погодин Р.	1113—1114, 1291, 2506.
Погореловский С.	1115, 2498, 2501.
Погорельский А.	1719.
Погосян В.	2107.
Погосян Р.	2508.
Подвойский Л.	2815.
Подзорова Н.	3820.
Подкалне Э.	2956.
Подкопаев В.	1116.
Подлесова Н.	1117, 1228—1229.
Подольный Р.	2314, 2816, 3230, 4376.
Подольская И.	3821.
Подъяворинская Л.	2392.
Поженян Г.	1316.
Пожидаев Г.	2808, 2825.
Пожидаева В.	4763.
Поздеев П.	2283.
Поздняев К.	3822.
Поздняков О.	2699.
Позднякова Г.	3580—3581.
Позняк А.	2950.
Пойш М.	4250.
Покровский В.	2821, 3582.
Покус Я.	1425.
Полевой Б.	82, 1119—1120, 1316, 1425, 2840, 3583—3584, 4003.
Полевой Н. А.	1650.
Полежаев А. И.	1650, 1721, 3575.
Полесьев С.	2790.
Полетаев С.	1121—1122, 1420, 4737.
Поливанов Ю.	4688.
Поливин Н.	2640, 4689.
Поликанов А. А.	3605.
Полозова Т.	3231, 3586, 4002, 4935—4936.
Полонский Г.	2599.
Полоцкая Э.	3420.
Поторак А.	1316.
Полторацкий В.	2817—2818, 4021.
Полуянов И.	1123—1124.
Поляков А.	2804.
Поляков Б.	979.
Поляков В.	1033.
Полякова Н.	722, 1125.
Поляновский М.	616—618, 2951, 3232, 3825—3826, 4048, 40%, 4937—4938.
Померанцев Л.	3275.
Померанцева Л. А.	2824.
Померанцева Э.	1938, 2261.
Помяловский Н. Г.	1720.
Поннзовский В.	2650.
Пономаренко Л.	4737.
Понятовский И.	2954.
Поотс Л.	2966.
Попеску А. Т.	2600.
Попов Б.	1126.
Попов В.	2908, 2963.
Попов Владимир.	2601.
Попов Н.	1127, 3153.
Попова Е.	1128.
Попова Т.	4764.
Попова Татьяна.	2819.
Попова Э.	4571—4572.
Попович А.	2596.
Попцов О.	1130.
Поразинская Я.	2324.
Поротов Г.	2228.
Порудомннский В.	2517, 3154, 3436, 3587.
Порук Я.	2222.
Посниченко С.	1425.
Поступальская М.	2820.
Постышев П.	1425.
Потапов Б.	2453.
Потапова В.	2508.
Потеккат.	2419.
Потемковский А.	2509.
Потье Э.	2908.
Пошатаев В.	2808.
Поэзиа К.	4575.
Правдивцева Т.	2602.
Правдин А. Г.	2824.
Правдин И.	2821.
Прануза П.	2134.
Прёйсен А.	2393.
Преловский А.	576.
Преображенская Л.	50.
Преображенский С.	1394, 3588, 3956.
Прибыль Х.	2950.
Привалов Б.	2492.
Привалова Е.	3158.
Приеде Г.	4573.
Прилежаева М.	129, 370, 515, 1133—1135, 2494, 2501, 2640, 2815, 2840, 3589—3591, 3828—3830, 3924, 3957, 4004, 4027, 4105, 4574, 4624, 4939.
Принцев Ю.	537, 1033, 1136.
Приходько В.	1137—1138, 1605, 2452, 2500—2501, 3117—3119, 3150, 3361, 3831, 4252, 4437.
Пришвин М.	495, 1139—1144, 1301, 2488, 2500—2502, 2505, 2512, 2518, 2640.
Пришвина В.	1142, 2640, 3592, 4049—4052.
Пришелец А.	2566.
Прищепенко В.	4083.
Прозоровский В.	2886—2887.
Пройслер О.	2395.
Прокопенко Н. К.	3030.
Прокофьев А.	1145—1147, 1312, 2506, 2518, 2604, 2640.
Прокофьев О.	2822.
Прокофьева С.	1148, 2456, 2603.
Прокушев Ю.	521, 523—524, 3594—3596.
Прокша Л.	2135.
Прокшин В.	3362.
Пронин В.	3233, 4448.
Протодьяконов В.	2136.
Протопопова И.	2959.
Прохоров П.	1149.
Прусаков И.	2810.
Пташник Е.	2950.
Пудумейпиттан.	2419.
Пузаков И.	1301.
Пузанов И.	1150.
Пукк Х.	2138, 2604, 2966, 4253.
Лунин А.	2886—2887.
Пурвинь Х.	4576.
Пуртов А.	4053.
Пустильник Л.	4438—4439.
Пустовойт П.	1644—1645, 1822, 3363—3364.
Путилина В.	1151—1152, 2494, 2500—2501, 2840.
Путилова Е.	548, 1603, 3151, 3155.
Путинцев В.	1609—1610, 1769, 3365—3366.
Пухначев В.	2270.
Пухов Ю.	4005.
Пушкин А. С.	1650, 1722—1764, 1843, 2490—2491, 2493, 2500—2501, 2505, 2511—2512, 2641.
Пущин И. И.	1650.
Пчельников Т.	2911.
Пырьев И.	2807.
Пысин А.	2139.
Пятнова И.	2680.
Рааве К.	2966.
Рабаданов С.	2140.
Рабле Ф.	2396.
Рагимов С.	2137.
Раджаб У.	2019, 2141.
Раджабов А.	2142.
Радзиевская С.	1153—1154.
Радищев А. Н.	1690, 1765—1766.
Радищев Л.	537, 1155, 2790, 2840.
Радкевич В.	401.
Раевский Б.	537, 1156—1158, 1291, 2566 2886, 2951.
Раевский В. Ф.	1721.
Разамат А.	1159.
Разговоров Н.	2501, 2641.
Разгон Л.	291, 1160, 1382, 2500, 2650, 3597—3599, 4737.
Раззаков Х.	2246, 2258, 2267, 2272.
Разова В.	3156, 3158, 3234, 3581, 3600, 4440, 4766, 4940.
Разуваева А. Ф.	2906.
Разумневич В.	1161—1163, 2500, 3150, 3235—3236, 3601, 3833-3837, 3915, 3916, 4006, 4029, 4254-4255, 4577, 4627.
Разумовская М.	2506.
Разумовская Р.	2699.
Разумовский Ю.	2554.
Разцветников А.	2506.
Разык Н.	2019.
Райнис Я.	2222—2223.
Райт Р.	3838.
Райт-Ковалева Р.	3839.
Райхин Д.	4941.
Рак В.	4942.
Ракипов Ш.	2143.
Ракитин В.	4560, 4578—4579.
Раков Ю.	3154.
Раковский Л.	1164.
Рамазанов Г.	2118.
Рамазанова М.	2271.
Раннал И.	2966.
Раннаметс Л.	2965.
Раннап Я.	2144, 2966.
Раскатов М.	2545.
Распе Р. Э.	2397, 2539.
Рассадин С.	3151, 3421, 3840, 4256-4257.
Ратаев М.	4738.
Рауд Э.	2145—2146.
Рахилло И.	979, 2813, 2827.
Рахим-заде Б.	2019, 2513.
Рахимгулова Ф.	2508.
Рахлис Л.	978, 1168.
Рахтанов И.	73, 363, 401, 495, 3602—3603.
Рацер Б.	2565.
Рачев Е.	4580.
Рачева Л.	2640.
Рачян Х.	2107.
Раша Д.	2699.
Рашидов Р.	2147, 2519.
Рашковский Л.	1169.
Ребров Ю.	1170.
Ревякин А.	1716, 3367, 3445—3447.
Реджани Р.	2398.
Рез З.	4944.
Реизов Б.	2396, 4377.
Рейес Трехо А.	2342.
Рейжевский А.	3841.
Рейман Л.	2966.
Рейн Е.	1171.
Рейтынбарг Л.	4945.
Рекемчук А.	1172.
Ремез О.	1173, 2500.
Рензер Ю.	2966.
Рену, Пханишварнатх.	2419.
Ренчова З.	2497.
Репин Л.	2828.
Реформатская Н.	4054.
Рехтман Ф.	4770.
Решетов А.	400.
Ржевская Е.	1316.
Ржевский А. А.	1690.
Ржевский Б.	400, 2829.
Ривес Ю. Е.	2963—2964.
Рид Т. М.	2399—2400.
Рине Л.	2401.
Римгайло Р.	2954.
Ринкуле-Земзаре Д.	2148.
Рогачев В.	3604.
Рогачевская Г.	4946.
Рогов А.	2500, 2807.
Рогов Анатолий.	2830.
Рогов М.	4691.
Рогова М.	2954.
Рогозин Г.	1174.
Родари Д.	2402—2403, 2506, 2613, 4441—4442.
Роден О.	2807.
Родимцев А.	1316.
Родионов А.	1175—1176.
Родионов М.	2500.
Родионов Н.	1177.
Родионова А.	2605.
Родионова В.	2954.
Родичев Н.	1178.
Родичева М.	2954.
Рождественская А.	1179, 2506, 2640.
Рождественская К.	401.
Рождественская Т.	3000.
Рождественский В.	2513, 2790, 3368, 3842, 4334.
Рождественский Р.	1312.
Рожина Л.	4771.
Рожицын Ю.	2954.
Розанов В.	3843.
Розанова А.	2616.
Розанова С.	4692.
Розен Б.	2699, 2886.
Розенберг О.	2956.
Розинер Ф.	2832—2833.
Розов В.	2526, 4947.
Розовский М.	1472, 2509.
Ройзман З.	2394.
Рокоссовский К.	1316.
Рокош А.	2950.
Ролингс М. К.	2408.
Рольникайте М.	1316.
Роман А.	2506, 2604.
Романенков В.	2500.
Романов А.	576, 1180.
Романов И.	3844.
Романов М.	1181.
Романов Р.	1425.
Романова Н.	1182—1184.
Романовская В.	2950.
Романовский В.	2512.
Романовский С.	2500.
Романченко О.	1185, 2521.
Ронская Г.	2352, 4378.
Росалес Г.	2342.
Росин В.	1186—1187, 2510.
Рослый К.	1425.
Росоховатский И.	2516.
Ростан Э.	2404.
Ростова Г.	4948.
Ротенфельд Б.	1188.
Ротмистров П. А.	1425.
Рохас М.	2342.
Рохас Гонсалес Ф.	2342.
Рохтма К. М.	2824.
Рошаль А.	979.
Рошка А.	2508.
Рубанович А.	3422.
Рубашкин А.	3156.
Рубин В.	4582.
Рубина Д.	2509.
Рубинчик,С.	1189.
Рубинштейн Р.	2483, 2521.
Рублев Г.	2964.
Рубцова О.	4581.
Ругоев Я.	2248, 2518.
Руденко Ю.	3423.
Рудерман М.	1472, 2501, 2506.
Рудерман Н.	2775.
Рузакова Р.	4772.
Рукшанс Х.	2152, 4135.
Руманова Л.	4745.
Румарчук Л.	1312.
Румянцев А.	1377.
Румянцев Н.	2775.
Румянцева В.	1190.
Румянцева Г.	3001, 4694, 4949—4962.
Румянцева И.	2521.
Румянцева-Калинина П. С.	2824.
Рунге С.	239, 1376, 2625.
Рунец П.	2123, 2950.
Русаков Е.	1191.
Русских Р.	2834.
Рутковский В.	384.
Ручко С. Г.	2840.
Рыбак С.	3002, 3237, 4258.
Рыбаков А.	1192, 3741, 3944, 4210.
Рыбаков М.	2606.
Рыбакова Р.	1193—1194, 3123.
Рыбалко В.	1229.
Рыбкина Г.	2912.
Рыбко Н.	1195.
Рыбникова Г.	978.
Рывиня Е.	1312.
Рывкиид А.	4796.
Рывчин В.	4467.
Рыжиков В.	1196 -1197.
Рыжих.	11, 2500.
Рыжов И.	2512.
Рыклин Г.	2509.
Рылеев К. Ф.	1650, 1721, 1768, 2511.
Рыленко Н.	2513.
Рыльский М.	2494.
Рысс Е.	1198.
Рытхэу Ю.	2374, 2836, 2840.
Рычагов А.	2954.
Рычаловская Л. Ф.	2738, 2939.
Рябинин Б.	495, 1199, 2836—2837, 3238, 3845.
Рябов В.	2807.
Рябов Н.	1425.
Рябова Н.	1200, 2475.
Рябчиков Е.	1425.
Ряховский Б.	1201.
Сабахаттин А.	2506.
Сабир М. А.	2150.
Саблин В.	1202.
Сабо М.	2405.
Сабунаев Д.	52.
Савва Р.	2516.
Савельев П. А.	2824.
Савельева Л.	2499, 2526.
Савичев С.	3239.
Савков В.	2887.
Савова П.	4443.
Савоненкова Л.	2500.
Савостин Н.	1203.
Савченко Г.	1204.
Сагдеев Р.	2151.
Сагиян А.	2519.
Садовников Г.	1205.
Садовников Д.	1936.
Садовникова Н.	3289.
Садовский В.	1206—1207, 2837-а
Садовский М.	2500—2501, 2813, 3124-3125.
Садофьева Т.	4714, 4773.
Саенко М.	2807.
Сазыкин Г.	1425.
Саидбаева Л.	4774.
Сайкин О.	2507.
Сакович В.	1425.
Саконская Н.	400, 1208, 2494, 2513.
Саксе А.	4259.
Салахян А.	2244, 4136.
Салеииек Э.	2152, 2956.
Салтыков-Щедрин М. Е.	1769-1775.
Салынский А.	4065.
Салье М.	2480.
Самойленко А.	1209.
Самойлов Д.	1312.
Самойоа Чинчилья К.	2342.
Самохин Н.	2609.
Самсон В.	2956.
Самсонов В.	1210.
Самсонов С.	1211, 2153.
Сангаджиева Б.	2519.
Санги В.	2154, 2499.
Сандалова Э.	4737.
Сандлер В.	436, 3606, 3846.
Сандлер Л.	2506.
Сандунова Е. С.	1690.
Санин А.	2474, 2476.
Санин В.	2509.
Санина Р.	978.
Санов В.	2886.
Сапаев В.	2155, 4260.
Сапаров А.	3847.
Сапаров Х.	2156.
Сапгир Г.	798, 1212—1217, 1300, 2607-2609.
Сапогов В.	4750.
Сапронов В.	2501.
Сапрыков В. Н.	2899.
Сапунов А. С.	2824.
Саракаев Х.	2157.
Саркисян А.	4695.
Сароян У.	2408.
Сартаков С.	2840.
Саспаев А.	2158.
Сата.	2508.
Сатибеков Ж.	2133.
Сатуев Х.	2149.
Сатуновский Я.	1218—1221, 2477, 3029.
Саукане З.	2954.
Саулов А.	576.
Сафаров А.	4261.
Сафиева Г.	2508, 2610.
Сафонов В.	4055.
Сафуанов С.	1998, 4137.
Сахарное С.	542, 1222—1224, 2500, 2645, 3607.
Сахаров В.	3424.
Сахарова Е.	4745.
Сахиб Ф.	2159.
Сац Н.	2825, 3192, 3849.
Саченко С.	4963.
Сая К.	2160, 2611.
Сбитнев Ю.	1225—1226.
Свет Я.	1275, 3608.
Светланов Ю.	2521.
Светлов М.	1312, 2494, 2501, 2513, 2604, 2612, 2908.
Светловская Н.	4776, 4964—4965.
Светов А.	979, 2500—2501, 2506, 2839.
Светозаров В.	1947, 3609.
Светозарова Н.	2613.
Свиридов А.	1230.
Свиридов Н.	3240, 4696.
Свиридова З.	3158, 4966.
Свирская И.	3155—3156, 4777.
Свирский В.	3159.
Свифт Дж.	2406, 2593.
Свобода Я.	558.
Сводос Г.	2407.
Север Н.	1377.
Северин М.	3850.
Сегналова М.	2614.
Седаков Ю.	4583.
Седов П.	3942.
Седугин А.	1231—1232.
Сейтназаров Г.	2500.
Сейтназаров Д.	2161.
Секерина В.	3851.
Селезнев Ю.	3241.
Селиверстова Г.	2929.
Селишкар Т.	2379.
Сельвинский И.	1312.
Селянин Р.	2566.
Селянкин О.	400.
Семанова М.	1846, 3369.
Семевский Б.	2699.
Семендуева З.	2508.
Семенов А.	1140, 3610.
Семенов Б.	4584—4585.
Семенов В.	3852.
Семенов О.	4586.
Семенов С. Т.	1776—1777.
Семенова В.	2195, 4138, 4967.
Семенова Е.	2602.
Семернин В.	2500—2501.
Семин З.	2840.
Семин Л.	649.
Сенак К.	2409.
Сендюков С.	1233.
Сенников Г.	1316.
Сералиев Н.	2133.
Серафимович А.	1234—1236.
Серая М.	4730.
Сербиненко В.	12137.
Сергеев Г.	2968.
Сергеев Л.	1238—1239.
Сергеев М.	1240, 3242.
Сергеев Ник.	3243.
Сергейчева А.	4779.
Сергованцев Н.	4330.
Сергуненков Б.	1241, 2497—2498.
Сердюкова Н.	2512.
Серебряков Г.	1242—1243.
Серебряная В.	1171, 4469.
Серебряный В.	3960.
Серков И.	2162.
Серова Е.	1244—1246, 2640—2641.
Серова Н.	3154.
Серпа Э.	2342.
Серяков И.	2842.
Сетин Ф.	3158, 3425, 3604.
Сетон-Томпсон Э.	2410.
Сетунская Т.	3003, 4262, 4968.
Сеф Р.	1247—1249, 2315, 2534, 2545, 2554.
ас-Сибан М.	2442.
Сибрин Б.	2133.
Сивоконь С.	447, 3611, 3854.
Сигачев А.	4071—4072.
Сигсгорд И.	2411.
Сидиропуло П.	1250.
Сидки А.	2019.
Сидки М.	2442.
Сидоренко В.	2954.
Сидоров А.	3770, 4587.
Сидоров В.	4757.
Сидоров Виктор.	1251—1252.
Сидяков Л.	3370.
Сизов А.	2521.
Сикорский В.	1312.
Силкин Н.	4969—4970.
Силков Н.	1253.
Сильвестров Б.	1254.
Симонов Б.	1377.
Симонов Б. А.	2770.
Симонов Е.	2503.
Симонов К.	1166, 1312, 1316, 1319, 1425, 3550, 3612.
Симонян К.	2107.
Симорра Б.	2807—2808.
Синг, Гурбахш.	2419.
Синельников И.	1255.
Синельникова Е.	2264.
Синикина С.	4794.
Синицын Ю.	1256, 1377.
Синявский А.	1257.
Сисикин В.	1258.
Сиснев В.	1259.
Скакунова Е.	4971.
Скалбе К.	2222—2223.
Скатов Н.	3448.
Скворцов К.	2615.
Скворцов Ю.	2775.
Склярская Л.	4972.
Скобелев В.	3855.
Скорин И.	2503—2504.
Скорино Л.	3958.
Скороход К.	1261.
Скороходов М.	1262.
Скотт В.	2413—2414.
Скраган А.	2843.
Скрамэ И. И.	2824.
Скребицкий В.	1263, 3613.
Скребицкий Г.	495, 1263—1265, 2500—2501, 2506, 2640.
Скребов Н.	3856.
Скрипка М.	2950.
Скрипов А.	1266.
Скуиньш З.	2956.
Скуратовская Л.	4379.
Славентатор Д.	2790.
Славин Л.	1316.
Славкин В.	2509.
Славкович Д.	2640, 2950.
Славянова М.	4263.
Славятинский Н.	2372, 4380.
Сладков Н.	1141, 1267—1269, 2497—2498, 2500—2501, 2640—2641, 2844—2849, 2886—2887, 3614, 3848, 4073.
Стастухин Н. Н.	2953.
Слепакова Н.	1270.
Слепченко Е.	3830.
Сливяк Т.	2324.
Слободник В.	2324.
Слоним М.	3126.
Слонимский А.	1624—1625, 1740—1741, 1743, 1747, 3371—3373.
Слонимский М.	3857.
Слуцкий Б.	1316.
Смаков Ж.	2506.
Смаль В.	2850.
Смеляков Я.	1312, 2513, 2604.
Смердов А.	1391, 3615.
Смеречинский В.	2950.
Смирнов А.	2851—2852.
Смирнов В.	2506, 4588.
Смирнов В. Ф.	2958.
Смирнов Василий.	1271.
Смирнов Виктор.	1272—1273.
Смирнов Вячеслав.	1377.
Смирнов Д.	1274, 3127, 4278.
Смирнов И.	2516.
Смирнов М.	1297, 3616.
Смирнов Марк.	2853.
Смирнов Н.	1275, 4056.
Смирнов С.	400, 4295.
Смирнов С. В.	1276.
Смирнов С. С.	1277.
Смирнов Ю.	1029.
Смирнова В.	2357, 2459, 3617, 3858—3860, 3917, 3937, 4381, 4624.
Смирнова Е.	3426.
Смирнова Л.	3861.
Смит В.	558, 2415.
Смолич Ю.	4265.
Смольников А.	400, 2854.
Смольников И.	1278, 2887.
Смородинов М.	401.
Смородинская Я.	4973.
Смык В.	2044, 4139.
Снегирев Г.	1279—1286, 2506, 3128—3130.
Снегов С.	1287.
Снегова И.	1312.
Снежневская М.	4974.
Собашникова Л.	4805.
Соболев А.	1289—1290.
Соболев Л.	77, 2507.
Соболев М.	1377.
Соболева Г.	2813.
Соболевский А.	4975.
Соболь Ф.	2950.
Собченко З.	4976.
Сойфер В.	1029.
Соколов Б.	1029.
Соколов Борис.	1229, 1292.
Соколов В.	1228, 2500, 3862, 4977.
Соколов Владимир.	1293, 1312.
Соколов Е.	4631—4632.
Соколов Н.	1629, 2950, 3374.
Соколов Н.	4612.
Соколов-Микитов И.	1294—1298, 1903—1904, 2500, 3863.
Соколова Г.	4697.
Соколова Д.	3865.
Соколова М. А.	1859.
Соколова Э. С.	2959—2960.
Соколовский А.	1299, 2500—2501, 2951.
Соколовский Н.	2950, 2954.
Солдатенко И.	4267.
Солдатенко М.	1118, 2641.
Солнцев Г.	2968.
Соловейчик С.	2501, 2855, 2879.
Соловьев А.	2515.
Соловьев Б.	3160, 3918.
Соловьев В.	2518.
Соловьев Владимир.	3876.
Соловьева М.	2604.
Сологуб В. Ф.	1650.
Солодарь Ц.	3528, 4109.
Солодников Г.	401, 2937.
Соломатин В.	4633.
Солоухин В.	1312, 1599, 2854, 3375.
Соляное А.	1587, 3618.
Сопельняк Б.	2504, 2775.
Сорин С.	1472.
Сорокин А.	2507.
Сорокин В.	2954, 4008.
Сорокин Г.	1316.
Сорокин З.	1302.
Сорокина Г.	4978.
Сорокина Л.	1303.
Сосин М.	495.
Сосинский В.	4589.
Сосницкая М.	1650, 3154.
Сотник Ю.	1165, 1304, 2616, 2617, 3005, 3866.
Сотников Н.	4268.
Софронов А.	1472, 3528.
Спангенберг Е.	2856.
Спаре В.	2956.
Сперанский Е.	2857.
Спехов Е.	2965.
Спешилов А.	400.
Спиридонова А.	4979.
Спирин А.	2500.
Ставская И.	2500.
Ставский В.	1425.
Станчек Н.	4780, 4981.
Станюкович К.	3619.
Стариков В.	3427, 4022.
Старикова Е.	754, 3620, 4980.
Стародубцев П.	2512.
Старостин А.	1306.
Старостин А. С.	1307.
Старостин В.	1377.
Старошкловская Р.	1308.
Старцев А.	2423, 4382.
Старченко В.	1309.
Старшинов Н.	1310, 1312, 1316, 2641.
Стасов В.	2807.
Стась А.	2504.
Стеглик М.	2556.
Стейскал В.	3150.
Стельмах М.	2166—2167.
Стендаль.	2416—2417.
Стенина Т.	4698.
Степакина К. И.	2914.
Степаненко В.	2506.
Степанидин Г.	4982.
Степанов А.	2518.
Степанов В.	2787.
Степанов М.	2235.
Степанов М. Н.	2841.
Степанов Н.	1614, 1702, 3376, 3428.
Степанюк Д.	3867.
Стефанеева Е.	3868.
Стещенко Н.	1311.
Стингл М.х.	4444.
Стогнут А.	4269.
Стольная В.	1372.
Стольниц М.	4983.
Столяров В.	1029.
Стороженко В.	2859—2860.
Сторожкова Л.	4634.
Сторчевая З.	3429.
Стоун И.	2418.
Стратиев С.	2350.
Страхов А. Н.	2824.
Страхов Н.	3621.
Страшкова Н.	654, 3622.
Стрелкова И.	2133, 3244, 3869, 4984—4986.
Строганов И.	2507.
Строгов И.	2887.
Стройло А.	1313—1315.
Струве В. В.	2812.
