author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Корпачев, Э. М.",Ледовая королева,Повесть и рассказы,1984-01-01,100000,NA,TRUE,TRUE,NA,NA,м,Корпачев,ледовая королева
"Корпачев, Э.","Паруса, наполненные ветром",Повести,1963-01-01,20000,FALSE,TRUE,FALSE,FALSE,Минск,м,Корпачев,паруса наполненные ветром
"Корпачев, Э.",Тройка запряженных кузнечиков,Повести и рассказы,1973-01-01,75000,FALSE,TRUE,FALSE,FALSE,Москва,м,Корпачев,тройка запряженных кузнечиков
"Корпачев, Э. М.",Хвала гимнастерке,Повесть,1979-01-01,30000,FALSE,TRUE,TRUE,FALSE,Минск,м,Корпачев,хвала гимнастерке
"Корчагин, В. В.",Конец легенды,Науч.-фантась. Повесть,1984-01-01,100000,NA,TRUE,TRUE,NA,Казань,м,Корчагин,конец легенды
"Коршунов, М. П.",Бульвар под ливнем,Роман,1981-01-01,100000,FALSE,FALSE,TRUE,FALSE,Москва,м,Коршунов,бульвар под ливнем
"Коршунов, М.",В зимнем городе,Рассказы и повести,1961-01-01,100000,FALSE,TRUE,FALSE,FALSE,Москва,м,Коршунов,в зимнем городе
"Коршунов, М.",Девять возвращений,Повести и рассказы,1971-01-01,75,NA,NA,NA,NA,Москва,м,Коршунов,девять возвращений
"Коршунов, М.",День веснушек,Повести и рассказы,1970-01-01,100,TRUE,NA,NA,NA,Москва,м,Коршунов,день веснушек
"Коршунов, М.",Детские секреты,Повести и рассказы,1978-01-01,100000,FALSE,TRUE,TRUE,NA,Москва,м,Коршунов,детские секреты
"Коршунов, М.",Дом в Черемушках,Маленькие повести,1954-01-01,30000,FALSE,TRUE,FALSE,FALSE,Москва,м,Коршунов,дом в черемушках
"Коршунов, М.",Когда замерзли дожди,Рассказы,1962-01-01,65000,FALSE,TRUE,FALSE,FALSE,Москва,м,Коршунов,когда замерзли дожди
"Коршунов, М.","Петька и его, Петькина, жизнь",Рассказы,1976-01-01,750000,TRUE,FALSE,FALSE,NA,Москва,м,Коршунов,петька и его петькина жизнь
"Коршунов, М.",Подростки,Роман,1975-01-01,75000,FALSE,FALSE,TRUE,NA,Москва,м,Коршунов,подростки
