author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Косневич, А. Я. ",У весны голубые крылья,Рассказы,1981,15000,0,1,1,0,Воронеж,м
"Костоглодова, М. Н.",Есть романтика!,Повесть,1980,30000,0,0,1,0,Ростов на Дону,ж
"Костоглодова, М. Н.",Мох на камне,Повесть,1979,30000,0,0,1,0,Ростов на Дону,ж
"Кострикин, В. К.",Димка с улицы мост,Повесть,1979,15000,0,1,1,0,Воронеж,м
"Котовщикова, А. А.",Нитка кораллов,Рассказы и повесть,1979,100000,0,1,1,0,Ленинград,ж
"Кошурникова, Р. В.",Следствие по всем правилам,Повесть,1980,30000,0,1,0,0,Новосибирск,ж
"Кравцова, Н. Ф.",Из-за парты на войну,Повесть,1980,100000,0,0,1,0,Москва,ж
"Кравченко, Я. Ф.",На старой мельнице,Повесть,1981,30000,0,1,1,0,Воронеж,м
"Краковский, В. Л.",Два сердца,Рассказы и повесть,1980,65000,0,1,1,0,Ярославль,м
"Крапивин, В. П.",В ночь большлго прилива,Повесть,1979,100000,0,1,1,0,Свердловск,м
"Крапивин, В. П.",Мальчик со шпагой,Повесть,1981,100000,1,0,0,0,Москва,м
"Крапивин, В. П.",Мушкетер и фея,Повесть,1979,100000,1,0,0,0,Москва,м
"Крапивин, В. П.",Оруженосец Кашка,Повесть,1980,300000,1,0,0,0,Москва,м
"Крапивин, В. П.",Трое с площади Карронад,Повесть и рассказы,1981,75000,0,1,1,0,Свердловск,м
"Красильщиков, В. И.",Труд и хлеб,Повесть,1981,100000,1,0,0,0,Москва,м
"Крелин, Ю. З.",Письмо сыну,Повесть и рассказы,1979,75000,0,0,1,0,Москва,м
"Кривомазов, Н. П.",Мишка на Севере,Повесть,1979,30000,1,0,0,0,Иркутск,м
"Круговых, Н. П.",Юрка - сын командира,Повесть,1979,150000,1,0,0,0,Минск,м
"Крудова, Н. Ю.",Сиамская овчарка,Рассказы и повесть,1981,100000,1,0,0,0,Ленинград,ж
"Крымов, Ю. С.","Танкер ""Дербент""",Повесть,1980,200000,0,0,1,0,Москва,м
"Ксендзов, В. И.",Белая птица лебедь,Рассказы,1980,155000,0,1,1,0,Мектеп,м
"Куваев, О.М.",Через триста лет после радуги,Повести и рассказы,1981,200000,0,0,0,0,Москва,м
"Кувшинов, И. В.",С нами не соскучишься,Повесть и рассказы,1981,30000,0,0,0,0,Москва,м
"Кудрявцева, В. И.",Мама - единственное число,Повесть,1980,30000,0,1,0,0,Новосибирск,ж
"Кудрявцева, В. М.",Чистая тетрадь,Повесть и рассказы,1981,100000,0,0,0,0,Свердловск,ж
"Кузьмин, Л. И.",Елинские петухи,Повесть,1980,30000,0,0,0,0,Пермь,м
"Курочкин, В. А.",На войне как на войне,Повесть,1980,100000,0,1,1,0,Ленинград,м
"Лаврентьев, М. И. ",Жили кошка с собакой…,Рассказы,1979,100000,1,0,0,0,Куйбышев,м
"Лазаренко, М. И.",Нежданный визит,Рассказы,1979,50000,0,1,1,0,Алма-Ата,м
"Лебедев, В. А.",Утро Московии,Роман,1981,100000,0,1,1,0,Ленинград,м
"Левандовский, А. П.",Триумвиры революции,Повесть,1980,75000,0,0,1,0,Москва,м
"Левинзон, Г. А. ",На три сантиметра взрослее,Повесть в новеллах,1980,75000,0,1,1,0,Москва,м
"Левченко, А. А.",Пятьсот веселый,Повесть,1979,15000,0,0,1,0,Свердловск,м
"Леонов, А. Д.",Ленькин букварь,Повесть,1980,150000,1,0,0,0,Ленинград,м
"Леонов, А. Д.",Медовые кладовые,Рассказы и повесть,1979,150000,1,0,0,0,Ленинград,м
"Леонов, В. Н.",Деревянное солнышко,Повесть,1979,100000,0,0,1,0,Москва,м
"Леонов, В. Н.",Подкова на счастье,Повесть,1981,75000,0,0,1,0,Москва,м
"Леонов, Л. М.",Взятие Великошумска,Повесть,1979,500000,0,0,0,0,Москва,м
"Лесников, Е. Д.",Призыву по возрасту не подлежит,Повесть,1981,100000,0,1,1,0,Москва,м
"Липилин, В. Г.",Теплые дни в декабре,Рассказы,1979,100000,0,1,1,0,Ленинград,м
"Логунов, А. А.",Колосок с куликова поля,Повесть,1979,30000,0,1,1,0,Тула,м
"Логунов, А. А.",Мой пшеничный сноп,Рассказы,1979,100000,0,1,0,0,Москва,м
"Луговой, Г. Р.",Выстрел на лесной поляне,Рассказы,1980,12000,0,0,1,0,Алма-Ата,м
"Лыкосова, Р. И. ",Встретимся на высоте,Повесть,1980,30000,0,1,1,0,Свердловск,ж
"Любомиров, П. П.",Хорошо служить в пехоте,Рассказы,1979,30000,0,0,1,0,Ижевск,м
"Ляленков, В. Д.",Знаменитая танковая,Повесть,1979,150000,1,0,0,0,Ленинград,м
"Ляшенко, М. Ю.",Из Питера в Питер,Повесть,1981,100000,1,0,0,0,Москва,м
"Мазрухо, Д. М.",Папина гимнастерка,Рассказы,1981,100000,1,0,0,0,Москва,м
"Максимов, А. Н.",Чудаки с Улики,Повесть,1981,75000,0,0,1,0,Москва,м
"Малышев, А. А.",Орлы вылетают на рассвете,Повесть,1981,15000,0,1,1,0,Ставрополь,м
"Мальцев, В. И.",Обет молчания,Повесть,1980,15000,0,0,1,0,Москва,м
"Маневич, А.",Синий колодец,Повесть,1980,100000,1,0,0,0,Москва,м
"Мар, А.","Наташка, Король и белый щенок с веснушками",Рассказы,1979,30000,0,1,1,0,Ташкент,м
"Маркин, П. Г.",Кебрачо,Повесть,1980,50000,0,0,1,0,Чебоксары,м
"Марков, Г. М.",Дед Фишка,Рассказ,1979,300000,1,0,0,0,Новосибирск,м
"Марков, Г. М.",Сибиряки у Ленина,Рассказ,1981,15000000,1,0,0,0,Москва,м
"Маркуша, А. М.",Небо твое и мое,Повесть и рассказы,1981,100000,0,1,1,0,Москва,м
"Мартыновский, А. Д.",Эта улица мне знакома,Повесть и рассказы,1979,15000,0,1,1,0,Краснодар,м
"Марчик, Г. О.",Наследник фаворитки,Повесть,1980,100000,0,0,1,0,Москва,м
"Марысаев, Е. К.",Повесть о белой медведице,Повесть,1981,75000,0,1,1,0,Москва,м
"Марысаев, Е. К.",С морем обрученные,Повесть и рассказы,1979,100000,0,0,1,0,Москва,м
"Маслов, В. С.",Зырянова бумага,Рассказ ,1979,100000,1,0,0,0,Мурманск,м
"Масс, А. В.",Необыкновенная встреча,Повесть,1979,100000,0,0,1,0,Москва,м
"Матвеева, Е. А.",Черновой вариант,Повесть,1980,100000,0,0,1,0,Москва,ж
"Матвеева, Л. Г.","Ступеньки, нагретые солнцем",Повесть,1979,100000,1,0,0,0,Москва,ж
"Матвеева, Л. Г.",Школа на горке,Повесть,1981,100000,0,1,0,0,Москва,ж
"Матвеевский, А. И.",Мыс приведений,Повесть и рассказы,1981,15000,0,1,1,0,Ставрополь,м
"Матханова, Н. А.",Чтобы в юрте горел огонь,Повесть,1981,100000,1,0,0,0,Москва,ж
"Машкин, Г. Н.","Синее море, белый пароход",Повесть,1981,30000,0,1,1,0,Красноярск,м
"Машков, В. Г.",Как я был вундеркиндом,Повесть,1979,150000,1,0,0,0,Минск,м
"Медведев, В. В.",Свадебный марш,Роман,1981,100000,0,0,1,0,Москва,м
"Медведев, В. В.",Флейта для чемпиона,Повесть,1981,100000,1,0,0,0,Москва,м
"Медведев, Н. Е.",Шаги по теплой земле,Повесть,1979,100000,0,1,1,0,Москва,м
"Мыденский, Г. А.",Честь,Повесть,1980,270000,0,0,1,0,Минск,м
"Мельников, А. М.",Особое королевство,Рассказы,1981,150000,1,0,0,0,Казань,м
"Мельников, Е. И.",Дрессированный паровозик,Рассказы,1979,200000,1,0,0,0,Новосибирск,м
"Метельский, Г. В.",Тайфун над пограничной заставой,Повесть,1980,30000,0,1,1,0,Вильнюс,м
"Минчковский, А. М.",Про других и про себя,Повести и рассказы,1981,100000,1,0,0,0,Ленинград,м
"Мирошниченко, Г. И.",Юнармия,Повесть,1979,50000,0,1,0,0,Владивосток,м
"Михайлов, П. М.",Кострам навстречу,Рассказы,1981,100000,1,0,0,0,Москва,м
"Михасенко, Г. П.",Я дружу с Бабой-Ягой,Повесть,1979,50000,0,1,0,0,Иркутск,м
"Мишкин, А. Д.",Птицы летают без компаса,Повесть,1980,100000,0,0,0,0,Москва,м
"Могилевский, Б. Л.",Наш Артем,Повесть,1980,100000,0,1,1,0,Москва,м
"Молостнов, О. Н.",Послание планеты Альбас,Повесть,1979,100000,0,1,0,0,Красноярск,м
"Морозов, Н. А.",Тихая зона,Повесть,1980,30000,0,1,1,0,Ленинград,м
"Морозова, В. А.",Вид на жительство,Рассказы,1980,75000,0,1,1,0,Москва,ж
"Морозова, В. А.",Дом на Монетной,Повесть,1981,100000,0,1,1,0,Москва,ж
"Москвин, Н. Я.",След человека,Повесть,1981,100000,0,1,1,0,Москва,м
"Московкин, В. Ф.",Человек хотел добра,Рассказы и повесть,1981,90000,0,1,1,0,Ярославль,м
"Мохначев, В. И.",Пароль для Джуди,Повесть,1980,12000,0,1,0,0,Алма-Ата,м
"Мошковский, А. И.",Взрыв у моря,Повесть,1979,100000,0,1,0,0,Москва,м
"Мошковский, А. И.",Вызов на дуэль,Рассказы,1979,750000,1,0,0,0,Москва,м
"Мошковский, А. И.",Трава и солнце,Повесть,1980,100000,0,1,0,0,Москва,м
"Мусатов, А. И.",Дубовые листья,Повесть,1980,100000,0,1,0,0,Москва,м
"Мусаханов, В. Я.",Паруса,Повесть,1981,100000,0,1,1,0,Ленинград,м
"Мясников, В. Н.","Операция ""Муравей""",Рассказы,1980,100000,1,0,0,0,Куйбышев,м
"Нагибин, Ю. М.",Ливень,Повесть и рассказы,1979,100000,0,0,1,0,Кишинев,м
